rule_name,metadata_tool,metadata_tool_type,metadata_tool_category,metadata_severity,metadata_link,metadata_detection_type,metadata_reference,metadata_comment
RPCCodecEngine,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCDesktop,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCOTAFTHost,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCOTAUtilityHost,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCFTHost,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCFTViewer,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RemotePCAttendedService,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCService,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCUtilityHost,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCUtilityViewer,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
RPCViewer,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
TransferClient ports,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
TransferServer,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
TransferServer ports,RemotePC,greyware_tool,RMM,high,https://www.remotedesktop.com/ & remotepc.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/RemotePC.csv,
