dest_port,metadata_comment,metadata_confidence,metatada_category,metadata_detection_type,metadata_link,metadata_reference
4444,Default listener port for Metasploit exploits and RemotePC transfert port and gophish,high,C2,detection_rule,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4434,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4435,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4436,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4437,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4438,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4439,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4440,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4441,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4442,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
4443,Default port for RemotePC file transfert,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
6030,RemotePC \RPCCoreViewer.exe default port connection,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
6040,RemotePC \RPCCoreViewer.exe default port connection,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
