src_ip,metadata_comment,first_seen,last_seen,active
13.105.106.0/27,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.106.32/28,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.106.64/27,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.107.112/28,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.107.160/27,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.107.192/27,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.0/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.10/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.100/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.102/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.104/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.106/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.108/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.110/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.112/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.114/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.116/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.118/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.12/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.120/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.122/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.124/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.126/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.128/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.130/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.132/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.134/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.136/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.138/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.14/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.140/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.142/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.144/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.146/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.148/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.150/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.152/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.154/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.156/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.158/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.16/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.160/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.162/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.164/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.166/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.168/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.170/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.172/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.174/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.176/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.178/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
13.105.117.18/31,GitHub actions IP range,2025-05-29,2025-09-06,yes
