dest_ip,metadata_comment
48.216.0.0/14,AS8075 IPv4
20.33.62.0/24,AS8069
52.122.7.0/24,AS8069
69.198.0.0/15,ASN not found
145.176.0.0/12,ASN not found
204.79.252.0/24,AS8075 IPv4
52.105.196.0/23,AS8075
20.157.242.0/24,AS8069
145.190.58.0/24,AS8069 IPv4
20.157.141.0/24,AS8069 IPv4
185.211.208.0/24,AS8075 IPv4
62.97.228.0/24,AS8075 IPv4
20.33.10.0/23,AS8069
20.157.206.0/24,AS8069 IPv4
2a01:110::/32,AS3598 IPv6
20.47.37.0/24,AS8069 IPv4
20.157.96.0/24,AS8069
20.157.208.0/24,AS8069 IPv4
20.33.17.0/24,AS8069
20.157.134.0/24,AS8069
199.2.137.0/24,AS3598
20.47.15.0/24,AS8069 IPv4
20.47.20.0/23,AS8069
20.47.80.0/23,AS8069 IPv4
145.190.36.0/24,AS8069 IPv4
20.157.135.0/24,AS8069 IPv4
20.33.222.0/23,AS8069
52.120.0.0/14,AS8075 IPv4
51.8.0.0/16,AS8075 IPv4
195.85.113.0/24,AS8075 IPv4
51.126.0.0/16,AS8075 IPv4
20.157.242.0/24,AS8069 IPv4
168.61.0.0/16,AS8075 IPv4
20.33.226.0/23,AS8069 IPv4
20.33.20.0/24,AS8069 IPv4
145.219.20.0/23,AS8075 IPv4
165.125.51.0/24,AS8075 IPv4
138.32.114.0/24,AS8075 IPv4
2603:1063:300::/40,AS8070 IPv6
67.210.128.0/24,AS8075 IPv4
167.92.211.0/24,AS8075 IPv4
52.122.192.0/22,AS8069
20.33.4.0/24,AS8069 IPv4
20.157.162.0/24,AS8069 IPv4
170.88.83.0/24,AS8075 IPv4
192.100.128.0/22,AS8075
20.33.150.0/24,AS8069 IPv4
52.122.80.0/21,AS8069 IPv4
168.62.0.0/15,AS8075
20.47.39.0/24,AS8069 IPv4
20.157.52.0/24,AS8069 IPv4
66.151.66.0/24,AS17144 IPv4
2a01:111:4004::/48,AS8075 IPv6
20.153.3.0/24,AS8069 IPv4
192.80.247.0/24,AS8075 IPv4
2603:1063:2100::/40,AS8070 IPv6
161.195.152.0/24,AS8075 IPv4
20.153.4.0/24,AS8069 IPv4
170.22.156.0/23,AS8075 IPv4
52.122.246.0/23,AS8069
4.144.0.0/12,AS8075
66.178.148.0/24,AS8075 IPv4
202.89.232.0/21,AS59067
20.47.7.0/24,AS8069 IPv4
20.153.48.0/24,AS8069 IPv4
207.46.48.0/20,AS8075
192.135.88.0/24,AS30520 IPv4
40.127.0.0/19,AS8075
172.192.0.0/20,AS18747
20.47.78.0/23,AS8069 IPv4
167.220.224.0/19,AS3598 IPv4
216.220.208.0/20,AS8075 IPv4
2602:fc31:4::/48,AS8075 IPv6
20.46.32.0/24,AS8075 IPv4
20.157.12.0/22,AS8069
20.33.28.0/24,AS8069 IPv4
204.14.180.0/22,AS36006 IPv4
4.224.0.0/12,AS8075 IPv4
20.157.201.0/24,AS8069 IPv4
20.157.204.0/24,AS8069
20.47.112.0/24,AS8069 IPv4
103.82.234.0/24,AS395524 IPv4
2602:f7be:102::/48,AS8075 IPv6
20.47.122.0/23,AS8069
13.104.82.0/24,AS8069 IPv4
20.153.130.0/24,AS8069 IPv4
20.47.9.0/24,AS8069 IPv4
20.33.131.0/24,AS8069
2603:1063:7c00::/38,AS8070
20.157.22.0/24,AS8069 IPv4
9.163.0.0/16,AS8075 IPv4
193.221.113.0/24,AS8075 IPv4
52.122.184.0/21,AS8069
20.33.52.0/24,AS8069 IPv4
20.157.6.0/23,AS8069
20.33.205.0/24,AS8069 IPv4
