dest_ip,metadata_comment
146.185.184.0/21,AS14061 IPv4
45.55.124.0/22,AS14061 IPv4
209.97.176.0/20,AS14061 IPv4
188.166.168.0/21,AS14061 IPv4
67.207.80.0/20,AS14061 IPv4
139.59.96.0/20,AS14061
209.38.172.0/22,AS14061
138.197.160.0/20,AS14061 IPv4
209.38.0.0/22,AS14061
64.226.80.0/20,AS14061
67.207.66.0/24,AS14061
142.93.0.0/20,AS14061 IPv4
159.65.16.0/20,AS14061 IPv4
165.22.240.0/20,AS14061
164.92.96.0/19,AS14061 IPv4
69.55.53.0/24,AS46652 IPv4
165.227.96.0/20,AS62567 IPv4
164.90.224.0/20,AS14061 IPv4
162.243.191.0/24,AS14061
167.71.16.0/20,AS14061 IPv4
5.101.109.0/24,AS14061
2400:6180:100::/40,AS14061 IPv6
174.138.116.0/22,AS62567 IPv4
146.185.176.0/21,AS14061 IPv4
107.170.160.0/19,AS14061
159.203.56.0/21,AS14061 IPv4
206.189.16.0/20,AS14061 IPv4
165.22.224.0/20,AS14061 IPv4
104.248.112.0/20,AS14061 IPv4
167.99.24.0/22,AS14061 IPv4
165.227.160.0/20,AS14061 IPv4
139.59.224.0/20,AS14061
174.138.32.0/20,AS14061 IPv4
69.55.58.0/23,AS62567 IPv4
167.99.80.0/20,AS14061 IPv4
159.89.160.0/20,AS14061
159.203.52.0/22,AS14061
159.89.64.0/20,AS62567 IPv4
159.65.80.0/20,AS14061 IPv4
147.182.208.0/20,AS14061
45.55.0.0/16,ASN not found
64.226.64.0/20,AS14061 IPv4
152.42.240.0/20,AS14061 IPv4
170.64.128.0/18,AS14061 IPv4
167.172.12.0/22,AS14061 IPv4
142.93.32.0/20,AS14061 IPv4
159.65.144.0/20,AS14061
188.166.204.0/22,AS14061 IPv4
157.245.64.0/20,AS14061 IPv4
104.248.176.0/20,AS14061 IPv4
134.209.208.0/20,AS14061 IPv4
167.71.192.0/20,AS14061 IPv4
159.223.32.0/20,AS14061
178.128.48.0/20,AS14061
167.99.48.0/20,AS14061 IPv4
192.34.56.0/21,AS62567 IPv4
146.190.192.0/22,AS14061
178.128.96.0/20,AS14061 IPv4
161.35.208.0/20,AS14061
206.189.252.0/22,AS14061 IPv4
192.81.208.0/21,AS62567 IPv4
209.38.4.0/22,AS14061 IPv4
192.241.128.0/19,AS62567 IPv4
2a03:b0c0:ffff::/48,AS14061 IPv6
128.199.192.0/18,AS14061
167.99.112.0/20,AS62567 IPv4
2a03:b0c0:2::/48,AS14061
139.59.112.0/20,AS14061
157.245.32.0/20,AS14061
174.138.16.0/20,AS14061 IPv4
134.209.96.0/20,AS14061
2604:a880:800::/48,AS14061 IPv6
146.190.0.0/22,AS14061 IPv4
137.184.144.0/20,AS14061 IPv4
161.35.252.0/22,AS14061 IPv4
24.144.96.0/19,AS14061 IPv4
159.89.252.0/22,AS14061 IPv4
206.189.176.0/20,AS62567 IPv4
139.59.64.0/20,AS14061 IPv4
144.126.208.0/20,AS14061 IPv4
159.203.156.0/22,AS14061 IPv4
141.0.170.0/24,AS14061
104.248.208.0/20,AS14061 IPv4
159.223.144.0/20,AS14061 IPv4
2400:6180:10::/48,AS14061 IPv6
165.22.128.0/20,AS14061 IPv4
68.183.16.0/20,AS14061
167.99.192.0/20,AS14061 IPv4
137.184.0.0/20,AS14061 IPv4
159.203.112.0/20,AS14061 IPv4
143.198.144.0/20,AS14061 IPv4
143.198.176.0/20,AS14061
165.22.64.0/20,AS14061
157.230.200.0/22,AS14061 IPv4
159.89.58.0/24,AS14061 IPv4
104.248.224.0/20,AS14061 IPv4
157.230.128.0/20,AS14061 IPv4
138.68.196.0/22,AS14061 IPv4
5.101.111.0/24,AS14061
159.223.240.0/22,AS14061 IPv4
159.89.0.0/20,AS14061
188.166.224.0/20,AS14061 IPv4
157.230.224.0/20,AS14061 IPv4
152.42.128.0/20,AS14061 IPv4
134.122.0.0/20,AS14061
139.59.208.0/21,AS14061
159.223.128.0/20,AS14061 IPv4
167.99.224.0/20,AS14061
104.248.48.0/20,AS14061 IPv4
188.166.196.0/22,AS14061
157.230.208.0/20,AS14061 IPv4
174.138.96.0/22,AS14061 IPv4
139.59.80.0/20,AS14061
146.190.184.0/22,AS14061
128.199.0.0/20,AS14061
143.244.144.0/20,AS14061 IPv4
167.71.176.0/20,AS14061
146.190.200.0/22,AS14061 IPv4
146.190.96.0/20,AS14061 IPv4
161.35.176.0/20,AS14061 IPv4
157.245.176.0/20,AS14061 IPv4
138.197.48.0/22,AS14061
134.122.48.0/20,AS14061
178.128.32.0/20,AS14061 IPv4
139.59.32.0/20,AS14061
178.62.192.0/18,AS14061
137.184.248.0/22,AS14061 IPv4
209.38.60.0/22,AS14061
178.128.16.0/20,AS14061
164.92.128.0/20,AS14061 IPv4
139.59.56.0/21,AS14061 IPv4
67.207.72.0/22,AS14061 IPv4
157.245.20.0/22,AS14061 IPv4
178.128.160.0/20,AS14061
138.68.128.0/20,AS14061 IPv4
129.212.144.0/20,AS14061 IPv4
192.241.192.0/19,AS14061 IPv4
159.89.80.0/20,AS14061 IPv4
24.144.68.0/22,AS14061 IPv4
167.99.64.0/20,AS14061
