dest_ip,metadata_comment
144.196.0.0/16,ASN not found
170.72.231.0/24,AS16509
2402:2500:2500::/44,AS13445 IPv6
2402:2500:100::/40,AS13445
62.69.139.0/24,AS199196 IPv4
210.4.196.0/23,AS13445
2402:2500:400::/40,AS13445
2402:2500:20a0::/48,AS16509
210.4.196.0/23,AS13445 IPv4
23.89.224.0/21,AS396982
114.29.200.0/22,AS13445
170.72.240.0/24,AS16509
139.177.69.0/24,AS21534
2402:2500:200::/40,AS13445
2402:2500:2100::/44,AS13445 IPv6
114.29.200.0/22,AS13445 IPv4
2402:2500:2020::/44,AS13445
163.129.32.0/22,AS13445
139.177.68.0/24,AS21534
163.129.32.0/22,AS13445 IPv4
2607:fcf0:1400::/44,AS13445 IPv6
2402:2500:2400::/44,AS13445 IPv6
163.129.64.0/20,AS13445
170.72.24.0/21,AS13445
163.129.64.0/20,AS13445 IPv4
66.163.53.0/24,AS13445 IPv4
8.38.216.0/24,AS399937 IPv4
2402:2500:100::/40,AS13445 IPv6
170.72.24.0/21,AS13445 IPv4
170.72.128.0/20,AS13445
209.197.192.0/19,AS13445
23.89.240.0/21,AS396982
170.72.128.0/20,AS13445 IPv4
209.197.192.0/19,AS13445 IPv4
2402:2500:400::/40,AS13445 IPv6
23.89.16.0/20,AS13445
170.72.96.0/20,AS13445
8.244.137.0/24,AS13445 IPv4
23.89.16.0/20,AS13445 IPv4
170.72.96.0/20,AS13445 IPv4
170.133.180.0/22,AS13445
144.196.120.0/23,AS13445
2402:2500:200::/40,AS13445 IPv6
23.89.192.0/20,AS13445
144.196.120.0/23,AS13445 IPv4
23.89.192.0/20,AS13445 IPv4
2402:2500:2020::/44,AS13445 IPv6
170.133.160.0/20,AS13445
170.133.160.0/20,AS13445 IPv4
2607:fcf0:200::/40,AS13445
2402:2500:1010::/44,AS13445 IPv6
170.72.235.0/24,AS16509
114.29.216.0/21,AS13445
2402:2500:1040::/44,AS13445 IPv6
114.29.216.0/21,AS13445 IPv4
163.129.48.0/20,AS13445
150.253.160.0/21,AS13445
62.69.137.0/24,AS199196 IPv4
163.129.48.0/20,AS13445 IPv4
2a00:a640:2300::/44,AS13445
150.253.160.0/21,AS13445 IPv4
69.26.160.0/24,AS13445
69.26.160.0/24,AS13445 IPv4
36.50.182.0/24,AS152185
2607:fcf0:300::/40,AS13445
66.114.170.0/23,AS9450 IPv4
2a00:a640:1100::/44,AS13445
23.89.176.0/21,AS13445
139.177.84.0/24,AS399937 IPv4
23.89.176.0/21,AS13445 IPv4
139.177.76.0/24,AS21534
23.89.96.0/20,AS13445 IPv4
139.177.70.0/24,AS21534
66.163.32.0/19,AS13445 IPv4
139.177.85.0/24,AS399937 IPv4
2402:2500:20a1::/48,AS16509
2a00:a640:2200::/44,AS13445 IPv6
74.112.28.0/22,AS53258 IPv4
2607:fcf0:200::/40,AS13445 IPv6
2607:fcf0:700::/40,AS13445
170.72.16.0/20,AS13445
135.84.175.0/24,AS13445 IPv4
170.72.16.0/20,AS13445 IPv4
23.89.32.0/20,AS13445
2a00:a640:2300::/44,AS13445 IPv6
