dest_ip
20.20.47.128/27
20.20.72.0/26
20.20.72.64/28
20.33.220.0/24
20.38.29.0/24
20.152.30.0/23
20.153.37.0/24
20.201.166.0/24
20.231.136.0/27
48.216.0.0/17
48.219.0.0/18
48.219.128.0/20
48.219.144.0/21
52.106.121.96/27
52.122.245.0/24
57.150.88.0/23
57.150.92.0/24
57.150.240.0/23
209.199.27.16/28
209.199.27.192/26
209.199.28.0/26
2603:1030:1101::/48
2603:1030:1102::/47
2603:1030:1104::/48
2603:1036:3000:220::/59
2603:1037:1:220::/59
2603:1061:1012::/59
2603:1061:1312:4c00::/54
2603:1061:1747::/63
2603:1063:2200:3c::/64
