dest_ip,dest_nt_domain,dest_port
103.75.11.82,nz-akl-ovpn-301.relays.mullvad.net,443
103.75.11.82,nz-akl-ovpn-301.relays.mullvad.net,80
103.75.11.98,nz-akl-ovpn-302.relays.mullvad.net,443
103.75.11.98,nz-akl-ovpn-302.relays.mullvad.net,80
146.70.144.66,pl-waw-ovpn-201.relays.mullvad.net,443
146.70.144.66,pl-waw-ovpn-201.relays.mullvad.net,80
146.70.144.98,pl-waw-ovpn-202.relays.mullvad.net,443
146.70.144.98,pl-waw-ovpn-202.relays.mullvad.net,80
146.70.124.162,ro-buh-ovpn-001.relays.mullvad.net,443
146.70.124.162,ro-buh-ovpn-001.relays.mullvad.net,80
37.120.246.130,ro-buh-ovpn-002.relays.mullvad.net,443
37.120.246.130,ro-buh-ovpn-002.relays.mullvad.net,80
146.70.193.194,rs-beg-ovpn-101.relays.mullvad.net,443
146.70.193.194,rs-beg-ovpn-101.relays.mullvad.net,80
146.70.193.130,rs-beg-ovpn-102.relays.mullvad.net,443
146.70.193.130,rs-beg-ovpn-102.relays.mullvad.net,80
185.213.154.131,se-got-ovpn-001.relays.mullvad.net,443
185.213.154.131,se-got-ovpn-001.relays.mullvad.net,80
185.213.154.132,se-got-ovpn-002.relays.mullvad.net,443
185.213.154.132,se-got-ovpn-002.relays.mullvad.net,80
185.213.154.133,se-got-ovpn-003.relays.mullvad.net,443
185.213.154.133,se-got-ovpn-003.relays.mullvad.net,80
193.138.218.131,se-mma-ovpn-001.relays.mullvad.net,443
193.138.218.131,se-mma-ovpn-001.relays.mullvad.net,80
193.138.218.132,se-mma-ovpn-002.relays.mullvad.net,443
193.138.218.132,se-mma-ovpn-002.relays.mullvad.net,80
141.98.255.83,se-mma-ovpn-013.relays.mullvad.net,443
141.98.255.83,se-mma-ovpn-013.relays.mullvad.net,80
141.98.255.84,se-mma-ovpn-014.relays.mullvad.net,443
141.98.255.84,se-mma-ovpn-014.relays.mullvad.net,80
141.98.255.85,se-mma-ovpn-015.relays.mullvad.net,443
141.98.255.85,se-mma-ovpn-015.relays.mullvad.net,80
141.98.255.86,se-mma-ovpn-016.relays.mullvad.net,443
141.98.255.86,se-mma-ovpn-016.relays.mullvad.net,80
141.98.255.87,se-mma-ovpn-017.relays.mullvad.net,443
141.98.255.87,se-mma-ovpn-017.relays.mullvad.net,80
141.98.255.88,se-mma-ovpn-018.relays.mullvad.net,443
141.98.255.88,se-mma-ovpn-018.relays.mullvad.net,80
141.98.255.89,se-mma-ovpn-019.relays.mullvad.net,443
141.98.255.89,se-mma-ovpn-019.relays.mullvad.net,80
141.98.255.90,se-mma-ovpn-020.relays.mullvad.net,443
141.98.255.90,se-mma-ovpn-020.relays.mullvad.net,80
141.98.255.91,se-mma-ovpn-021.relays.mullvad.net,443
141.98.255.91,se-mma-ovpn-021.relays.mullvad.net,80
141.98.255.92,se-mma-ovpn-022.relays.mullvad.net,443
141.98.255.92,se-mma-ovpn-022.relays.mullvad.net,80
141.98.255.93,se-mma-ovpn-023.relays.mullvad.net,443
