source,advisory_id,cve_id,severity,title,product,product_kind,base_version,affected_raw,affected_type,affected_min_version,affected_min_vnum,affected_min_inclusive,affected_max_version,affected_max_vnum,affected_max_inclusive,fix_version,fix_vnum,published,last_update,url
splunk_advisory,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,9.4.0 to 9.4.13,range_exact,9.4.0,9004000000,1,9.4.13,9004013000,1,9.4.14,9004014000,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
splunk_advisory,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,Splunk Universal Forwarder,forwarder,10.4,Below 10.4.1,below,10.4.0,10004000000,1,10.4.1,10004001000,0,10.4.1,10004001000,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
splunk_advisory,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,Splunk Universal Forwarder,forwarder,10.2,10.2.0 to 10.2.4,range_exact,10.2.0,10002000000,1,10.2.4,10002004000,1,10.2.5,10002005000,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
splunk_advisory,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,Splunk Universal Forwarder,forwarder,10.0,10.0.0 to 10.0.7,range_exact,10.0.0,10000000000,1,10.0.7,10000007000,1,10.0.8,10000008000,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
splunk_advisory,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,Splunk Universal Forwarder,forwarder,9.4,9.4.0 to 9.4.12,range_exact,9.4.0,9004000000,1,9.4.12,9004012000,1,9.4.13,9004013000,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
splunk_advisory,SVD-2026-0705,Multiple (25) CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-39836 CVE-2026-42501 CVE-2025-30204 CVE-2025-61726 CVE-2026-32285 CVE-2026-32287 CVE-2026-34986 CVE-2026-24051 CVE-2026-39883 CVE-2026-29181 CVE-2026-39882 CVE-2025-47913 CVE-2026-8053 CVE-2026-8199 CVE-2026-8201 CVE-2026-8202 CVE-2026-8200 CVE-2026-6914 CVE-2026-6915,Critical,SVD-2026-0705 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.4,Below 10.4.1,below,10.4.0,10004000000,1,10.4.1,10004001000,0,10.4.1,10004001000,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0705
splunk_advisory,SVD-2026-0705,Multiple (25) CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-39836 CVE-2026-42501 CVE-2025-30204 CVE-2025-61726 CVE-2026-32285 CVE-2026-32287 CVE-2026-34986 CVE-2026-24051 CVE-2026-39883 CVE-2026-29181 CVE-2026-39882 CVE-2025-47913 CVE-2026-8053 CVE-2026-8199 CVE-2026-8201 CVE-2026-8202 CVE-2026-8200 CVE-2026-6914 CVE-2026-6915,Critical,SVD-2026-0705 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,10.2.0 to 10.2.4,range_exact,10.2.0,10002000000,1,10.2.4,10002004000,1,10.2.5,10002005000,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0705
splunk_advisory,SVD-2026-0705,Multiple (25) CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-39836 CVE-2026-42501 CVE-2025-30204 CVE-2025-61726 CVE-2026-32285 CVE-2026-32287 CVE-2026-34986 CVE-2026-24051 CVE-2026-39883 CVE-2026-29181 CVE-2026-39882 CVE-2025-47913 CVE-2026-8053 CVE-2026-8199 CVE-2026-8201 CVE-2026-8202 CVE-2026-8200 CVE-2026-6914 CVE-2026-6915,Critical,SVD-2026-0705 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,10.0.0 to 10.0.7,range_exact,10.0.0,10000000000,1,10.0.7,10000007000,1,10.0.8,10000008000,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0705
splunk_advisory,SVD-2026-0705,Multiple (25) CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-39836 CVE-2026-42501 CVE-2025-30204 CVE-2025-61726 CVE-2026-32285 CVE-2026-32287 CVE-2026-34986 CVE-2026-24051 CVE-2026-39883 CVE-2026-29181 CVE-2026-39882 CVE-2025-47913 CVE-2026-8053 CVE-2026-8199 CVE-2026-8201 CVE-2026-8202 CVE-2026-8200 CVE-2026-6914 CVE-2026-6915,Critical,SVD-2026-0705 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,9.4.0 to 9.4.12,range_exact,9.4.0,9004000000,1,9.4.12,9004012000,1,9.4.13,9004013000,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0705
splunk_advisory,SVD-2026-0704,CVE-2026-20298,Medium,SVD-2026-0704 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.4,REST API,unknown,,,0,,,0,10.4.0.10,10004000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0704
splunk_advisory,SVD-2026-0704,CVE-2026-20298,Medium,SVD-2026-0704 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,REST API,unknown,,,0,,,0,10.2.0.10,10002000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0704
splunk_advisory,SVD-2026-0704,CVE-2026-20298,Medium,SVD-2026-0704 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,REST API,unknown,,,0,,,0,10.0.0.10,10000000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0704
splunk_advisory,SVD-2026-0704,CVE-2026-20298,Medium,SVD-2026-0704 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,REST API,unknown,,,0,,,0,9.4.0.9,9004000009,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0704
splunk_advisory,SVD-2026-0703,CVE-2026-20297,High,SVD-2026-0703 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.4,REST API,unknown,,,0,,,0,10.4.0.10,10004000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0703
splunk_advisory,SVD-2026-0703,CVE-2026-20297,High,SVD-2026-0703 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,REST API,unknown,,,0,,,0,10.2.0.10,10002000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0703
splunk_advisory,SVD-2026-0703,CVE-2026-20297,High,SVD-2026-0703 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,REST API,unknown,,,0,,,0,10.0.0.10,10000000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0703
splunk_advisory,SVD-2026-0703,CVE-2026-20297,High,SVD-2026-0703 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,REST API,unknown,,,0,,,0,9.4.0.9,9004000009,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0703
splunk_advisory,SVD-2026-0703,CVE-2026-20297,High,SVD-2026-0703 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.3,REST API,unknown,,,0,,,0,9.3.0.9,9003000009,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0703
splunk_advisory,SVD-2026-0702,CVE-2026-20296,High,SVD-2026-0702 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.4,Splunk Web,unknown,,,0,,,0,10.4.0.10,10004000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0702
splunk_advisory,SVD-2026-0702,CVE-2026-20296,High,SVD-2026-0702 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,Splunk Web,unknown,,,0,,,0,10.2.0.10,10002000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0702
splunk_advisory,SVD-2026-0702,CVE-2026-20296,High,SVD-2026-0702 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0702
splunk_advisory,SVD-2026-0702,CVE-2026-20296,High,SVD-2026-0702 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,Splunk Web,unknown,,,0,,,0,9.4.0.9,9004000009,2026-07-15,2026-07-15,https://advisory.splunk.com/advisories/SVD-2026-0702
splunk_advisory,SVD-2026-0610,Multiple (23) CVE-2025-68121 CVE-2025-61732 CVE-2025-61731 CVE-2025-61726 CVE-2026-25679 CVE-2026-27142 CVE-2026-4147 CVE-2026-4148 CVE-2026-4358 CVE-2026-34516 CVE-2026-34520 CVE-2026-24051 CVE-2026-2003 CVE-2026-2004 CVE-2026-2005 CVE-2026-2006 CVE-2025-47913 CVE-2025-58181 CVE-2025-47914 CVE-2025-68161 CVE-2026-34480 CVE-2026-34477 CVE-2026-1229,Critical,SVD-2026-0610 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.4,Below 10.4.0,below,10.4.0,10004000000,1,10.4.0,10004000000,0,10.4.0,10004000000,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0610
splunk_advisory,SVD-2026-0610,Multiple (23) CVE-2025-68121 CVE-2025-61732 CVE-2025-61731 CVE-2025-61726 CVE-2026-25679 CVE-2026-27142 CVE-2026-4147 CVE-2026-4148 CVE-2026-4358 CVE-2026-34516 CVE-2026-34520 CVE-2026-24051 CVE-2026-2003 CVE-2026-2004 CVE-2026-2005 CVE-2026-2006 CVE-2025-47913 CVE-2025-58181 CVE-2025-47914 CVE-2025-68161 CVE-2026-34480 CVE-2026-34477 CVE-2026-1229,Critical,SVD-2026-0610 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,10.2.0 to 10.2.3,range_exact,10.2.0,10002000000,1,10.2.3,10002003000,1,10.2.4,10002004000,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0610
splunk_advisory,SVD-2026-0610,Multiple (23) CVE-2025-68121 CVE-2025-61732 CVE-2025-61731 CVE-2025-61726 CVE-2026-25679 CVE-2026-27142 CVE-2026-4147 CVE-2026-4148 CVE-2026-4358 CVE-2026-34516 CVE-2026-34520 CVE-2026-24051 CVE-2026-2003 CVE-2026-2004 CVE-2026-2005 CVE-2026-2006 CVE-2025-47913 CVE-2025-58181 CVE-2025-47914 CVE-2025-68161 CVE-2026-34480 CVE-2026-34477 CVE-2026-1229,Critical,SVD-2026-0610 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,10.0.0 to 10.0.6,range_exact,10.0.0,10000000000,1,10.0.6,10000006000,1,10.0.7,10000007000,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0610
splunk_advisory,SVD-2026-0610,Multiple (23) CVE-2025-68121 CVE-2025-61732 CVE-2025-61731 CVE-2025-61726 CVE-2026-25679 CVE-2026-27142 CVE-2026-4147 CVE-2026-4148 CVE-2026-4358 CVE-2026-34516 CVE-2026-34520 CVE-2026-24051 CVE-2026-2003 CVE-2026-2004 CVE-2026-2005 CVE-2026-2006 CVE-2025-47913 CVE-2025-58181 CVE-2025-47914 CVE-2025-68161 CVE-2026-34480 CVE-2026-34477 CVE-2026-1229,Critical,SVD-2026-0610 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,9.4.0 to 9.4.11,range_exact,9.4.0,9004000000,1,9.4.11,9004011000,1,9.4.12,9004012000,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0610
splunk_advisory,SVD-2026-0610,Multiple (23) CVE-2025-68121 CVE-2025-61732 CVE-2025-61731 CVE-2025-61726 CVE-2026-25679 CVE-2026-27142 CVE-2026-4147 CVE-2026-4148 CVE-2026-4358 CVE-2026-34516 CVE-2026-34520 CVE-2026-24051 CVE-2026-2003 CVE-2026-2004 CVE-2026-2005 CVE-2026-2006 CVE-2025-47913 CVE-2025-58181 CVE-2025-47914 CVE-2025-68161 CVE-2026-34480 CVE-2026-34477 CVE-2026-1229,Critical,SVD-2026-0610 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.3,9.3.0 to 9.3.12,range_exact,9.3.0,9003000000,1,9.3.12,9003012000,1,9.3.13,9003013000,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0610
splunk_advisory,SVD-2026-0609,CVE-2026-20259,High,SVD-2026-0609 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,Splunk Web,unknown,,,0,,,0,10.2.0.10,10002000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0609
splunk_advisory,SVD-2026-0609,CVE-2026-20259,High,SVD-2026-0609 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0609
splunk_advisory,SVD-2026-0608,CVE-2026-20258,High,SVD-2026-0608 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,Splunk Web,unknown,,,0,,,0,10.2.0.10,10002000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0608
splunk_advisory,SVD-2026-0608,CVE-2026-20258,High,SVD-2026-0608 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0608
