geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3065305,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",511,"Kreis Böhmisch Leipa",,,Europe/Prague,1
3065328,de,EU,Europa,CZ,Tschechien,10,Prag,,,"Prager Altstadt",,Europe/Prague,1
3065329,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",421,"Bezirk Tetschen",,,Europe/Prague,1
3065367,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",634,,,,Europe/Prague,1
3065377,de,EU,Europa,CZ,Tschechien,41,"Karlsbader Region",411,,,,Europe/Prague,1
3065379,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",806,,,,Europe/Prague,1
3065435,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",424,,,,Europe/Prague,1
3065453,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",323,Pilsen,,,Europe/Prague,1
3065456,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",317,,,,Europe/Prague,1
3065459,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",315,,,,Europe/Prague,1
3065469,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,,,Europe/Prague,1
3065480,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",321,,,,Europe/Prague,1
3065497,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",724,,,,Europe/Prague,1
3065509,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,206,,,,Europe/Prague,1
3065560,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",324,"Kreis Pilsen-Süd",,,Europe/Prague,1
3065607,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",524,,Sollnitz,,Europe/Prague,1
3065617,de,EU,Europa,CZ,Tschechien,41,"Karlsbader Region",413,,"Falkenau an der Eger",,Europe/Prague,1
3065627,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",715,,,,Europe/Prague,1
3065644,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",317,,,,Europe/Prague,1
3065759,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",724,,,,Europe/Prague,1
3065843,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",724,,Slavicin,,Europe/Prague,1
3065862,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",634,,,,Europe/Prague,1
3065876,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",642,,,,Europe/Prague,1
3065901,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,Šlapanice,,Europe/Prague,1
3065903,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,203,,,,Europe/Prague,1
3065921,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",531,,Skutsch,,Europe/Prague,1
3065966,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",713,,Wachtl,,Europe/Prague,1
3065967,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,202,,,,Europe/Prague,1
3065976,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",712,,,,Europe/Prague,1
3066006,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",533,,,,Europe/Prague,1
3066070,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",641,,,,Europe/Prague,1
3066090,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3066095,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",644,"Bezirk Lundenburg",,,Europe/Prague,1
3066127,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",513,,,,Europe/Prague,1
3066154,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",317,,,,Europe/Prague,1
3066159,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,,,Europe/Prague,1
3066169,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,209,,,,Europe/Prague,1
3066181,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3066184,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",806,,,,Europe/Prague,1
3066185,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",804,,Schönau,,Europe/Prague,1
3066189,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,209,,,,Europe/Prague,1
