geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
11797,es,AS,Asia,IR,Irán,02,Mazandarán,,,,,Asia/Tehran,0
18918,es,EU,Europa,CY,Chipre,04,Famagusta,,,Protaras,,Asia/Famagusta,1
49518,es,AF,África,RW,Ruanda,,,,,,,Africa/Kigali,0
51537,es,AF,África,SO,Somalia,,,,,,,Africa/Mogadishu,0
53654,es,AF,África,SO,Somalia,BN,Banaadir,,,Mogadiscio,,Africa/Mogadishu,0
54225,es,AF,África,SO,Somalia,SH,"Shabelle Inferior",,,Marka,,Africa/Mogadishu,0
57289,es,AF,África,SO,Somalia,WO,,,,Hargeisa,,Africa/Mogadishu,0
58933,es,AF,África,SO,Somalia,NU,Nugaal,,,Garoowe,,Africa/Mogadishu,0
62691,es,AF,África,SO,Somalia,SA,Sanaag,,,Ceerigaabo,,Africa/Mogadishu,0
63795,es,AF,África,SO,Somalia,TO,Togdheer,,,Burao,,Africa/Mogadishu,0
64013,es,AF,África,SO,Somalia,BR,Bari,,,Boosaaso,,Africa/Mogadishu,0
64460,es,AF,África,SO,Somalia,HI,Hiiraan,,,Beledweyne,,Africa/Mogadishu,0
64536,es,AF,África,SO,Somalia,BY,Bay,,,Baidoa,,Africa/Mogadishu,0
69543,es,AS,Asia,YE,Yemen,,,,,,,Asia/Aden,0
70222,es,AS,Asia,YE,Yemen,TA,"Gobernación de Ta'izz",,,,,Asia/Aden,0
70223,es,AS,Asia,YE,Yemen,DH,"Gobernación de Dhamar",,,,,Asia/Aden,0
70225,es,AS,Asia,YE,Yemen,TA,"Gobernación de Ta'izz",,,Taiz,,Asia/Aden,0
71135,es,AS,Asia,YE,Yemen,HD,"Gobernación de Hadramaut",,,,,Asia/Aden,0
71137,es,AS,Asia,YE,Yemen,SA,"Amanat Alasimah",,,Sanaá,,Asia/Aden,0
71490,es,AS,Asia,YE,Yemen,BA,"Gobernación de Al Bayda'",,,,,Asia/Aden,0
75427,es,AS,Asia,YE,Yemen,SU,"Gobernación de Socotra",,,,,Asia/Aden,0
76184,es,AS,Asia,YE,Yemen,DH,"Gobernación de Dhamar",,,Damar,,Asia/Aden,0
77843,es,AS,Asia,YE,Yemen,HU,"Gobernación de Al Hudayda",,,,,Asia/Aden,0
78428,es,AS,Asia,YE,Yemen,AM,"Gobernación de 'Amran",,,Amrán,,Asia/Aden,0
79415,es,AS,Asia,YE,Yemen,HU,"Gobernación de Al Hudayda",,,"Al Hudaydah",,Asia/Aden,0
79836,es,AS,Asia,YE,Yemen,BA,"Gobernación de Al Bayda'",,,"Al Bayda",,Asia/Aden,0
80425,es,AS,Asia,YE,Yemen,AB,"Gobernación de Abyan",,,,,Asia/Aden,0
81302,es,AF,África,LY,Libia,BU,"Al Butnan",,,Tobruk,,Africa/Tripoli,0
85026,es,AF,África,LY,Libia,JA,"Al Jabal al Akhdar",,,,,Africa/Tripoli,0
87205,es,AF,África,LY,Libia,DR,Darnah,,,Derna,,Africa/Tripoli,0
88319,es,AF,África,LY,Libia,BA,Bengasi,,,Bengasi,,Africa/Tripoli,0
88903,es,AF,África,LY,Libia,MJ,"Al Marj",,,"Al Marj",,Africa/Tripoli,0
88962,es,AF,África,LY,Libia,KF,"Al Kufrah",,,,,Africa/Tripoli,0
89055,es,AF,África,LY,Libia,JA,"Al Jabal al Akhdar",,,"Al Bayda",,Africa/Tripoli,0
89113,es,AF,África,LY,Libia,WA,"Al Wahat",,,Adjdabía,,Africa/Tripoli,0
89341,es,AS,Asia,IQ,Irak,BA,"Gobernación de Basora",,,,,Asia/Baghdad,0
