rule_name,metadata_tool,metadata_tool_type,metadata_tool_category,metadata_severity,metadata_link,metadata_detection_type,metadata_reference,metadata_comment
ScreenConnect Relay,ScreenConnect,greyware_tool,RMM,high,https://screenconnect.connectwise.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/ScreenConnect.csv,
ScreenConnect Web Server,ScreenConnect,greyware_tool,RMM,high,https://screenconnect.connectwise.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/R-T/ScreenConnect.csv,
