src_ip_entry,src_ip_exit,src_country_entry,src_country_exit
79.127.254.92,79.127.254.104,CA,CA
79.127.254.92,79.127.254.105,CA,CA
79.127.254.92,79.127.254.106,CA,CA
79.127.254.92,79.127.254.107,CA,CA
79.127.254.92,79.127.254.108,CA,CA
79.127.254.92,79.127.254.109,CA,CA
79.127.254.92,79.127.254.110,CA,CA
79.127.254.92,79.127.254.111,CA,CA
79.127.254.92,79.127.254.112,CA,CA
79.127.254.92,79.127.254.113,CA,CA
79.127.254.92,79.127.254.114,CA,CA
79.127.254.92,79.127.254.115,CA,CA
79.127.254.92,79.127.254.116,CA,CA
79.127.254.92,79.127.254.117,CA,CA
79.127.254.92,79.127.254.118,CA,CA
79.127.254.65,79.127.254.66,CA,CA
79.127.254.65,79.127.254.67,CA,CA
79.127.254.65,79.127.254.68,CA,CA
79.127.254.65,79.127.254.69,CA,CA
79.127.254.65,79.127.254.70,CA,CA
79.127.254.65,79.127.254.71,CA,CA
79.127.254.65,79.127.254.72,CA,CA
79.127.254.65,79.127.254.73,CA,CA
79.127.254.65,79.127.254.74,CA,CA
79.127.254.65,79.127.254.75,CA,CA
79.127.254.65,79.127.254.76,CA,CA
79.127.254.65,79.127.254.77,CA,CA
79.127.254.65,79.127.254.78,CA,CA
79.127.254.65,79.127.254.79,CA,CA
79.127.254.65,79.127.254.80,CA,CA
79.127.254.65,79.127.254.81,CA,CA
79.127.254.65,79.127.254.82,CA,CA
79.127.254.65,79.127.254.83,CA,CA
