src_ip_entry,src_ip_exit,src_country_entry,src_country_exit
103.75.11.18,103.75.11.26,NZ,NZ
103.75.11.18,103.75.11.34,NZ,NZ
103.75.11.18,103.75.11.35,NZ,NZ
103.75.11.18,103.75.11.36,NZ,NZ
103.75.11.18,103.75.11.37,NZ,NZ
103.75.11.18,103.75.11.38,NZ,NZ
194.126.177.6,194.126.177.16,DE,DE
194.126.177.6,194.126.177.17,DE,DE
194.126.177.6,194.126.177.18,DE,DE
194.126.177.6,194.126.177.19,DE,DE
194.126.177.6,194.126.177.20,DE,DE
194.126.177.6,194.126.177.21,DE,DE
194.126.177.6,194.126.177.22,DE,DE
194.126.177.6,194.126.177.23,DE,DE
194.126.177.6,194.126.177.24,DE,DE
194.126.177.6,194.126.177.25,DE,DE
194.126.177.6,194.126.177.26,DE,DE
194.126.177.6,194.126.177.27,DE,DE
194.126.177.6,194.126.177.28,DE,DE
194.126.177.6,194.126.177.29,DE,DE
194.126.177.6,194.126.177.30,DE,DE
194.126.177.6,194.126.177.31,DE,DE
194.126.177.6,194.126.177.104,DE,DE
194.126.177.6,194.126.177.105,DE,DE
194.126.177.6,194.126.177.106,DE,DE
194.126.177.6,194.126.177.107,DE,DE
194.126.177.6,194.126.177.108,DE,DE
194.126.177.6,194.126.177.109,DE,DE
194.126.177.6,194.126.177.110,DE,DE
194.126.177.6,194.126.177.111,DE,DE
156.146.50.5,156.146.50.4,UA,UA
156.146.50.5,156.146.50.6,UA,UA
156.146.50.5,156.146.50.7,UA,UA
156.146.50.5,156.146.50.8,UA,UA
156.146.50.5,156.146.50.9,UA,UA
156.146.50.5,156.146.50.1,UA,UA
156.146.50.5,156.146.50.2,UA,UA
156.146.50.5,156.146.50.3,UA,UA
156.146.50.5,156.146.50.10,UA,UA
156.146.50.5,156.146.50.11,UA,UA
31.13.189.242,31.13.189.243,US,US
31.13.189.242,31.13.189.244,US,US
31.13.189.242,31.13.189.245,US,US
31.13.189.242,31.13.189.246,US,US
31.13.189.242,31.13.189.247,US,US
31.13.189.242,31.13.189.248,US,US
31.13.189.242,31.13.189.249,US,US
31.13.189.242,31.13.189.250,US,US
31.13.189.242,31.13.189.251,US,US
31.13.189.242,31.13.189.252,US,US
31.13.189.242,31.13.189.253,US,US
31.13.189.242,31.13.189.254,US,US
31.13.189.242,185.220.69.178,US,US
31.13.189.242,185.220.69.179,US,US
31.13.189.242,185.220.69.180,US,US
31.13.189.242,185.220.69.181,US,US
31.13.189.242,185.220.69.182,US,US
103.216.220.98,103.216.220.99,AU,AU
103.216.220.98,103.216.220.100,AU,AU
103.216.220.98,103.216.220.101,AU,AU
103.216.220.98,103.216.220.102,AU,AU
103.216.220.98,103.216.220.103,AU,AU
103.216.220.98,103.216.220.104,AU,AU
103.216.220.98,103.216.220.105,AU,AU
103.216.220.98,103.216.220.106,AU,AU
103.216.220.98,103.216.220.107,AU,AU
103.216.220.98,103.216.220.108,AU,AU
103.216.220.98,103.216.220.109,AU,AU
103.216.220.98,103.216.220.110,AU,AU
103.216.220.98,103.216.220.90,AU,AU
103.216.220.98,103.216.220.91,AU,AU
103.216.220.98,103.216.220.92,AU,AU
103.216.220.98,103.216.220.93,AU,AU
103.216.220.98,103.216.220.94,AU,AU
194.126.177.7,194.126.177.32,DE,DE
194.126.177.7,194.126.177.33,DE,DE
194.126.177.7,194.126.177.34,DE,DE
194.126.177.7,194.126.177.35,DE,DE
194.126.177.7,194.126.177.36,DE,DE
194.126.177.7,194.126.177.37,DE,DE
194.126.177.7,194.126.177.38,DE,DE
194.126.177.7,194.126.177.39,DE,DE
194.126.177.7,194.126.177.40,DE,DE
194.126.177.7,194.126.177.41,DE,DE
194.126.177.7,194.126.177.42,DE,DE
194.126.177.7,194.126.177.43,DE,DE
194.126.177.7,194.126.177.44,DE,DE
194.126.177.7,194.126.177.45,DE,DE
194.126.177.7,194.126.177.46,DE,DE
194.126.177.7,194.126.177.47,DE,DE
194.126.177.7,194.126.177.112,DE,DE
194.126.177.7,194.126.177.113,DE,DE
194.126.177.7,194.126.177.114,DE,DE
194.126.177.7,194.126.177.115,DE,DE
194.126.177.7,194.126.177.116,DE,DE
194.126.177.7,194.126.177.117,DE,DE
194.126.177.7,194.126.177.118,DE,DE
194.126.177.7,194.126.177.119,DE,DE
156.146.51.78,156.146.51.79,US,US
156.146.51.78,156.146.51.80,US,US
156.146.51.78,156.146.51.81,US,US
156.146.51.78,156.146.51.82,US,US
156.146.51.78,156.146.51.83,US,US
156.146.51.78,156.146.51.84,US,US
156.146.51.78,156.146.51.85,US,US
156.146.51.78,156.146.51.86,US,US
156.146.51.78,156.146.51.87,US,US
156.146.51.78,156.146.51.88,US,US
156.146.51.78,156.146.51.89,US,US
156.146.51.78,156.146.51.90,US,US
156.146.51.78,149.102.254.79,US,US
156.146.51.78,149.102.254.80,US,US
156.146.51.78,149.102.254.81,US,US
156.146.51.78,149.102.254.82,US,US
156.146.51.78,149.102.254.83,US,US
103.108.231.18,103.108.231.19,AU,AU
103.108.231.18,103.108.231.20,AU,AU
103.108.231.18,103.108.231.21,AU,AU
103.108.231.18,103.108.231.22,AU,AU
103.108.231.18,103.108.231.23,AU,AU
103.108.231.18,103.108.231.24,AU,AU
103.108.231.18,103.108.231.25,AU,AU
