dest_ip,metadata.company,metadata.date
18.181.204.0/25,webex.com,1671784187
216.183.123.156/30,webex.com,1671784187
18.132.77.0/25,webex.com,1671784187
194.121.181.64/29,webex.com,1671784187
150.253.128.0/17,webex.com,1671784187
18.141.157.0/25,webex.com,1671784187
170.72.0.0/16,webex.com,1671784187
3.101.77.128/28,webex.com,1671784187
207.182.160.0/19,webex.com,1671784187
2a00:a640::/32,webex.com,1671784187
3.25.56.0/25,webex.com,1671784187
170.133.128.0/18,webex.com,1671784187
74.219.197.176/29,webex.com,1671784187
163.129.0.0/16,webex.com,1671784187
67.120.81.224/29,webex.com,1671784187
2001:1890:184f:2500::/56,webex.com,1671784187
3.22.157.0/26,webex.com,1671784187
62.109.224.0/22,webex.com,1671784187
62.109.240.0/20,webex.com,1671784187
62.23.39.160/29,webex.com,1671784187
62.109.192.0/19,webex.com,1671784187
62.109.228.0/22,webex.com,1671784187
18.230.160.0/25,webex.com,1671784187
99.163.5.144/29,webex.com,1671784187
210.4.192.0/20,webex.com,1671784187
23.89.0.0/16,webex.com,1671784187
66.114.160.0/20,webex.com,1671784187
18.181.18.0/25,webex.com,1671784187
64.68.96.0/19,webex.com,1671784187
76.227.67.160/29,webex.com,1671784187
66.163.32.0/19,webex.com,1671784187
216.183.123.152/30,webex.com,1671784187
209.197.192.0/19,webex.com,1671784187
44.234.52.192/26,webex.com,1671784187
63.113.2.0/24,webex.com,1671784187
173.243.0.0/20,webex.com,1671784187
62.109.232.0/21,webex.com,1671784187
2402:2500::/32,webex.com,1671784187
125.17.150.120/30,webex.com,1671784187
74.219.198.120/29,webex.com,1671784187
71.10.210.208/28,webex.com,1671784187
144.196.0.0/16,webex.com,1671784187
66.123.74.56/29,webex.com,1671784187
2607:fcf0::/32,webex.com,1671784187
2001:1890:18ab:4000::/56,webex.com,1671784187
173.39.224.0/19,webex.com,1671784187
18.156.86.0/25,webex.com,1671784187
3.101.70.0/25,webex.com,1671784187
213.201.192.72/29,webex.com,1671784187
114.29.192.0/19,webex.com,1671784187
