src_ip,metadata_reference
45.60.0.0/16,https://my.imperva.com/api/integration/v1/ips
45.64.64.0/22,https://my.imperva.com/api/integration/v1/ips
45.223.0.0/16,https://my.imperva.com/api/integration/v1/ips
103.28.248.0/22,https://my.imperva.com/api/integration/v1/ips
107.154.0.0/16,https://my.imperva.com/api/integration/v1/ips
131.125.128.0/17,https://my.imperva.com/api/integration/v1/ips
149.126.72.0/21,https://my.imperva.com/api/integration/v1/ips
185.11.124.0/22,https://my.imperva.com/api/integration/v1/ips
192.230.64.0/18,https://my.imperva.com/api/integration/v1/ips
198.143.32.0/19,https://my.imperva.com/api/integration/v1/ips
199.83.128.0/21,https://my.imperva.com/api/integration/v1/ips
2a02:e980::/29,https://my.imperva.com/api/integration/v1/ips
