fuzzer,domain,dns_a,dns_mx,dns_ns
*original,fnacspectacles.com,64.68.202.11,mx-caprica.zoneedit.com,ns13.zoneedit.com
addition,fnacspectacles0.com,,,
addition,fnacspectacles1.com,,,
addition,fnacspectacles2.com,,,
addition,fnacspectacles3.com,,,
addition,fnacspectacles4.com,,,
addition,fnacspectacles5.com,,,
addition,fnacspectacles6.com,,,
addition,fnacspectacles7.com,,,
addition,fnacspectacles8.com,,,
addition,fnacspectacles9.com,,,
addition,fnacspectaclesa.com,,,
addition,fnacspectaclesb.com,,,
addition,fnacspectaclesc.com,,,
addition,fnacspectaclesd.com,,,
addition,fnacspectaclese.com,,,
addition,fnacspectaclesf.com,,,
addition,fnacspectaclesg.com,,,
addition,fnacspectaclesh.com,,,
addition,fnacspectaclesi.com,,,
addition,fnacspectaclesj.com,,,
addition,fnacspectaclesk.com,,,
addition,fnacspectaclesl.com,,,
addition,fnacspectaclesm.com,,,
addition,fnacspectaclesn.com,,,
addition,fnacspectacleso.com,,,
addition,fnacspectaclesp.com,,,
addition,fnacspectaclesq.com,,,
addition,fnacspectaclesr.com,,,
addition,fnacspectacless.com,,,
addition,fnacspectaclest.com,,,
addition,fnacspectaclesu.com,,,
addition,fnacspectaclesv.com,,,
addition,fnacspectaclesw.com,,,
addition,fnacspectaclesx.com,,,
addition,fnacspectaclesy.com,,,
addition,fnacspectaclesz.com,,,
bitsquatting,bnacspectacles.com,,,
bitsquatting,dnacspectacles.com,,,
bitsquatting,ffacspectacles.com,,,
bitsquatting,fjacspectacles.com,,,
bitsquatting,flacspectacles.com,,,
bitsquatting,fnaaspectacles.com,,,
bitsquatting,fnabspectacles.com,,,
bitsquatting,fnac3pectacles.com,,,
bitsquatting,fnaccpectacles.com,,,
bitsquatting,fnacqpectacles.com,,,
bitsquatting,fnacrpectacles.com,,,
bitsquatting,fnacs0ectacles.com,,,
bitsquatting,fnacspactacles.com,,,
bitsquatting,fnacspdctacles.com,,,
bitsquatting,fnacspeatacles.com,,,
bitsquatting,fnacspebtacles.com,,,
bitsquatting,fnacspec4acles.com,,,
bitsquatting,fnacspecdacles.com,,,
bitsquatting,fnacspecpacles.com,,,
bitsquatting,fnacspectaales.com,,,
bitsquatting,fnacspectables.com,,,
bitsquatting,fnacspectacdes.com,,,
bitsquatting,fnacspectaches.com,,,
bitsquatting,fnacspectaclas.com,,,
bitsquatting,fnacspectaclds.com,,,
bitsquatting,fnacspectacle3.com,,,
bitsquatting,fnacspectaclec.com,,,
bitsquatting,fnacspectacleq.com,,,
bitsquatting,fnacspectacler.com,,,
bitsquatting,fnacspectaclew.com,,,
bitsquatting,fnacspectaclgs.com,,,
bitsquatting,fnacspectaclms.com,,,
bitsquatting,fnacspectaclus.com,,,
bitsquatting,fnacspectacmes.com,,,
bitsquatting,fnacspectacnes.com,,,
bitsquatting,fnacspectagles.com,,,
bitsquatting,fnacspectakles.com,,,
bitsquatting,fnacspectasles.com,,,
bitsquatting,fnacspectccles.com,,,
bitsquatting,fnacspectecles.com,,,
bitsquatting,fnacspecticles.com,,,
bitsquatting,fnacspectqcles.com,,,
bitsquatting,fnacspecuacles.com,,,
bitsquatting,fnacspecvacles.com,,,
bitsquatting,fnacspegtacles.com,,,
bitsquatting,fnacspektacles.com,,,
bitsquatting,fnacspestacles.com,,,
bitsquatting,fnacspgctacles.com,,,
bitsquatting,fnacspmctacles.com,,,
bitsquatting,fnacspuctacles.com,,,
bitsquatting,fnacsqectacles.com,,,
bitsquatting,fnacsrectacles.com,,,
bitsquatting,fnacstectacles.com,,,
bitsquatting,fnacsxectacles.com,,,
bitsquatting,fnacwpectacles.com,,,
bitsquatting,fnagspectacles.com,,,
bitsquatting,fnakspectacles.com,,,
bitsquatting,fnasspectacles.com,,,
bitsquatting,fnccspectacles.com,,,
bitsquatting,fnecspectacles.com,,,
