fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,linkedin.com,13.107.42.14,2620:1ec:21::14,mail-a.linkedin.com,dns1.p09.nsone.net
addition,linkedin0.com,,,,
addition,linkedine.com,103.224.212.224,,park-mx.above.com,ns3.abovedomains.com
addition,linkeding.com,104.21.17.101,2606:4700:3033::ac43:af73,,ray.ns.cloudflare.com
addition,linkedin8.com,104.21.62.234,2606:4700:3037::6815:3eea,mx1.larksuite.com,craig.ns.cloudflare.com
addition,linkedin3.com,104.21.93.60,2606:4700:3036::6815:5d3c,,beth.ns.cloudflare.com
addition,linkedins.com,159.89.244.183,!ServFail,!ServFail,ns1.perfectdomain.com
addition,linkedin1.com,167.99.141.109,,,ns55.domaincontrol.com
addition,linkedin2.com,,,,
addition,linkedin4.com,,,,
addition,linkedin5.com,,,,
addition,linkedina.com,,,,
addition,linkedinb.com,,,,
addition,linkedinh.com,,,,
addition,linkedinn.com,!ServFail,!ServFail,!ServFail,ns1.eftydns.com
addition,linkedinl.com,103.224.182.246,,park-mx.above.com,ns1.abovedomains.com
addition,linkedink.com,13.248.169.48,,,ns1.afternic.com
addition,linkedinf.com,167.172.228.26,,,ns1.clksite.com
addition,linkedin7.com,172.64.80.1,2606:4700:3030::6815:3505,,darwin.ns.cloudflare.com
addition,linkedini.com,199.115.115.118,,,ns1.dnsnuts.com
addition,linkedinz.com,207.60.60.162,,,a.share-dns.com
addition,linkedinm.com,34.120.137.41,2600:1901:0:84ef::,mx1.hostinger.com,ns1.dns-parking.com
addition,linkedinv.com,45.63.24.210,,linkedinv.com,ns1.10gigabit.com.au
addition,linkedinj.com,77.247.183.149,,mail.h-email.net,ns1.squirreldns.com
addition,linkedind.com,95.211.75.10,,,ns1.taipandns.com
addition,linkedin9.com,,,,dahlia.ns.cloudflare.com
addition,linkedino.com,,,,
addition,linkedinp.com,,,,
addition,linkedinq.com,45.192.72.59,,,dm1.dns.com
addition,linkedinr.com,,,,
addition,linkedint.com,216.245.213.78,,mail.h-email.net,ns1.redfoxdns.com
addition,linkedinu.com,,,,
addition,linkedinx.com,198.185.159.144,,,ns-cloud-c1.googledomains.com
addition,linkedinw.com,212.32.237.91,,mail.h-email.net,ns1.thednscloud.com
addition,linkedin6.com,,,,dahlia.ns.cloudflare.com
addition,linkedinc.com,,,,ns1-42.azure-dns.com
addition,linkediny.com,,,,
bitsquatting,dinkedin.com,13.248.243.5,,,ns19.domaincontrol.com
bitsquatting,lhnkedin.com,,,,
bitsquatting,lijkedin.com,,,,
bitsquatting,linkeein.com,104.21.3.58,2606:4700:3033::ac43:8248,mx.yandex.ru,sue.ns.cloudflare.com
bitsquatting,linketin.com,104.247.81.53,,mail.h-email.net,ns1.parkingcrew.net
bitsquatting,lincedin.com,104.247.81.54,,mail.h-email.net,ns1.parkingcrew.net
bitsquatting,linkedan.com,15.197.148.33,,mailstore1.secureserver.net,ns09.domaincontrol.com
bitsquatting,linkedif.com,,,,
bitsquatting,linkedmn.com,15.197.148.33,,mailstore1.secureserver.net,ns47.domaincontrol.com
bitsquatting,minkedin.com,15.197.212.58,,,dns1.name-services.com
bitsquatting,ninkedin.com,154.80.131.135,,,a.share-dns.com
bitsquatting,linkedhn.com,162.255.119.53,,eforward1.registrar-servers.com,dns1.registrar-servers.com
bitsquatting,linkefin.com,172.98.192.36,,,ns1.rentondc.com
bitsquatting,liniedin.com,172.98.192.37,,,ns1.rentondc.com
bitsquatting,lifkedin.com,185.25.51.24,,,dns1.regway.com
bitsquatting,lilkedin.com,185.25.51.24,,,dns1.regway.com
bitsquatting,linkgdin.com,185.25.51.24,,,dns1.regway.com
bitsquatting,liokedin.com,185.25.51.24,,,dns1.regway.com
bitsquatting,linjedin.com,199.59.243.226,,,ns1.bodis.com
bitsquatting,linkedyn.com,199.59.243.226,,,ns1.bodis.com
bitsquatting,linkelin.com,209.126.123.11,,,ns1.torresdns.com
bitsquatting,linkedij.com,3.64.163.50,,,7513faf1.verify.hn
bitsquatting,hinkedin.com,34.120.190.48,,mx10.antispam.mailspamprotection.com,ns1.siteground.net
bitsquatting,lknkedin.com,52.89.84.245,,lknkedin.com,ns1.ichannels.com
bitsquatting,linkddin.com,76.76.21.21,,,aspen.ns.cloudflare.com
bitsquatting,linkadin.com,,,,ns1-42.azure-dns.com
bitsquatting,linkedil.com,,,,
bitsquatting,linoedin.com,52.20.84.62,,,ns1.atom.com
bitsquatting,linkedkn.com,69.162.80.54,,,ns1.hastydns.com
bitsquatting,linkedio.com,81.95.96.29,,,alfa.ns.active24.cz
bitsquatting,lankedin.com,86.105.245.69,,,ns1.eftydns.com
bitsquatting,linkmdin.com,,,,ns1djs.name.com
bitsquatting,linkudin.com,,,mxa.eu.mailgun.org,lee.ns.cloudflare.com
bitsquatting,lmnkedin.com,,,,
bitsquatting,lynkedin.com,,,,ns1-42.azure-dns.com
homoglyph,11nkedin.com,,,,
homoglyph,1imkedin.com,,,,
homoglyph,1incedin.com,,,,
homoglyph,1inkcdin.com,,,,
homoglyph,1inkebin.com,,,,
homoglyph,1inkeclin.com,,,,
homoglyph,1inked1n.com,172.234.236.35,,mail.1inked1n.com,ns11.domaincontrol.com
homoglyph,1inkedim.com,,,,
homoglyph,1inkedin.com,,,,ns1.eapps.com
homoglyph,1inkedir.com,,,,
homoglyph,1inkedlin.com,,,,
homoglyph,1inkedln.com,,,,ns-1292.awsdns-33.org
homoglyph,1inledin.com,,,,
homoglyph,1irkedin.com,,,,
homoglyph,1lnkedin.com,,,,
homoglyph,i1nkedin.com,,,,
homoglyph,iimkedin.com,,,,
homoglyph,iincedin.com,,,,
homoglyph,iinkcdin.com,,,,
homoglyph,iinkebin.com,,,,
homoglyph,iinkeclin.com,,,,
homoglyph,iinked1n.com,,,,
homoglyph,iinkedim.com,,,,
homoglyph,iinkedir.com,,,,
homoglyph,l1nkcdin.com,,,,
homoglyph,limcedin.com,,,,
homoglyph,limkcdin.com,,,,
homoglyph,limked1n.com,,,,
homoglyph,limkedin.com,185.107.56.195,,,ns1.brainydns.com
homoglyph,iinkedin.com,199.59.243.226,,,ns1.bodis.com
homoglyph,iinkedlin.com,,,,
homoglyph,iinledin.com,,,,
homoglyph,iirkedin.com,,,,
homoglyph,ilnkedin.com,52.89.84.245,,ilnkedin.com,ns5.serviceport.com
homoglyph,l1mkedin.com,,,,
homoglyph,l1ncedin.com,,,,
homoglyph,l1nkebin.com,,,,
homoglyph,l1nkeclin.com,,,,
homoglyph,l1nkedim.com,,,,
homoglyph,l1nkedin.com,50.117.26.66,,,a.share-dns.com
homoglyph,l1nkedir.com,,,,
homoglyph,l1nkedlin.com,,,,
homoglyph,l1nkedln.com,,,,
homoglyph,l1nledin.com,,,,
homoglyph,limkebin.com,,,,
homoglyph,limkeclin.com,,,,
homoglyph,limkedim.com,104.247.81.54,,mail.h-email.net,ns1.parkingcrew.net
homoglyph,limkedir.com,,,,
homoglyph,limkedlin.com,,,,
homoglyph,limkedln.com,,,,
homoglyph,limledin.com,,,,
homoglyph,lin1edin.com,,,,
homoglyph,linccdin.com,,,,
homoglyph,lincebin.com,,,,
homoglyph,linceclin.com,,,,
homoglyph,linced1n.com,,,,
homoglyph,lincedim.com,,,,
homoglyph,lincedir.com,,,,
homoglyph,lincedlin.com,,,,
homoglyph,lincedln.com,,,,
homoglyph,lineedin.com,,,,
homoglyph,linkcbin.com,,,,
homoglyph,linkcclin.com,,,,
homoglyph,linkcd1n.com,,,,
homoglyph,linkcdim.com,,,,
homoglyph,linkcdlin.com,,,,
homoglyph,linkeb1n.com,,,,
homoglyph,linkebin.com,107.151.89.21,,,a.share-dns.com
homoglyph,linkebir.com,,,,
homoglyph,linkeciin.com,,,,
homoglyph,linkeclin.com,3.94.41.167,,,nsg1.namebrightdns.com
homoglyph,linkecllin.com,,,,
homoglyph,linked1n.com,,,,ns-1496.awsdns-59.org
homoglyph,linked1r.com,,,,
homoglyph,linkedim.com,104.143.9.210,,,ns0.directnic.com
homoglyph,linkedirr.com,,,,
homoglyph,linkedl1n.com,,,,
homoglyph,linkedlim.com,,,,
homoglyph,linkedlln.com,104.153.190.170,,mail-a.linkedlln.com,ns-1423.awsdns-49.org
homoglyph,linkelbin.com,,,,
homoglyph,linlcdin.com,,,,
homoglyph,linled1n.com,,,,
homoglyph,linledim.com,,,,
homoglyph,linledln.com,,,,
homoglyph,linnkedin.com,108.174.10.24,,,dns1.p09.nsone.net
homoglyph,linkedirn.com,129.21.183.59,,mailstore1.secureserver.net,ns13.domaincontrol.com
homoglyph,linkebln.com,146.59.209.152,2001:41d0:301::31,mx1.mail.ovh.net,dns112.ovh.net
homoglyph,linkebim.com,188.165.53.185,2001:41d0:301::21,mx1.mail.ovh.net,dns15.ovh.net
homoglyph,linkeclln.com,20.50.64.14,,,ns1-32.azure-dns.com
homoglyph,linledin.com,208.91.196.105,,,sk.s5.cm.ns1.39.ztomy.com
homoglyph,linkedlin.com,69.16.230.42,,mx156.hostedmxserver.com,a.2ns.net
homoglyph,lircedin.com,,,,
homoglyph,lirkebin.com,,,,
homoglyph,lirked1n.com,,,,
homoglyph,lirkedim.com,,,,
homoglyph,lirkedin.com,23.23.46.58,,mailstore1.secureserver.net,ns77.domaincontrol.com
homoglyph,linkeblin.com,23.82.12.31,,mail.h-email.net,ns1.thednscloud.com
homoglyph,l1nked1n.com,91.185.212.27,,l1nked1n.com,ns7.webicom.si
homoglyph,linked1in.com,,,,
homoglyph,linkedir.com,91.216.107.201,2a00:7ee0:1:0:3:11:0:64,mail.linkedir.com,ns17.lwsdns.com
homoglyph,linkediin.com,95.211.189.152,,,ns1.smtmdns.com
homoglyph,iinkedln.com,,,,ns1.iinkedln.com
homoglyph,l1rkedin.com,,,,
homoglyph,linkcdin.com,,,,ns1-42.azure-dns.com
homoglyph,linkcdir.com,,,,
homoglyph,linkcdln.com,,,,ns1-42.azure-dns.com
homoglyph,linkec1in.com,,,,
homoglyph,linkecl1n.com,,,,
homoglyph,linkeclim.com,,,,
homoglyph,linkeclir.com,,,,
homoglyph,linked1m.com,,,,
homoglyph,linkedlir.com,,,,
homoglyph,linkedllin.com,,,mailstore1.secureserver.net,ns21.domaincontrol.com
homoglyph,linkedlm.com,,,,
homoglyph,linkedln.com,,,,dns1.p09.nsone.net
homoglyph,linkedlr.com,,,,
homoglyph,linkeelin.com,,,,
homoglyph,linlebin.com,,,,
homoglyph,linleclin.com,,,,
homoglyph,linledir.com,,,,
homoglyph,linledlin.com,,,,
homoglyph,lirkcdin.com,,,,
