fuzzer,domain,dns_a,dns_mx,dns_ns
bitsquatting,colisprmve.fr,,,
bitsquatting,colispryve.fr,,,
bitsquatting,colispsive.fr,,,
bitsquatting,colispvive.fr,,,
bitsquatting,colispzive.fr,,,
bitsquatting,colisqrive.fr,,,
bitsquatting,colisrrive.fr,,,
bitsquatting,colistrive.fr,,,
bitsquatting,colisxrive.fr,,,
bitsquatting,coliwprive.fr,,,
bitsquatting,colksprive.fr,,,
bitsquatting,colmsprive.fr,,,
bitsquatting,colysprive.fr,,,
bitsquatting,comisprive.fr,,,
bitsquatting,conisprive.fr,,,
bitsquatting,golisprive.fr,,,
bitsquatting,kolisprive.fr,,,
bitsquatting,solisprive.fr,,,
homoglyph,c01isprive.fr,,,
homoglyph,c0iisprive.fr,,,
homoglyph,c0l1sprive.fr,,,
homoglyph,c0lispr1ve.fr,,,
homoglyph,c0lisprivc.fr,,,
homoglyph,c0lisprive.fr,,,
homoglyph,c0lisprlve.fr,,,
homoglyph,c0llsprive.fr,,,
homoglyph,co11sprive.fr,,,
homoglyph,co1ispr1ve.fr,,,
homoglyph,co1isprivc.fr,,,
homoglyph,co1isprive.fr,,,
homoglyph,co1isprlve.fr,,,
homoglyph,co1lsprive.fr,,,
homoglyph,coi1sprive.fr,,,
homoglyph,coiispr1ve.fr,,,
homoglyph,coiisprivc.fr,,,
homoglyph,coiisprive.fr,,,
homoglyph,coiisprlve.fr,,,
homoglyph,coilsprive.fr,,,
homoglyph,col1spr1ve.fr,,,
homoglyph,col1sprivc.fr,,,
homoglyph,col1sprive.fr,,,
homoglyph,col1sprlve.fr,,,
homoglyph,colispr1vc.fr,,,
homoglyph,colispr1ve.fr,,,
homoglyph,colisprivc.fr,,,
homoglyph,colisprlvc.fr,,,
homoglyph,colisprlve.fr,,,
homoglyph,collspr1ve.fr,,,
homoglyph,collsprivc.fr,,,
homoglyph,collsprive.fr,173.255.194.134,mail.mailerhost.net,ns1.giantpanda.com
homoglyph,collsprlve.fr,,,
homoglyph,e0lisprive.fr,,,
homoglyph,eo1isprive.fr,,,
homoglyph,eoiisprive.fr,,,
homoglyph,eol1sprive.fr,,,
homoglyph,eolispr1ve.fr,,,
homoglyph,eolisprivc.fr,,,
homoglyph,eolisprive.fr,,,
homoglyph,eolisprlve.fr,,,
homoglyph,eollsprive.fr,,,
homoglyph,xn--0lisprive-p3a.fr,,,
homoglyph,xn--c0lispriv-34a.fr,,,
homoglyph,xn--c0lispriv-83a.fr,,,
homoglyph,xn--c0lispriv-j4a.fr,,,
homoglyph,xn--c0lispriv-t4a.fr,,,
homoglyph,xn--c0lisprve-65a.fr,,,
homoglyph,xn--c0lisprve-c5a.fr,,,
homoglyph,xn--c0lisprve-m5a.fr,,,
homoglyph,xn--c0lisprve-w5a.fr,,,
homoglyph,xn--c0lsprive-25a.fr,,,
homoglyph,xn--c0lsprive-74a.fr,,,
homoglyph,xn--c0lsprive-i5a.fr,,,
homoglyph,xn--c0lsprive-s5a.fr,,,
homoglyph,xn--c1isprive-07a.fr,,,
homoglyph,xn--c1isprive-56a.fr,,,
homoglyph,xn--c1isprive-g7a.fr,,,
homoglyph,xn--c1isprive-q7a.fr,,,
homoglyph,xn--c1isprive-v6a.fr,,,
homoglyph,xn--ciisprive-07a.fr,,,
homoglyph,xn--ciisprive-56a.fr,,,
homoglyph,xn--ciisprive-g7a.fr,,,
homoglyph,xn--ciisprive-q7a.fr,,,
homoglyph,xn--ciisprive-v6a.fr,,,
homoglyph,xn--cl1sprive-07a.fr,,,
homoglyph,xn--cl1sprive-56a.fr,,,
homoglyph,xn--cl1sprive-g7a.fr,,,
homoglyph,xn--cl1sprive-q7a.fr,,,
homoglyph,xn--cl1sprive-v6a.fr,,,
homoglyph,xn--clispr1ve-07a.fr,,,
homoglyph,xn--clispr1ve-56a.fr,,,
homoglyph,xn--clispr1ve-g7a.fr,,,
homoglyph,xn--clispr1ve-q7a.fr,,,
homoglyph,xn--clispr1ve-v6a.fr,,,
homoglyph,xn--clispriv-01a6d.fr,,,
homoglyph,xn--clispriv-01a6e.fr,,,
homoglyph,xn--clispriv-01a6f.fr,,,
homoglyph,xn--clispriv-01a6g.fr,,,
homoglyph,xn--clispriv-01a6h.fr,,,
homoglyph,xn--clispriv-80a6g.fr,,,
homoglyph,xn--clispriv-80a6h.fr,,,
homoglyph,xn--clispriv-80a6i.fr,,,
homoglyph,xn--clispriv-80a6j.fr,,,
homoglyph,xn--clispriv-80a6k.fr,,,
homoglyph,xn--clispriv-i1a6f.fr,,,
homoglyph,xn--clispriv-i1a6g.fr,,,
homoglyph,xn--clispriv-i1a6h.fr,,,
homoglyph,xn--clispriv-i1a6i.fr,,,
homoglyph,xn--clispriv-i1a6j.fr,,,
homoglyph,xn--clispriv-r1a6e.fr,,,
homoglyph,xn--clispriv-r1a6f.fr,,,
homoglyph,xn--clispriv-r1a6g.fr,,,
homoglyph,xn--clispriv-r1a6h.fr,,,
homoglyph,xn--clispriv-r1a6i.fr,,,
homoglyph,xn--clisprivc-07a.fr,,,
homoglyph,xn--clisprivc-56a.fr,,,
homoglyph,xn--clisprivc-g7a.fr,,,
homoglyph,xn--clisprivc-q7a.fr,,,
homoglyph,xn--clisprivc-v6a.fr,,,
homoglyph,xn--clisprive-07a.fr,,,
homoglyph,xn--clisprive-56a.fr,,,
homoglyph,xn--clisprive-g7a.fr,,,
homoglyph,xn--clisprive-q7a.fr,,,
homoglyph,xn--clisprive-v6a.fr,,,
homoglyph,xn--clisprlve-07a.fr,,,
homoglyph,xn--clisprlve-56a.fr,,,
homoglyph,xn--clisprlve-g7a.fr,,,
homoglyph,xn--clisprlve-q7a.fr,,,
homoglyph,xn--clisprlve-v6a.fr,,,
homoglyph,xn--clisprve-71a8c.fr,,,
homoglyph,xn--clisprve-71a8d.fr,,,
homoglyph,xn--clisprve-71a8e.fr,,,
homoglyph,xn--clisprve-71a8f.fr,,,
homoglyph,xn--clisprve-71a8g.fr,,,
homoglyph,xn--clisprve-h2a8b.fr,,,
homoglyph,xn--clisprve-h2a8c.fr,,,
homoglyph,xn--clisprve-h2a8d.fr,,,
homoglyph,xn--clisprve-h2a8e.fr,,,
homoglyph,xn--clisprve-h2a8f.fr,,,
homoglyph,xn--clisprve-q2a8a.fr,,,
homoglyph,xn--clisprve-q2a8b.fr,,,
homoglyph,xn--clisprve-q2a8c.fr,,,
homoglyph,xn--clisprve-q2a8d.fr,,,
homoglyph,xn--clisprve-q2a8e.fr,,,
homoglyph,xn--clisprve-z2a8a.fr,,,
homoglyph,xn--clisprve-z2a8b.fr,,,
homoglyph,xn--clisprve-z2a8c.fr,,,
homoglyph,xn--clisprve-z2a8d.fr,,,
homoglyph,xn--clisprve-z2ay.fr,,,
homoglyph,xn--cllsprive-07a.fr,,,
homoglyph,xn--cllsprive-56a.fr,,,
homoglyph,xn--cllsprive-g7a.fr,,,
homoglyph,xn--cllsprive-q7a.fr,,,
homoglyph,xn--cllsprive-v6a.fr,,,
homoglyph,xn--clsprive-31a2d.fr,,,
homoglyph,xn--clsprive-31a2e.fr,,,
homoglyph,xn--clsprive-31a2f.fr,,,
homoglyph,xn--clsprive-31a2g.fr,,,
homoglyph,xn--clsprive-31a2h.fr,,,
homoglyph,xn--clsprive-d2a2c.fr,,,
homoglyph,xn--clsprive-d2a2d.fr,,,
homoglyph,xn--clsprive-d2a2e.fr,,,
homoglyph,xn--clsprive-d2a2f.fr,,,
homoglyph,xn--clsprive-d2a2g.fr,,,
homoglyph,xn--clsprive-m2a2b.fr,,,
homoglyph,xn--clsprive-m2a2c.fr,,,
homoglyph,xn--clsprive-m2a2d.fr,,,
homoglyph,xn--clsprive-m2a2e.fr,,,
homoglyph,xn--clsprive-m2a2f.fr,,,
homoglyph,xn--clsprive-v2a2a.fr,,,
homoglyph,xn--clsprive-v2a2b.fr,,,
homoglyph,xn--clsprive-v2a2c.fr,,,
homoglyph,xn--clsprive-v2a2d.fr,,,
homoglyph,xn--clsprive-v2a2e.fr,,,
homoglyph,xn--co1ispriv-34a.fr,,,
homoglyph,xn--co1ispriv-83a.fr,,,
homoglyph,xn--co1ispriv-j4a.fr,,,
homoglyph,xn--co1ispriv-t4a.fr,,,
homoglyph,xn--co1isprve-65a.fr,,,
homoglyph,xn--co1isprve-c5a.fr,,,
homoglyph,xn--co1isprve-m5a.fr,,,
homoglyph,xn--co1isprve-w5a.fr,,,
homoglyph,xn--co1sprive-25a.fr,,,
homoglyph,xn--co1sprive-74a.fr,,,
homoglyph,xn--co1sprive-i5a.fr,,,
homoglyph,xn--co1sprive-s5a.fr,,,
homoglyph,xn--coiispriv-34a.fr,,,
homoglyph,xn--coiispriv-83a.fr,,,
homoglyph,xn--coiispriv-j4a.fr,,,
homoglyph,xn--coiispriv-t4a.fr,,,
homoglyph,xn--coiisprve-65a.fr,,,
homoglyph,xn--coiisprve-c5a.fr,,,
homoglyph,xn--coiisprve-m5a.fr,,,
homoglyph,xn--coiisprve-w5a.fr,,,
homoglyph,xn--coisprive-15a.fr,,,
homoglyph,xn--coisprive-25a.fr,,,
homoglyph,xn--coisprive-64a.fr,,,
homoglyph,xn--coisprive-74a.fr,,,
homoglyph,xn--coisprive-h5a.fr,,,
homoglyph,xn--coisprive-i5a.fr,,,
homoglyph,xn--coisprive-r5a.fr,,,
homoglyph,xn--coisprive-s5a.fr,,,
homoglyph,xn--col1spriv-34a.fr,,,
homoglyph,xn--col1spriv-83a.fr,,,
homoglyph,xn--col1spriv-j4a.fr,,,
homoglyph,xn--col1spriv-t4a.fr,,,
homoglyph,xn--col1sprve-65a.fr,,,
homoglyph,xn--col1sprve-c5a.fr,,,
homoglyph,xn--col1sprve-m5a.fr,,,
homoglyph,xn--col1sprve-w5a.fr,,,
homoglyph,xn--colispr1v-34a.fr,,,
homoglyph,xn--colispr1v-83a.fr,,,
homoglyph,xn--colispr1v-j4a.fr,,,
