fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,ticket-resale.paris2024.org,23.53.35.135,2600:1408:ec00:b::1730:cbaa,!ServFail,a1-222.akam.net
addition,ticket-resale.paris20240.org,,,,
addition,ticket-resale.paris20241.org,,,,
addition,ticket-resale.paris20242.org,,,,
addition,ticket-resale.paris20243.org,,,,
addition,ticket-resale.paris20244.org,,,,
addition,ticket-resale.paris20245.org,,,,
addition,ticket-resale.paris20246.org,,,,
addition,ticket-resale.paris20247.org,,,,
addition,ticket-resale.paris20248.org,,,,
addition,ticket-resale.paris20249.org,,,,
addition,ticket-resale.paris2024a.org,,,,
addition,ticket-resale.paris2024b.org,,,,
addition,ticket-resale.paris2024c.org,,,,
addition,ticket-resale.paris2024d.org,,,,
addition,ticket-resale.paris2024e.org,,,,
addition,ticket-resale.paris2024f.org,,,,
addition,ticket-resale.paris2024g.org,,,,
addition,ticket-resale.paris2024h.org,,,,
addition,ticket-resale.paris2024i.org,,,,
addition,ticket-resale.paris2024j.org,,,,
addition,ticket-resale.paris2024k.org,,,,
addition,ticket-resale.paris2024l.org,,,,
addition,ticket-resale.paris2024m.org,,,,
addition,ticket-resale.paris2024n.org,127.0.0.1,,,
addition,ticket-resale.paris2024o.org,,,,
addition,ticket-resale.paris2024p.org,,,,
addition,ticket-resale.paris2024q.org,127.0.0.1,,,
addition,ticket-resale.paris2024r.org,127.0.0.1,,,
addition,ticket-resale.paris2024s.org,127.0.0.1,,,
addition,ticket-resale.paris2024t.org,127.0.0.1,,,
addition,ticket-resale.paris2024u.org,127.0.0.1,,,
addition,ticket-resale.paris2024v.org,127.0.0.1,,,
addition,ticket-resale.paris2024w.org,127.0.0.1,,,
addition,ticket-resale.paris2024x.org,127.0.0.1,,,
addition,ticket-resale.paris2024y.org,127.0.0.1,,,
addition,ticket-resale.paris2024z.org,127.0.0.1,,,
bitsquatting,ticket-resale.0aris2024.org,,,,
bitsquatting,ticket-resale.pa2is2024.org,,,,
bitsquatting,ticket-resale.pabis2024.org,127.0.0.1,,,
bitsquatting,ticket-resale.papis2024.org,127.0.0.1,,,
bitsquatting,ticket-resale.paras2024.org,127.0.0.1,,,
bitsquatting,ticket-resale.parhs2024.org,127.0.0.1,,,
