fuzzer,domain,dns_a,dns_mx,dns_ns
*original,chronopost.fr,185.16.44.89,alt1.aspmx.l.google.com,a.ns.domainoo.fr
addition,chronopost0.fr,,,
addition,chronopost1.fr,,,
addition,chronopost2.fr,,,
addition,chronopost3.fr,,,
addition,chronopost4.fr,,,
addition,chronopost5.fr,,,
addition,chronopost6.fr,,,
addition,chronopost7.fr,,,
addition,chronopost8.fr,,,
addition,chronopost9.fr,,,
addition,chronoposta.fr,,,
addition,chronopostb.fr,,,
addition,chronopostc.fr,,,
addition,chronopostd.fr,,,
addition,chronoposte.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
addition,chronopostf.fr,,,
addition,chronopostg.fr,,,
addition,chronoposth.fr,,,
addition,chronoposti.fr,,,
addition,chronopostj.fr,,,
addition,chronopostk.fr,,,
addition,chronopostl.fr,,,
addition,chronopostm.fr,,,
addition,chronopostn.fr,,,
addition,chronoposto.fr,,,
addition,chronopostp.fr,,,
addition,chronopostq.fr,,,
addition,chronopostr.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
addition,chronoposts.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
addition,chronopostt.fr,,,
addition,chronopostu.fr,,,
addition,chronopostv.fr,,,
addition,chronopostw.fr,,,
addition,chronopostx.fr,,,
addition,chronoposty.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
addition,chronopostz.fr,,,
bitsquatting,ahronopost.fr,,,
bitsquatting,bhronopost.fr,,,
bitsquatting,ch2onopost.fr,,,
bitsquatting,chbonopost.fr,,,
bitsquatting,chponopost.fr,,,
bitsquatting,chrgnopost.fr,,,
bitsquatting,chrknopost.fr,,,
bitsquatting,chrmnopost.fr,,,
bitsquatting,chrnnopost.fr,,,
bitsquatting,chrofopost.fr,,,
bitsquatting,chrojopost.fr,,,
bitsquatting,chrolopost.fr,,,
bitsquatting,chrongpost.fr,,,
bitsquatting,chronkpost.fr,,,
bitsquatting,chronmpost.fr,,,
bitsquatting,chronnpost.fr,,,
bitsquatting,chrono0ost.fr,,,
bitsquatting,chronopgst.fr,,,
bitsquatting,chronopkst.fr,,,
bitsquatting,chronopmst.fr,,,
bitsquatting,chronopnst.fr,,,
bitsquatting,chronopo3t.fr,,,
bitsquatting,chronopoct.fr,,,
bitsquatting,chronopoqt.fr,,,
bitsquatting,chronoport.fr,,,
bitsquatting,chronopos4.fr,,,
bitsquatting,chronoposd.fr,,,
bitsquatting,chronoposp.fr,,,
bitsquatting,chronoposu.fr,,,
bitsquatting,chronoposv.fr,,,
bitsquatting,chronopowt.fr,,,
bitsquatting,chronoqost.fr,,,
bitsquatting,chronorost.fr,,,
bitsquatting,chronotost.fr,,,
bitsquatting,chronoxost.fr,,,
bitsquatting,chrooopost.fr,,,
bitsquatting,chsonopost.fr,,,
bitsquatting,chvonopost.fr,,,
bitsquatting,chzonopost.fr,,,
bitsquatting,cironopost.fr,,,
bitsquatting,cjronopost.fr,,,
bitsquatting,clronopost.fr,,,
bitsquatting,cxronopost.fr,,,
bitsquatting,ghronopost.fr,,,
bitsquatting,khronopost.fr,,,
bitsquatting,shronopost.fr,,,
homoglyph,c1ronopost.fr,,,
homoglyph,chr0mopost.fr,,,
homoglyph,chr0n0post.fr,,,
homoglyph,chr0nop0st.fr,,,
homoglyph,chr0nopost.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
homoglyph,chr0ropost.fr,,,
homoglyph,chrom0post.fr,,,
homoglyph,chromop0st.fr,,,
homoglyph,chromopost.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
homoglyph,chron0p0st.fr,,,
homoglyph,chron0post.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
homoglyph,chronnopost.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
homoglyph,chronop0st.fr,185.16.44.132,a.mx.domainoo.fr,a.ns.domainoo.fr
homoglyph,chror0post.fr,,,
homoglyph,chrornopost.fr,,,
homoglyph,chrorop0st.fr,,,
homoglyph,chroropost.fr,,,
homoglyph,chrorropost.fr,,,
homoglyph,clr0nopost.fr,,,
homoglyph,clromopost.fr,,,
homoglyph,clron0post.fr,,,
homoglyph,clronop0st.fr,,,
homoglyph,clroropost.fr,,,
homoglyph,ehr0nopost.fr,,,
homoglyph,ehromopost.fr,,,
homoglyph,ehron0post.fr,,,
homoglyph,ehronop0st.fr,,,
homoglyph,ehronopost.fr,,,
homoglyph,ehroropost.fr,,,
homoglyph,elronopost.fr,,,
homoglyph,xn--chr0nopst-16a.fr,,,
homoglyph,xn--chr0nopst-67a.fr,,,
homoglyph,xn--chr0nopst-c7a.fr,,,
homoglyph,xn--chr0nopst-m7a.fr,,,
homoglyph,xn--chr0nopst-w7a.fr,,,
homoglyph,xn--chr0npost-47a.fr,,,
homoglyph,xn--chr0npost-96a.fr,,,
homoglyph,xn--chr0npost-k7a.fr,,,
homoglyph,xn--chr0npost-u7a.fr,,,
homoglyph,xn--chr0npost-z6a.fr,,,
homoglyph,xn--chr0opost-o6a.fr,,,
homoglyph,xn--chrmopost-27a.fr,,,
homoglyph,xn--chrmopost-76a.fr,,,
homoglyph,xn--chrmopost-i7a.fr,,,
homoglyph,xn--chrmopost-s7a.fr,,,
homoglyph,xn--chrmopost-x6a.fr,,,
homoglyph,xn--chrn0post-27a.fr,,,
homoglyph,xn--chrn0post-76a.fr,,,
homoglyph,xn--chrn0post-i7a.fr,,,
homoglyph,xn--chrn0post-s7a.fr,,,
homoglyph,xn--chrn0post-x6a.fr,,,
homoglyph,xn--chrnop0st-27a.fr,,,
homoglyph,xn--chrnop0st-76a.fr,,,
homoglyph,xn--chrnop0st-i7a.fr,,,
