"ASN","OrgName","Info","Date"
"63949","Akamai Connected Cloud","117 VPN Services, 46 Proxy Services","2025-06-12"
"63956","5G NETWORK OPERATIONS PTY LTD","Pure VPN","2024-12-17"
"64200","VIVID-HOSTING LLC","NordVPN","2024-12-17"
"64245","DigitalFyre Internet Solutions, LLC","NordVPN","2024-12-17"
"64286","LogicWeb Inc.","ExpressVPN","2024-12-17"
"131199","Nexeon Technologies, Inc.","NordVPN","2024-12-17"
"131775","PT. Jupiter Jala Arta","Windscribe VPN","2024-12-17"
"132203","Tencent Building, Kejizhongyi Avenue","12 VPN Services, 38 Proxy Services","2025-06-12"
"132335","LEAPSWITCH NETWORKS PRIVATE LIMITED","PIA VPN, Windscribe VPN","2024-12-17"
"132372","GB Network Solutions Sdn. Bhd.","Pure VPN","2024-12-17"
"133159","Mammoth Media Pty Ltd","Pure VPN","2024-12-17"
"133296","Web Werks India Pvt. Ltd.","ExpressVPN","2024-12-17"
"133480","5G NETWORK OPERATIONS PTY LTD","Mullvad VPN, Pure VPN, Windscribe VPN","2024-12-17"
"133752","LEASEWEB HONG KONG LIMITED","TunnelBear VPN","2024-12-17"
"134094","Serverfield Co., Ltd.","Windscribe VPN","2024-12-17"
"134451","NewMedia Express Pte Ltd","Pure VPN","2024-12-17"
"136258","BrainStorm Network, Inc","NearVPN","2025-05-24"
"136557","Host Universal Pty Ltd","Mullvad VPN, NordVPN, ProtonVPN, Surfshark VPN","2024-12-17"
"136787","TEFINCOM S.A.","NordVPN","2024-12-17"
"137409","GSL Networks Pty LTD","CyberGhost VPN, ExpressVPN, NordVPN, PIA VPN, ProtonVPN, Pure VPN, Windscribe VPN","2024-12-17"
"137897","PAN-LIAN TECHNOLOGY CO., LIMITED","Flow VPN","2025-10-25"
"138652","Super Godzilla Communications GK","Windscribe VPN","2024-12-17"
"138915","Kaopu Cloud HK Limited","Pure VPN","2024-12-17"
"141039","PacketHub S.A.","NordVPN","2024-12-17"
"147049","PacketHub S.A.","NordVPN","2024-12-17"
"149440","Evoxt Enterprise","9 VPN Services, 18 Proxy Services","2025-06-12"
"150249","PT Atharva Telematika Persada","Windscribe VPN","2024-12-17"
"151106","SRMAK TECHNOLOGICAL SYSTEM PRIVATE LIMITED","Pure VPN","2024-12-17"
"197071","active 1 GmbH","Pure VPN","2024-12-17"
"197155","Artnet Sp. z o.o.","Surfshark VPN, Windscribe VPN","2024-12-17"
"197328","GEOCOM LLC","Pure VPN","2024-12-17"
"197648","CLOUDLAYER8 LIMITED","ExpressVPN","2024-12-17"
"197695","REG.RU","Surfshark VPN","2024-12-17"
"197706","Keminet SHPK","CyberGhost VPN, ExpressVPN, Mullvad VPN, PIA VPN, Pure VPN, Windscribe VPN","2024-12-17"
"197854","Eisenia AB","Mullvad VPN","2024-12-17"
"198371","NINET Company Nis d.o.o.","Mullvad VPN","2024-12-17"
"198605","AVAST Software s.r.o.","HMA VPN","2024-04-07"
"198890","Albanian Fiber Telecommunications SHPK","NordVPN, Windscribe VPN","2024-12-17"
"199218","Proton AG","ProtonVPN","2024-12-17"
"199524","G-Core Labs S.A.","NordVPN, ProtonVPN, Pure VPN","2024-12-17"
"199614","Fiberocity Ltd","ProtonVPN","2024-12-17"
"200019","AlexHost SRL","CactusVPN","2025-10-25"
"200593","PROSPERO OOO","High Risk ISP","2025-05-27"
"200651","FlokiNET ehf","Windscribe VPN","2024-12-17"
"200698","Globalhost d.o.o.","NordVPN, ProtonVPN, Windscribe VPN","2024-12-17"
"200899","INTERSPACE DOOEL Skopje","ProtonVPN","2024-12-17"
"201924","ENAHOST s.r.o.","PIA VPN, TunnelBear VPN","2024-12-17"
"202015","HZ Hosting Ltd","8 VPN Services, 10 Proxy Services","2025-06-12"
"202053","UpCloud Ltd","Pure VPN","2024-12-17"
"202656","XServer Europe","Pure VPN","2024-12-17"
"203020","HostRoyale Technologies Pvt Ltd","Mullvad VPN, ProtonVPN, Pure VPN, Surfshark VPN","2024-12-17"
"204094","I4W - Web Solutions, Lda","TunnelBear VPN","2024-12-17"
"204646","web2objects GmbH","ExpressVPN","2024-12-17"
"204939","TAC COMMUNICATIONS LTD","Windscribe VPN","2024-12-17"
"205119","TELEKS DOOEL Skopje","CyberGhost VPN, NordVPN, PIA VPN, Windscribe VPN","2024-12-17"
"205676","Data Center Experts LTD","Surfshark VPN","2024-12-17"
"206092","IPXO LIMITED","ExpressVPN","2024-12-17"
"206264","Amarutu Technology Ltd","Pure VPN","2024-12-17"
"206446","CLOUD LEASE Ltd","ProtonVPN","2024-12-17"
"206804","EstNOC OY","CyberGhost VPN, ExpressVPN, PIA VPN, ProtonVPN, Windscribe VPN","2024-12-17"
"207083","HostSlim B.V.","Windscribe VPN","2024-12-17"
"207137","PacketHub S.A.","NordVPN","2024-12-17"
"207713","Global Internet Solutions LLC","4 VPN Services, 20 Proxy Services","2025-07-26"
"207990","HostRoyale Technologies Pvt Ltd","Mullvad VPN, NordVPN, Surfshark VPN","2024-12-17"
