"as_number","metadata_comment"
"26347","DREAMHOST-AS"
"264617","GRUPO PANAGLOBAL 15 S.A - banned ips"
"26737","TREE TELECOM - banned ips"
"267784","Flyservers S.A. - banned ips"
"268105","N.F.F.NETWORK SERVICOS DE TELECOMUNICACOES LTDA - banned ips"
"29119","Bad ASN - ServiHosting"
"29222","Infomaniak Network SA - banned ips"
"30823","aurologic GmbH - banned ips"
"31173","Services AB - banned ips"
"3214","xTom GmbH - banned ips"
"328383","xTom Limited - banned ips"
"328543","Sun Network Company Limited - banned ips"
"34465","NCRYPTD NET LTD - banned ips"
"34534","FBW NETWORKS SAS - banned ips"
"34534","https://x.com/banthisguy9349/status/1866766836412584432"
"35042","Layer7 Networks GmbH - banned ips"
"35048","https://scamalytics.com/ip/isp/biterika-group-llc"
"35112","GBN group Ltd - banned ips"
"35133","Eranium B.V. - banned ips"
"35661","VIRTUA SYSTEMS SAS - banned ips"
"36352","https://x.com/banthisguy9349/status/1866768634447900673 - https://x.com/banthisguy9349/status/1866770015451488375"
"36680","Netiface LLC - banned ips"
"36832","Network Gibbon LLC - banned ips"
"36902","Intelvision Ltd - banned ips"
"37740","IPTP Inc - banned ips"
"3920","RIPE Network Coordination Centre - banned ips"
"39287","ab stract ltd - banned ips"
"39351","Services AB - banned ips"
"39421","Sapinet SAS - banned ips"
"397630","Bad ASN - Blazing SEO, LLC"
"397702","Bad ASN - 1776 Solutions"
"39798","MivoCloud SRL - banned ips"
"398324","Censys, Inc. - banned ips"
"398705","Censys, Inc. - banned ips"
"398722","Censys, Inc. - banned ips"
"399486","12651980 CANADA INC. - banned ips"
"399629","https://blog.bushidotoken.net/2025/02/investigating-anonymous-vps-services.html"
"399820","Atomic Networks LLC - banned ips"
"400130","Hebergement Serv3r.net inc. - banned ips"
"400328","Bad ASN - Intelligence Hosting LLC"
"400992","ZhouyiSat Communications - banned ips"
"40124","Charged IT Solutions LLC - banned ips"
"41047","Bart Vrancken trading as MLaB - banned ips"
"41436","Kamatera Inc - banned ips"
"41608","NextGenWebs, S.L. - banned ips"
"4224","The Calyx Institute - banned ips"
"42318","FastBit AB - banned ips"
"42532","SIA VEESP - banned ips"
"42624","https://x.com/search?q=%22AS42624%22%20OR%20%22ASN%2042624%22&src=typed_query&f=live"
"43180","Trunk Networks LTD - banned ips"
"43317","SIA VEESP - banned ips"
"43350","NForce Entertainment B.V. - banned ips"
"43357","Owl Limited - banned ips"
"43463","INFOCOM UK LTD - banned ips"
"43641","SOLLUTIUM EU Sp z.o.o. - banned ips"
"43861","Circle B B.V. - banned ips"
"44097","CLEMENT CAVADORE - banned ips"
"44679","INVITE Systems SRL - banned ips"
"44947","AMWAJ ALKHYR COMMERCIAL BROKERS CO. - banned ips"
"47440","BUSINESS SYSTEM TELEHOUSE, OOO - banned ips"
"47464","Address Management Inc. - banned ips"
"4788","TM TECHNOLOGY SERVICES SDN. BHD."
"47890","UNMANAGED LTD - banned ips"
"48666","Bad ASN - ASN allocation status is Reserved"
"48721","Flyservers S.A. - banned ips"
"49111","iNet Ltd - banned ips"
"49305","Alsycon B.V. - banned ips"
"49418","NETSHIELD LTD - banned ips"
"49434","FBW NETWORKS SAS - banned ips"
"49447","Nice IT Services Group Inc. - banned ips"
"49581","Ferdinand Zink trading as Tube-Hosting - banned ips"
"49870","Alsycon B.V. - banned ips"
"50053","Individual Entrepreneur Anton Levin - banned ips"
"50360","Bad ASN - Tamatiya EOOD"
"50360","Tamatiya EOOD - banned ips"
"50917","Diederik Focko de Zee - banned ips"
"51088","Bad ASN - A2B IP B.V."
"51115","HLL LLC - banned ips"
"51381","https://x.com/banthisguy9349/status/1853024148248781233"
