as_number,rir,domain,cc,asname
44386,ripencc,ozon.ru,RU,OZON-AS
44774,ripencc,62yun.com,RU,STARK
44801,ripencc,bignet.ua,UA,R-TEL-AS
44853,ripencc,uplink.in.md,MD,HOSTING
46664,arin,volumedrive.com,US,VDI-NETWORK
47893,ripencc,bignet.ua,UA,R-TEL-AS
47926,ripencc,bignet.ua,UA,LIRUKRAINE
47945,ripencc,bignet.ua,UA,R-TEL-AS
48198,ripencc,avtotrans,UA,AVTOTRANS-EURO-AS
48589,ripencc,imtigernet,GB,TIGER
49042,ripencc,skb-enterprise.com,NL,PHANES-NETWORKS
49217,ripencc,hostype.com,TR,HOSTYPE
49316,ripencc,ncryptd.net,GB,NCRYPTD
50236,ripencc,62yun.com,RU,Vertexlink_Communications
50308,ripencc,ozon.ru,RU,AS50308
50935,ripencc,hosting.international,GB,International-Hosting-Solutions-AS
51045,ripencc,bignet.ua,UA,DEMENIN-AS
51124,ripencc,bignet.ua,UA,ITPLUS-UA-AS
51381,ripencc,eliteteam.to,SC,ELITETEAM-PEERING-AZ1
51396,ripencc,pfcloud.io,DE,PFCLOUD
51447,ripencc,rootlayer.net,BD,ROOTLAYERNET
51490,ripencc,propersupportmedia.com,GB,PROPER-AS
53958,arin,auproxies.com,US,BART-BM
55020,arin,laruscloudservices.com,US,IDCCLOUD
55748,apnic,morsejp.com,JP,MORSE-JP
56291,apnic,ace-idc.com,JP,ACE-AS-AP
56873,ripencc,eliteteam.to,SC,ELITETEAM-ANTIDDOS
57097,ripencc,ncryptd.net,GB,NCRYPTD
57415,ripencc,bignet.ua,UA,R-TEL-AS
57467,ripencc,ncryptd.net,GB,NCRYPTD
57509,ripencc,cloudbs.biz,BG,LL-Investment-Ltd
57523,ripencc,changway.hk,HK,changway-as
57678,ripencc,changway.hk,HK,CATTECHNOLOGIES-AS
58854,apnic,kaopuyun.com,CN,kaopy
59425,ripencc,changway.hk,HK,HORIZONMSK-AS
59683,ripencc,vip-net.net,RU,iridatelecom
60458,ripencc,sered.net,ES,ASN-XTUDIONET
60842,ripencc,62yun.com,RU,HUIZE-HOLDINGS-AS
61432,ripencc,link-host.com,UA,VAIZ-AS
61879,lacnic,aleducacional.com.br,BR,América_Latina_Educacional_Adm._e_Serviços_LTDA
62864,arin,netinnovation.net,US,NILAS
63881,apnic,medianetdigital.co,ID,MDI-AS-ID
64425,ripencc,skb-enterprise.com,NL,SKB-Enterprise
131750,apnic,sufia.tv,ID,SUFIANET-AS-ID
132574,arin,alphainfolab.com,IN,AI-1720-132574
132781,apnic,karix.com,IN,UNICEL-AS
132827,apnic,g-w.bz,JP,GATEWAY-AS-AP
132930,apnic,herbalvedawellness.com,IN,HERBALVE-AS-IN
133320,apnic,alphainfolab.com,IN,ALPHA-AS-AP
133488,apnic,servicehk.net,HK,SERVICE-AS-AP
133668,apnic,eikontech.net,IN,INFOBB-AS-IN
133692,apnic,fastnetcpl.com,IN,Fastnet-AS-IN
133883,apnic,karix.com,IN,MGAGEIND-AS-AP
133994,apnic,rmhospitality.co.in,IN,RMHOSPITALITY-AS-IN
135271,apnic,globtelgroup.com,US,GLOBTELGROUP-AS-AP
135752,apnic,evokedigital.in,IN,EVOKEDS-AS
136231,apnic,kaopuyun.com,CN,KAOPU-HK
136367,apnic,herbzoothealthcare.co.in,IN,HERBZOOT-AS-IN
136923,apnic,thestack.net,HK,WIT-AS-AP
137156,apnic,blueberrywebs.com,IN,BLUEB-AS
138687,apnic,xdeer.com,HK,XDEER-AS-AP
138749,apnic,robustedge.com,IN,ROBUSTED-AS-IN
138808,apnic,intechmandiri.com,ID,INTECHMANDIRI-AS-ID
138915,apnic,kaopuyun.com,CN,KAOPU-HK
139660,apnic,obhost.org,PK,OBHOST-AS-AP
139789,apnic,zumy.eu,IN,ZUMY-AS-AP
140125,apnic,cyberauticssoftwares.co.in,IN,CYBERAUTICS-AS-IN
140155,apnic,thepinnaclegroup.in,IN,HOSTNET-AS-IN
140184,apnic,sfns,IN,SFNSNPL-AS
140208,apnic,obhost.org,PK,OBHOST-AS-AP
140666,apnic,kaopuyun.com,CN,ADPL-AS-AP
140787,apnic,vinahost.vn,VN,LAMA-AS-VN
140941,apnic,fulltimehosting.net,PK,FULLTIMEHOSTING-AS-AP
141333,apnic,rocketmediagroups.com,IN,ROCKETGP-AS-IN
141567,apnic,interspireaddon.co.in,IN,INTERSP-AS-IN
