dest_nt_domain,metadata_reference,metadata_list_last_updated
0202.com.tw,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
0ffice365-1drvve-oneauthmx1drive.glitch.me,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
109.197.125.34.bc.googleusercontent.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
123movies.faith,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
123pan.cn,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
16.16.4t.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
1-67c.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
1anddomailef.weebly.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
1lnch.fi-v2.to,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2020logs.duckdns.org,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2-3a2.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
24715454098-reviewpages.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
25a40529.pws-assistenz.de,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
276793063274096995.weebly.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2bit.ch,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2cm.es,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2cvmedias.fr,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2cyberscup.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2cyberszone.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
2v2lobby.pro,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
303.ru.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
34-125-197-109.plesk.page,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
3dmegastructures.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
3xp3cts1aim.sbs,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
404024.xyz,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
5399-coinbase.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
738592845-review-pages.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
7dizabchichuia.icu,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
83910840-reviewpages.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
84913240098-reviewpage.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
84918e83348-reviewpage.pages.dev,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vjejn.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vpro.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vproe.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vproq.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vpror.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vpros.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vprot.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
8vprow.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
aave-governance.org,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
aav.vof.mybluehost.me,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
abbotsleigh.nsw.edu.au,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
abcmueblesbogota.com,https://phish.co.za/latest/ALL-phishing-domains.lst,2025/12/21
