pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference,metadata_regex_cortex
*\ZAudioClientPipe_*ServerWritePipe*,Zoho Assist Remote access software,Zoho Assist,RMM,https://www.zoho.com/assist/,high,none,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/X-Z/Zoho%20Assist.csv,^.*\ZAudioClientPipe_.*ServerWritePipe.*
*\ZAudioClientPipe_*ServerReadPipe*,Zoho Assist Remote access software,Zoho Assist,RMM,https://www.zoho.com/assist/,high,none,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/X-Z/Zoho%20Assist.csv,^.*\ZAudioClientPipe_.*ServerReadPipe.*
