signature
Andr.Adware.Judy
Andr.Adware.Snowfox
Andr.Dropper.Cloud
Andr.Dropper.Smspay
Andr.Exploit.CVE_2014_7911
Andr.Exploit.Exploid
Andr.Exploit.Gingerbreak
Andr.Keylogger.Generic
Andr.Loader.GravityRat
Andr.Malware.Androidos
Andr.Malware.Fakeapp
Andr.Malware.FlexStarling
Andr.Malware.Gdhsr
Andr.Malware.Generic
Andr.Malware.Graftor
Andr.Malware.Hiddad
Andr.Malware.Hiddenads
Andr.Malware.Hiddenapp
Andr.Malware.Hyspu
Andr.Malware.Lovetrap
Andr.Malware.Mobilepay
Andr.Malware.Paac
Andr.Malware.Puma
Andr.Malware.Qqspy
Andr.Malware.Slocker
Andr.Malware.Smforw
Andr.Malware.Smsreg
Andr.Malware.Smssend
Andr.Malware.Smsthief
Andr.Malware.Spyagent
Andr.Malware.Styricka
Andr.Malware.Svpeng
Andr.Malware.Syringe
Andr.Malware.Triada
Andr.Malware.Wapron
Andr.Malware.Yoga
Andr.Packed.Tencentprotect
Andr.Ransomware.Androidos
Andr.Ransomware.Jisut
Andr.Ransomware.Medusa
Andr.Ransomware.Slocker
Andr.Ransomware.Smskey
Andr.Spyware.AndroRat
Andr.Spyware.AppSpy
Andr.Spyware.BXAQ
Andr.Spyware.Catwatchful
Andr.Spyware.CatwatchfulClient
Andr.Spyware.Onespy
Andr.Spyware.Reptilicus
Andr.Spyware.Spymaster
Andr.Spyware.Talklog
Andr.Spyware.USBCleaver
Andr.Spyware.Xnspy
Andr.Spyware.iSpyoo
Andr.Trojan.Ackposts
Andr.Trojan.Adrd
Andr.Trojan.AndroSpy
Andr.Trojan.Androrat
Andr.Trojan.Anserver
Andr.Trojan.Antares
Andr.Trojan.AridViper
Andr.Trojan.Badnews
Andr.Trojan.Banker
Andr.Trojan.Batmobi
Andr.Trojan.BatteryMiner
Andr.Trojan.Beanbot
Andr.Trojan.Boogr
Andr.Trojan.Certv
Andr.Trojan.Chuli
Andr.Trojan.CoolReaper
Andr.Trojan.Donot
Andr.Trojan.DroidDreamLight
Andr.Trojan.DroidKungFu
Andr.Trojan.FakeAV
Andr.Trojan.FakeTelegram
Andr.Trojan.FakeTimer
Andr.Trojan.FakeToken
Andr.Trojan.Fakeguard
Andr.Trojan.FakeiMesssage
Andr.Trojan.GMBot
Andr.Trojan.Geinimi
Andr.Trojan.Generic
Andr.Trojan.GingerMaster
Andr.Trojan.Golddream
Andr.Trojan.Gonesixty
Andr.Trojan.HummingWhale
Andr.Trojan.KevDroid
Andr.Trojan.Kmin
