dest_port,metadata_comment,metadata_confidence,metatada_category,metadata_detection_type,metadata_link,metadata_reference
1234,Dameware Remote Everywhere Agent\BASupSrvc.exe RMM + Ultors trojan but also vlc and some games,medium,malware,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
1235,Dameware Remote Everywhere Agent\BASupSrvc.exe,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
