process,metadata_binary,metadata_function,metadata_binary_functions,metadata_link,metadata_confidence,metadata_confidence
*sudo arj e * $*,arj,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/arj/,high,
"*arp -v -f ""$*",arp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/arp/,medium,
*./arp -v -f *,arp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/arp/,high,
*sudo arp -v -f *,arp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/arp/,high,
as @$*,as,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/as/,low,
*./as @$*,as,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/as/,high,
*sudo as @$*,as,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/as/,high,
"*ascii-xfr -ns ""$*",ascii-xfr,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/ascii-xfr/,high,
*./ascii-xfr -ns */*/*,ascii-xfr,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/ascii-xfr/,high,
*sudo ascii-xfr -ns */*/*,ascii-xfr,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/ascii-xfr/,high,
*ascii85 * | ascii85 --decode*,ascii85,,File read - Sudo,https://gtfobins.github.io/gtfobins/ascii-xfr/,medium,
*sudo ascii85 *$*| ascii85 --decode*,ascii85,,File read - Sudo,https://gtfobins.github.io/gtfobins/ascii-xfr/,medium,
*ash -c 'echo * > *,ash,,Shell File - write - SUID - Sudo,https://gtfobins.github.io/gtfobins/ash/,low,
*sudo ash,ash,,Shell File - write - SUID - Sudo,https://gtfobins.github.io/gtfobins/ash/,high,
*./ash,ash,,Shell File - write - SUID - Sudo,https://gtfobins.github.io/gtfobins/ash/,high,
"*aspell -c ""$*",aspell,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/aspell/,,
*./aspell -c */*/*,aspell,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/aspell/,,
*sudo aspell -c */*/*,aspell,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/aspell/,,
*echo */bin/sh <$(tty) >$(tty) 2>$(tty)* | at now* tail -f *,at,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/at/,,
"*echo ""$* | at now*",at,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/at/,,
*echo */bin/sh <$(tty) >$(tty) 2>$(tty)* | sudo at now*,at,,Shell - Command - Sudo,https://gtfobins.github.io/gtfobins/at/,,
"*atobm $* 2>&1 | awk -F *{printf ""%s* $2}'*",atobm,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/atobm/,,
"*./atobm * 2>&1 | awk -F *{printf ""%s* $2}*",atobm,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/atobm/,,
"*sudo atobm * 2>&1 | awk -F *{printf ""%s* $2}*",atobm,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/atobm/,,
"*awk 'BEGIN {system(""/bin/sh"")}'*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*awk -v RHOST=* -v RPORT=* 'BEGIN { s = ""/inet/tcp/0/*/*/*while (1) {printf ""> "" * getline* print $0 *close*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*awk -v LPORT=* 'BEGIN { s = ""/inet/tcp/*/*/*while (1) {printf ""> "" * getline c* break*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*awk -v LFILE=* 'BEGIN { print ""*"" > * }*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*awk '//' ""*""*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*./awk '//' ""$*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*sudo awk 'BEGIN {system(*/bin/sh"")}'*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
"*./awk 'BEGIN {system(*/bin/sh"")}'*",awk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/awk/,,
*sudo aws help*,aws,,Shell - Sudo,https://gtfobins.github.io/gtfobins/aws/,,
*aws help*!/bin/sh*,aws,,Shell - Sudo,https://gtfobins.github.io/gtfobins/aws/,,
"*base32 ""$*"" | base32 --decode*",base32,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/base32/,,
"*sudo base32 ""*"" | base32 --decode*",base32,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/base32/,,
"*base58 ""$*"" | base58 --decode*",base58,,File read - Sudo,https://gtfobins.github.io/gtfobins/base58/,,
"*sudo base58 ""*"" | base58 --decode*",base58,,File read - Sudo,https://gtfobins.github.io/gtfobins/base58/,,
"*base64 ""$*"" | base64 --decode*",base64,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/base64/,,
"*./base64 ""*"" | base64 --decode*",base64,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/base64/,,
*sudo base64 * | base64 --decode*,base64,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/base64/,,
*basenc --base64 * | basenc -d --base64*,basenc,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/basenc/,,
*sudo basenc --base64 * | basenc -d --base64*,basenc,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/basenc/,,
"*basez ""*"" | basez --decode*",basez,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/basez/,,
"*./basez ""*"" | basez --decode*",basez,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/basez/,,
"*sudo basez ""*"" | basez --decode*",basez,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/basez/,,
*bash -c 'exec bash -i &>/dev/tcp/*/* <&1'*,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
"*bash -c 'echo -e ""POST / HTTP/*"" > /dev/tcp/*/*",bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*bash -c 'cat * > /dev/tcp/*/*,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
"*bash -c '{ echo -ne ""GET /* HTTP/*host:*1>&3*/dev/tcp/*/*",bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
