process,metadata_binary,metadata_function,metadata_binary_functions,metadata_link,metadata_confidence,metadata_confidence
"*./cut -d """" -f1 *",cut,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cut/,,
*dash -c 'echo * > *,dash,,Shell - File write - SUID - Sudo,https://gtfobins.github.io/gtfobins/dash/,,
*./dash -p*,dash,,Shell - File write - SUID - Sudo,https://gtfobins.github.io/gtfobins/dash/,,
*sudo dash*,dash,,Shell - File write - SUID - Sudo,https://gtfobins.github.io/gtfobins/dash/,,
*sudo date -f *,date,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/date/,,
*echo * | dd of=*,dd,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dd/,,
*echo * | ./dd of=*,dd,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dd/,,
*echo * | sudo dd of=*,dd,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dd/,,
*sudo debugfs*/bin/sh*,debugfs,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/debugfs/,,
*dialog --textbox */* 0 0*,dialog,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dialog/,,
*sudo dialog --textbox * 0 0*,dialog,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dialog/,,
*./diff --line-format=%L /dev/null */*,diff,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/diff/,,
*sudo diff --line-format=%L /dev/null */*,diff,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/diff/,,
*sudo dig -f */*,dig,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dig/,,
*./dig -f */*,dig,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dig/,,
*distcc /bin/sh*,distcc,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/distcc/,,
*./distcc /bin/sh -p*,distcc,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/distcc/,,
*dmesg -H*/bin/sh,dmesg,,Shell - File read - Sudo,https://gtfobins.github.io/gtfobins/dmesg/,,
*dmesg -rF */*,dmesg,,Shell - File read - Sudo,https://gtfobins.github.io/gtfobins/dmesg/,,
*./dmiwrite */* *.dmi*,dmidecode,,Sudo,https://gtfobins.github.io/gtfobins/dmidecode/,,
*sudo dmidecode --no-sysfs -d *.dmi --dump-bin *,dmidecode,,Sudo,https://gtfobins.github.io/gtfobins/dmidecode/,,
*./dmsetup ls --exec */bin/sh -p -s*,dmsetup,,SUID - Sudo,https://gtfobins.github.io/gtfobins/dmsetup/,,
*sudo dmsetup ls --exec */bin/sh -p -s*,dmsetup,,SUID - Sudo,https://gtfobins.github.io/gtfobins/dmsetup/,,
*fpm -n x -s dir -t rpm -a all --before-install*dnf install *.rpm*,dnf,,Sudo,https://gtfobins.github.io/gtfobins/dnf/,,
*fpm -n x -s dir -t rpm -a all --before-install */*.sh *,dnf,,Sudo,https://gtfobins.github.io/gtfobins/dnf/,,
*docker run -v /:/mnt --rm -it alpine chroot /mnt sh*,docker,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/docker/,,
*sudo docker run -v /:/mnt --rm -it alpine chroot /mnt sh*,docker,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/docker/,,
*dos2unix -f -n * *,dos2unix,,File write,https://gtfobins.github.io/gtfobins/dos2unix/,,
"*dosbox -c 'mount c /' -c ""echo * >c:*"" -c exit*",dosbox,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dosbox/,,
"*dosbox -c 'mount c /' -c ""copy c:* \temp\* -c exit*",dosbox,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dosbox/,,
"*./dosbox -c 'mount c /' -c ""echo * >* -c exit",dosbox,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dosbox/,,
"*sudo dosbox -c 'mount c /' -c ""echo * >* -c exit",dosbox,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/dosbox/,,
*sudo dotnet fsi*,dotnet,,Shell - File read - Sudo,https://gtfobins.github.io/gtfobins/dotnet/,,
"*dotnet*System.Diagnostics.Process.Start(""/bin/sh"").WaitForExit();;*",dotnet,,Shell - File read - Sudo,https://gtfobins.github.io/gtfobins/dotnet/,,
*dotnet*System.IO.File.ReadAllText(System.Environment.GetEnvironmentVariable(*))*,dotnet,,Shell - File read - Sudo,https://gtfobins.github.io/gtfobins/dotnet/,,
*sudo dpkg -l*bin/sh*,dpkg,,Shell - Sudo,https://gtfobins.github.io/gtfobins/dpkg/,,
*fpm -n x -s dir -t deb -a all --before-install */*.sh *,dpkg,,Shell - Sudo,https://gtfobins.github.io/gtfobins/dpkg/,,
*fpm -n x -s dir -t deb -a all --before-install*dpkg -i *.deb*,dpkg,,Shell - Sudo,https://gtfobins.github.io/gtfobins/dpkg/,,
"*echo 'import os; os.execv(""/bin/sh"", [""sh""])' >~/.dstat/*.py*",dstat,,Shell - Sudo,https://gtfobins.github.io/gtfobins/dstat/,,
*sudo dstat --*,dstat,,Shell - Sudo,https://gtfobins.github.io/gtfobins/dstat/,,
"*tex '\special{psfile=""`/bin/sh 1>&0""}\end'*dvips*",dvips,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/dvips/,,
*sudo dvips -R0 texput.dvi*,dvips,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/dvips/,,
"*echo ""import os; os.execl('/bin/sh'*sh <$(tty) >$(tty) 2>$(tty)*> *.py*",easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*easy_install */bin/sh*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*easy_install $*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*socat file:`tty`*raw*echo=0 tcp-listen:*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*echo *socket.socket()*.connect((os.getenv(*int(os.getenv(*[os.dup2(s.fileno()*pty.spawn*/bin/sh*>*.py*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*easy_install *socket.socket()*.connect*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*echo*.urlopen(*http*bytes(u.urlencode(*open(*.read()}).encode()))' > *.py*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*echo *TCPServer((*.SimpleHTTPRequestHandler).serve_forever()' > *.py*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*easy_install *http.server*SimpleHTTPRequestHandler*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*echo *os.execl(*urllib *.urlretrieve(*http*)* > $*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*echo *os.execl(*urllib *.urlretrieve(*http*)* > *.py*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*pip install $*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*os.execl('$(whereis python)*open(*w+*.write(*> *.py*,easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
"*echo 'from ctypes import cdll*cdll.LoadLibrary(""*.so"")' > *.py*",easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
"*echo ""import os; os.execl('/bin/sh'*sh <$(tty) >$(tty) 2>$(tty)')"" > *.py*",easy_install,,Shell - Reverse shell - File upload - File download - File write - File read - Library load - Sudo,https://gtfobins.github.io/gtfobins/easy_install/,,
*sudo eb logs*,eb,,Shell - Sudo,https://gtfobins.github.io/gtfobins/eb/,,
*eb logs*/bin/sh*,eb,,Shell - Sudo,https://gtfobins.github.io/gtfobins/eb/,,
*sudo ed,ed,,Shell File - write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/ed/,,
*./ed */bin/sh*,ed,,Shell File - write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/ed/,,
*sudo efax -d */*,efax,,SUID - Sudo,https://gtfobins.github.io/gtfobins/efax/,,
*./efax -d */*,efax,,SUID - Sudo,https://gtfobins.github.io/gtfobins/efax/,,
*elvish -c 'echo * >$:*,elvish,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/elvish/,,
*elvish -c 'echo (slurp <$*,elvish,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/elvish/,,
*./elvish*,elvish,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/elvish/,,
*sudo elvish*,elvish,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/elvish/,,
"*emacs -Q -nw --eval '(term ""/bin/sh"")'*",emacs,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/emacs/,,
"*emacs -Q -nw --eval '(term ""/bin/sh -p"")'*",emacs,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/emacs/,,
"*sudo emacs -Q -nw --eval '(term ""/bin/sh"")'*",emacs,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/emacs/,,
env /bin/sh*,env,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/env/,,
*./env /bin/sh -p*,env,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/env/,,
*sudo env /bin/sh*,env,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/env/,,
*sudo eqn */*,eqn,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/eqn/,,
"*sudo eqn ""$*",eqn,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/eqn/,,
"*./eqn ""$*",eqn,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/eqn/,,
"*espeak -qXf ""$*",espeak,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/espeak/,,
*./espeak -qXf */*,espeak,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/espeak/,,
*sudo espeak -qXf *,espeak,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/espeak/,,
sudo ex,ex,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/ex/,,
ex*!/bin/sh*,ex,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/ex/,,
*sudo ex*!/bin/sh*,ex,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/ex/,,
*exiftool -filename=*/*,exiftool,,File write - File read - Sudo,https://gtfobins.github.io/gtfobins/exiftool/,,
*sudo expand */*/*,expand,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/expand/,,
*./expand */*/*,expand,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/expand/,,
"*expand ""$*",expand,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/expand/,,
*expect -c 'spawn /bin/sh;interact'*,expect,,Shell - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/expect/,,
"*echo 'exec(""/bin/sh"")' > *.rb*",facter,,Shell - Sudo,https://gtfobins.github.io/gtfobins/facter/,,
*FACTERLIB=$* facter*,facter,,Shell - Sudo,https://gtfobins.github.io/gtfobins/facter/,,
*FACTERLIB=*.rb facter*,facter,,Shell - Sudo,https://gtfobins.github.io/gtfobins/facter/,,
*sudo FACTERLIB=*.rb facter*,facter,,Shell - Sudo,https://gtfobins.github.io/gtfobins/facter/,,
*./file -f */*/*,file,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/file/,,
*sudo file -f $*,file,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/file/,,
*sudo file -f */*/*,file,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/file/,,
*find . -exec /bin/sh \; -quit*,find,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/find/,,
"*finger ""$(base64 *)@*.*",finger,,File upload - File download,https://gtfobins.github.io/gtfobins/finger/,,
*sudo nc -l -p 79 | base64 -d > *,finger,,File upload - File download,https://gtfobins.github.io/gtfobins/finger/,,
*finger x@*.* | base64 -d > *,finger,,File upload - File download,https://gtfobins.github.io/gtfobins/finger/,,
*sudo fish,fish,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/fish/,,
*./fish,fish,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/fish/,,
fish,fish,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/fish/,,
*flock -u / /bin/sh*,flock,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/flock/,,
"*fmt -999 ""$*",fmt,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fmt/,,
*fmt -999 */*,fmt,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fmt/,,
"*fmt -pNON_EXISTING_PREFIX ""$*",fmt,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fmt/,,
*./fmt -999 *,fmt,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fmt/,,
*sudo fmt -999 *,fmt,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fmt/,,
*fold -w99999999 *,fold,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fold/,,
*sudo fold -w99999999 *,fold,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fold/,,
*./fold -w99999999 *,fold,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/fold/,,
*fping -f $*,fping,,File read - Sudo,https://gtfobins.github.io/gtfobins/fping/,,
*sudo fping -f *,fping,,File read - Sudo,https://gtfobins.github.io/gtfobins/fping/,,
*fping -f */*,fping,,File read - Sudo,https://gtfobins.github.io/gtfobins/fping/,,
*ftp*!/bin/sh*,ftp,,Shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/ftp/,,
*sudo ftp*/bin/sh*,ftp,,Shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/ftp/,,
"*gawk 'BEGIN {system(""/bin/sh"")}'*",gawk,Shell,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
*gawk -v RHOST=* -v RPORT=* 'BEGIN*/inet/tcp/0/ */*while (1) *getline*,gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
*gawk -v LPORT=* 'BEGIN*/inet/tcp/*/0/0*while (1)*getline**,gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
*gawk -v LFILE=* 'BEGIN { print * > *,gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
"*gawk '//' ""$*",gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
*gawk '//' */*,gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
*./gawk '//' *,gawk,,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
"*gawk 'BEGIN {system(""/bin/sh"")}'*",gawk,Shell,Shell - Non-interactive reverse shell - Non-interactive bind shell - File write - File read - SUID - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/gawk/,,
"*gcc -wrapper /bin/sh,-s .*",gcc,Shell,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/gcc/,Shell,
*gcc -xc /dev/null -o *,gcc,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/gcc/,,
*gcc -x c -E *,gcc,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/gcc/,,
*gcc @*/*,gcc,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/gcc/,,
"*sudo gcc -wrapper /bin/sh,-s .*",gcc,Shell,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/gcc/,,
*sudo gcloud help*,gcloud,,Shell - Sudo,https://gtfobins.github.io/gtfobins/gcloud/,,
*gcloud help*/bin/sh*,gcloud,Shell,Shell - Sudo,https://gtfobins.github.io/gtfobins/gcloud/,,
*./gcore $*,gcore,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/gcore/,,
*sudo gcore $*,gcore,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/gcore/,,
*gdb -nx -ex '!sh' -ex quit*,gdb,Shell,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
"*gdb -nx -ex 'python*socket.socket()*.connect((os.getenv(*),int(os.getenv(*os.dup2*pty.spawn(""/bin/sh"")*",gdb,Reverse shell,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*gdb -nx -ex 'python*.urlopen(*bytes(*.urlencode*open(*.read()}).encode()))' -ex quit*,gdb,File upload,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*gdb -nx -ex 'python*import SimpleHTTPServer*SocketServer*.TCPServer(*.SimpleHTTPRequestHandler).serve_forever()' -ex quit*,gdb,File upload,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*gdb -nx -ex 'python import*urllib*.urlretrieve(*)' -ex quit*,gdb,File Download,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
"*gdb -nx -ex ""dump value * -ex quit*",gdb,File write,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*gdb -nx -ex 'python print(open(*).read())' -ex quit*,gdb,File read,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*gdb -nx -ex 'python from ctypes import cdll; cdll.LoadLibrary(*.so*)' -ex quit*,gdb,Library load,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
"*./gdb -nx -ex 'python import os; os.execl(""/bin/sh"", ""sh"", ""-p"")' -ex quit*",gdb,SUID,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*sudo gdb -nx -ex '!sh' -ex quit*,gdb,Sudo,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*sudo setcap cap_setuid+ep gdb*,gdb,Capabilities,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
*./gdb -nx -ex 'python import os; os.setuid(0)' -ex '!sh' -ex quit*,gdb,Capabilities,Shell - Reverse shell - File upload - File download - File write - File read - Library load - SUID - Sudo - Capabilities,https://gtfobins.github.io/gtfobins/gdb/,,
"*gem open -e ""/bin/sh -c /bin/sh"" *",gem,Shell,Shell - Sudo,https://gtfobins.github.io/gtfobins/gem/,,
*gem open *!/bin/sh*,gem,Shell,Shell - Sudo,https://gtfobins.github.io/gtfobins/gem/,,
"*echo 'system(""/bin/sh"")' > */*",gem,Shell,Shell - Sudo,https://gtfobins.github.io/gtfobins/gem/,,
"*sudo gem open -e ""/bin/sh -c /bin/sh"" *",gem,Sudo,Shell - Sudo,https://gtfobins.github.io/gtfobins/gem/,,
*genie -c '/bin/sh'*,gem,Shell,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/genie/,,
*./genie -c '/bin/sh'*,gem,SUID,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/genie/,,
*sudo genie -c '/bin/sh'*,gem,Sudo,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/genie/,,
*genisoimage -q -o - *,genisoimage,File read,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/genisoimage/,,
*./genisoimage -sort *,genisoimage,SUID,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/genisoimage/,,
*sudo genisoimage -q -o - *,genisoimage,Sudo,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/genisoimage/,,
