signature,metadata_category,metadata_comment
Virus:DOS/Delaut,Virus,
Virus:DOS/Den_Zuk,Virus,
Virus:DOS/Diablo,Virus,
Virus:DOS/Disque,Virus,
Virus:DOS/Dragon,Virus,
Virus:DOS/Evul.B,Virus,
Virus:DOS/Evul.C,Virus,
Virus:DOS/Eyey.A,Virus,
Virus:DOS/Face.B,Virus,
Virus:DOS/Falcon,Virus,
Virus:DOS/Form.E,Virus,
Virus:DOS/Form.G,Virus,
Virus:DOS/Form.N,Virus,
Virus:DOS/Fowl.B,Virus,
Virus:DOS/Galicia,Virus,
Virus:DOS/Gentry,Virus,
Virus:DOS/Gimp.B,Virus,
Virus:DOS/Gourry,Virus,
Virus:DOS/Hippie,Virus,
Virus:DOS/Hive.A,Virus,
Virus:DOS/Ibex.A,Virus,
Virus:DOS/Invader,Virus,
Virus:DOS/Jackal,Virus,
Virus:DOS/Jindra,Virus,
Virus:DOS/Joshi.B,Virus,
Virus:DOS/KeyDrop,Virus,
Virus:DOS/Killah,Virus,
Virus:DOS/Leandro,Virus,
Virus:DOS/Liberty,Virus,
Virus:DOS/Lilith,Virus,
Virus:DOS/MPHTI.B,Virus,
Virus:DOS/Malice,Virus,
Virus:DOS/Maniak,Virus,
Virus:DOS/MinMax,Virus,
Virus:DOS/Myrddr,Virus,
Virus:DOS/Nichols,Virus,
Virus:DOS/Nova.A,Virus,
Virus:DOS/Nova.B,Virus,
Virus:DOS/Nutmeg,Virus,
Virus:DOS/OneHalf,Virus,
Virus:DOS/Oprobe,Virus,
Virus:DOS/Ordure,Virus,
Virus:DOS/Orphan,Virus,
Virus:DOS/Pandar,Virus,
Virus:DOS/Pasta.A,Virus,
Virus:DOS/Pebble,Virus,
Virus:DOS/Platov,Virus,
Virus:DOS/Purple,Virus,
Virus:DOS/Quaint,Virus,
Virus:DOS/Rusher,Virus,
Virus:DOS/School,Virus,
Virus:DOS/SeeYou,Virus,
Virus:DOS/She_Has,Virus,
Virus:DOS/Stealth,Virus,
Virus:DOS/Szatan,Virus,
Virus:DOS/Tequila,Virus,
Virus:DOS/Tiso.A,Virus,
Virus:DOS/Twoj.A,Virus,
Virus:DOS/Twoj.B,Virus,
Virus:DOS/X3a.B,Virus,
Virus:DOS/Zimbab,Virus,
Virus:DOS/8Ball.C,Virus,
Virus:DOS/Aircop.B,Virus,
Virus:DOS/Andli.A,Virus,
Virus:DOS/Andrisd,Virus,
Virus:DOS/AntiCMOS.A,Virus,
Virus:DOS/Ardvark,Virus,
Virus:DOS/Azusa.C,Virus,
Virus:DOS/Babec.B,Virus,
Virus:DOS/Babec.C,Virus,
Virus:DOS/Bhorse.A,Virus,
Virus:DOS/Bleah.C,Virus,
Virus:DOS/Bleah.E,Virus,
Virus:DOS/Bleah.G,Virus,
Virus:DOS/Bleah.H,Virus,
