signature,metadata_category,metadata_comment
Virus:O97M/KangKang.A,Virus,
Virus:AndroidOS/ZkarletFlash,Virus,
Virus:FreeBSD/ZkarletFlash,Virus,
Virus:Linux/ZkarletFlash,Virus,
Virus:MacOS/ZkarletFlash,Virus,
Virus:Perl/ZkarletFlash,Virus,
Virus:Python/ZkarletFlash,Virus,
Virus:Script/ZkarletFlash,Virus,
Virus:Unix/ZkarletFlash,Virus,
Virus:iPhoneOS/ZkarletFlash,Virus,
Virus:Win32/ZkarletFlash,Virus,
Virus:AndroidOS/ImpulZe,Virus,
Virus:FreeBSD/ImpulZe,Virus,
Virus:Linux/ImpulZe,Virus,
Virus:MacOS/ImpulZe,Virus,
Virus:Perl/ImpulZe,Virus,
Virus:Python/ImpulZe,Virus,
Virus:Script/ImpulZe,Virus,
Virus:Unix/ImpulZe,Virus,
Virus:iPhoneOS/ImpulZe,Virus,
Virus:Win32/ImpulZe,Virus,
Virus:DOS/SimulatedVirus,Virus,
Virus:DOS/Sentinel.4571.remnants,Virus,
Virus:DOS/VKit_DA.1026.gen,Virus,
Virus:AndroidOS/Multiverze,Virus,
Virus:FreeBSD/Multiverze,Virus,
Virus:Linux/Multiverze,Virus,
Virus:MacOS/Multiverze,Virus,
Virus:Perl/Multiverze,Virus,
Virus:Python/Multiverze,Virus,
Virus:Script/Multiverze,Virus,
Virus:Unix/Multiverze,Virus,
Virus:iPhoneOS/Multiverze,Virus,
Virus:Win32/Multiverze,Virus,
Virus:O97M/KangKang.gen!A,Virus,
Virus:O97M/KangKang.B,Virus,
Virus:X97M/Vakslodak!MTB,Virus,
Virus:X97M/Vakslodak,Virus,
Virus:O97M/Vakslodak.gen,Virus,
Virus:O97M/Poppy!MSR,Virus,
Virus:AndroidOS/Malvertze,Virus,
Virus:O97M/Donoff.PR!MTB,Virus,
Virus:O97M/XLSTART!MSR,Virus,
Virus:Win32/Aliser.7825!MSR,Virus,
Virus:Win32/Mpesigtst.A!MSR,Virus,
Virus:Win64/Mpextst.A!MSR,Virus,
Virus:Win32/Mpetst.A!MSR,Virus,
Virus:Win32/Darkside!MSR,Virus,
Virus:Python/Vaccworm!MTB,Virus,
Virus:Win32/Expiro!MSR,Virus,
Virus:Win32/Ymacco.AA5F,Virus,
Virus:Win32/Benci!MTB,Virus,
Virus:Linux/Ovets.A!xp,Virus,
Virus:Win32/Chir.B!MSR,Virus,
Virus:DOS/EICAR_Test_File!MSR,Virus,
Virus:O97M/KangKang!MSR,Virus,
Virus:Win32/Viking!atmnm,Virus,
Virus:Win32/Expiro!MTB,Virus,
Virus:Win32/Mabezat!atmnm,Virus,
Virus:Win32/Mikcer!atmnm,Virus,
Virus:Win32/Floxif!MSR,Virus,
Virus:VBS/Ramnit.gen,Virus,
Virus:Win32/Expiro.AA!MTB,Virus,
Virus:Win64/Expiro.AA!MTB,Virus,
Virus:Win64/Expiro.DA!MTB,Virus,
Virus:Win32/Expiro.NDP!MTB,Virus,
Virus:Win32/Ipamor!atmnm,Virus,
Virus:Win32/Expiro.AA!MSR,Virus,
Virus:Win32/Expiro.DB!MTB,Virus,
Virus:Win32/Expiro.DC!MTB,Virus,
Virus:Win64/Expiro.DD!MTB,Virus,
Virus:Win64/Expiro.EM!MTB,Virus,
Virus:Win32/Expiro.EM!MTB,Virus,
Virus:Win32/Expiro.EB!MTB,Virus,
Virus:Win32/Zbot!atmnm,Virus,
Virus:Win32/Vasor!MSR,Virus,
Virus:Win32/Tufik!atmnm,Virus,
Virus:A97M/Amg,Virus,
Virus:A97M/AccessIv,Virus,
Virus:A97M/MDLC,Virus,
Virus:A97M/Sadip,Virus,
Virus:A97M/Poly,Virus,
Virus:A97M/Slither,Virus,
Virus:A97M/Super,Virus,
Virus:A97M/Uamp,Virus,
Virus:A97M/Jaring,Virus,
Virus:A97M/MSA,Virus,
Virus:A97M/Poison,Virus,
Virus:A97M/Lovely,Virus,
Virus:A97M/Tox,Virus,
Virus:A97M/Walla,Virus,
Virus:VBA/Antisocial,Virus,
Virus:Win32/Matrix,Virus,
Virus:Win32/Spacer,Virus,
Virus:W97M/SprHide,Virus,
Virus:VBS/Bisquit,Virus,
Virus:O97M/Adrine,Virus,
Virus:MacOS/WDEF,Virus,
Virus:BAT/Winstart,Virus,
Virus:Win32/Warmup,Virus,
Virus:PP97M/Shifter,Virus,
Virus:DOS/Stoned_Volga,Virus,
Virus:Win32/Nan,Virus,
Virus:XF/Sic,Virus,
Virus:Linux/Lindose_2132,Virus,
Virus:Win95/Twinny,Virus,
Virus:Win32/PGPM,Virus,
Virus:VBS/Wisis,Virus,
Virus:Win32/Pintu,Virus,
Virus:Linux/Bi,Virus,
Virus:MSIL/Neom,Virus,
Virus:V5M/Nunus,Virus,
Virus:ABAP/Rivpas,Virus,
Virus:VBS/Taorao,Virus,
Virus:VBS/Vk,Virus,
Virus:W97M/AntiSR1,Virus,
Virus:ALisp/Dwgun,Virus,
Virus:Win32/Andriod,Virus,
Virus:Win32/Enar,Virus,
Virus:Win32/Zepp,Virus,
Virus:BAT/Subnix,Virus,
Virus:Win32/Ditto,Virus,
Virus:Win32/Andras,Virus,
Virus:O97M/Selaieproc,Virus,
Virus:OS2/Rexx,Virus,
Virus:BAT/Comlabat,Virus,
Virus:BAT/Kiffie,Virus,
Virus:BAT/Lcambat,Virus,
Virus:BAT/SillyB_65,Virus,
Virus:DOS/Delsys,Virus,
Virus:DOS/Stoned_Sex,Virus,
Virus:Linux/Sickabs,Virus,
Virus:PP97M/Kelly,Virus,
Virus:VBS/Demon,Virus,
Virus:VBS/Nikana,Virus,
Virus:VBS/Zulu,Virus,
Virus:W97M/Arowana,Virus,
Virus:W97M/Bybm,Virus,
Virus:W97M/NoClue,Virus,
Virus:W97M/Outbreak,Virus,
Virus:Win32/Cmay,Virus,
Virus:Win32/Elphi,Virus,
Virus:Win32/Mofksys,Virus,
Virus:Win32/Saibo,Virus,
Virus:Win32/Tirtas,Virus,
Virus:Win95/Fosforo,Virus,
Virus:Win95/Radix,Virus,
Virus:X97M/Specs,Virus,
Virus:O97M/Laroux,Virus,
Virus:VBS/ColdApe,Virus,
Virus:VBS/Davinia,Virus,
Virus:W97M/Edoen,Virus,
Virus:W97M/Newhope,Virus,
Virus:W97M/Notfam,Virus,
Virus:W97M/Sylko,Virus,
Virus:WM/Ushasty,Virus,
Virus:Win32/Atav,Virus,
Virus:Win32/Badda,Virus,
Virus:Win32/Cradolep,Virus,
Virus:Win32/Erone,Virus,
Virus:Win32/Mental,Virus,
Virus:Win32/Ravex,Virus,
Virus:Win32/Vedex,Virus,
Virus:Win95/Zemp,Virus,
Virus:BAT/BVDP,Virus,
Virus:BAT/Buffer,Virus,
Virus:BAT/Tdg,Virus,
Virus:BAT/Unsafe,Virus,
Virus:BAT/Zeke,Virus,
Virus:DOS/King_Lizard,Virus,
Virus:DOS/Unashamed,Virus,
Virus:VBS/Trip,Virus,
Virus:W97M/Aida,Virus,
Virus:W97M/Bismark,Virus,
Virus:W97M/Honte,Virus,
Virus:W97M/Lebani,Virus,
Virus:W97M/Scream,Virus,
Virus:Win32/Balog,Virus,
Virus:Win32/Feeling,Virus,
Virus:Win32/Munia,Virus,
Virus:Win32/Perlovga,Virus,
Virus:Win32/Sens,Virus,
Virus:BAT/Ankit,Virus,
Virus:BAT/Grez,Virus,
Virus:DOS/CJ,Virus,
Virus:DOS/EICARTest,Virus,
Virus:VBS/Irvine,Virus,
Virus:VBS/Larray,Virus,
Virus:VBS/Sant,Virus,
Virus:VBS/Ultras,Virus,
Virus:W97M/Bytment,Virus,
Virus:W97M/Fatt,Virus,
Virus:W97M/Mushashi,Virus,
Virus:W97M/Perve,Virus,
Virus:W97M/Satchild,Virus,
Virus:W97M/Seqnum,Virus,
Virus:WM/Badboy,Virus,
Virus:Win32/Ceel,Virus,
Virus:DOS/Lavot,Virus,
Virus:O97M/Vakslodak,Virus,
Virus:VBS/Melissa,Virus,
Virus:VBS/Northsky,Virus,
Virus:W97M/Bibdot,Virus,
Virus:W97M/Chuck,Virus,
Virus:W97M/KillFound,Virus,
Virus:W97M/NJWMDLK1,Virus,
Virus:W97M/Pivis,Virus,
Virus:W97M/Whelper,Virus,
Virus:WM/Jaja,Virus,
Virus:WM/NJ_WMDLK,Virus,
Virus:WM/SC,Virus,
Virus:Win32/Arcer,Virus,
Virus:Win32/Fakefire,Virus,
Virus:Win32/Smash,Virus,
Virus:Win32/VGrass,Virus,
Virus:BAT/Prison,Virus,
Virus:BAT/SillyB_192,Virus,
Virus:VBS/Elimence,Virus,
Virus:W97M/Arbeit,Virus,
Virus:W97M/Bastorm,Virus,
Virus:W97M/Canister,Virus,
Virus:W97M/Leonor,Virus,
Virus:W97M/Perator,Virus,
Virus:W97M/Zeitung,Virus,
Virus:WM/Peaceful,Virus,
Virus:Win32/Novelce,Virus,
Virus:Win95/Youd,Virus,
Virus:BAT/Bamagic,Virus,
Virus:BAT/FormatCY,Virus,
Virus:BAT/Necro,Virus,
Virus:DOS/GPS,Virus,
Virus:Linux/OSF,Virus,
Virus:VBS/GetBack,Virus,
Virus:VBS/Hillar,Virus,
Virus:W97M/ClassMarker,Virus,
Virus:W97M/Nometz,Virus,
Virus:W97M/Trima,Virus,
Virus:WM/Gurre,Virus,
Virus:Win32/Nakuru,Virus,
Virus:Win95/Altar,Virus,
Virus:Win95/Sledge,Virus,
Virus:XM/Hail,Virus,
Virus:XM/Manolo,Virus,
Virus:BAT/Grozny,Virus,
Virus:BAT/Homeslice,Virus,
Virus:BAT/Puzo,Virus,
Virus:BAT/SSA,Virus,
Virus:DOS/Invert,Virus,
Virus:SH/Penguin,Virus,
Virus:VBS/Deltad,Virus,
Virus:W97M/Bauer,Virus,
Virus:W97M/Yuck,Virus,
Virus:WM/Th,Virus,
Virus:Win32/Gach,Virus,
Virus:Win32/Nathan,Virus,
Virus:Win32/Thorn,Virus,
Virus:Win32/Yellor,Virus,
Virus:Win32/Zmorph,Virus,
Virus:Win95/Padania,Virus,
Virus:BAT/Crock,Virus,
Virus:BAT/Hardore,Virus,
Virus:BAT/Isnow,Virus,
Virus:BAT/SillyB_32,Virus,
Virus:BAT/Zebumb,Virus,
Virus:VBA/Ela,Virus,
Virus:VBS/Pretty,Virus,
Virus:W97M/Apenix,Virus,
Virus:W97M/ByBoom,Virus,
Virus:W97M/Intro,Virus,
Virus:W97M/Tpro,Virus,
Virus:WM/Kerrang,Virus,
Virus:WM/Sword,Virus,
Virus:Win32/Karud,Virus,
Virus:Win32/Qozah,Virus,
Virus:Win32/Redplut,Virus,
Virus:Win95/Buzum,Virus,
Virus:BAT/Abyss,Virus,
Virus:DOS/Bhorse,Virus,
Virus:DOS/Karnivali,Virus,
Virus:DOS/Madjid,Virus,
Virus:Linux/Little,Virus,
Virus:W97M/Blufish,Virus,
Virus:WM/Outlaw,Virus,
Virus:WM/Satan,Virus,
Virus:WM/Smiley,Virus,
Virus:Win32/Banka,Virus,
Virus:Win95/CIH_816,Virus,
Virus:X97M/Rippet,Virus,
Virus:DOS/Parity_Boot,Virus,
Virus:VBS/Dream,Virus,
Virus:VBS/Klytrik,Virus,
Virus:W97M/Chantal,Virus,
Virus:W97M/Daydream,Virus,
Virus:W97M/Liberate,Virus,
Virus:W97M/Multo,Virus,
Virus:W97M/Rochitz,Virus,
Virus:W97M/Sad,Virus,
Virus:W97M/Wsherl,Virus,
Virus:WM/Boom,Virus,
Virus:WM/Italian,Virus,
Virus:WM/Vanoce,Virus,
Virus:Win32/4096,Virus,
Virus:Win32/Dupator,Virus,
Virus:XM/ZePast,Virus,
Virus:BAT/Fred,Virus,
Virus:BAT/Nonstop,Virus,
Virus:DOS/CB,Virus,
Virus:DOS/Turd,Virus,
Virus:VBS/Appchild,Virus,
Virus:VBS/Drambui,Virus,
Virus:VBS/Inor,Virus,
Virus:VBS/Shutdown,Virus,
Virus:W97M/Ebaveli,Virus,
Virus:W97M/STM,Virus,
Virus:W97M/Veka,Virus,
Virus:W97M/Zaraza,Virus,
Virus:WM/Checkf,Virus,
Virus:Win32/Minipg,Virus,
Virus:X97M/MVTK,Virus,
Virus:X97M/Metcol,Virus,
Virus:XM/Renamer,Virus,
Virus:BAT/Archiworm,Virus,
Virus:BAT/FriendMess,Virus,
Virus:BAT/Mtxzip,Virus,
Virus:DOS/Zombie_17654,Virus,
Virus:VBS/Mantai,Virus,
Virus:W97M/Cive,Virus,
Virus:W97M/Lime,Virus,
Virus:W97M/Maker,Virus,
Virus:W97M/Trap,Virus,
Virus:W97M/VMCPK1,Virus,
Virus:WM/President,Virus,
Virus:Win32/Beef_2110,Virus,
Virus:Win32/Enot,Virus,
Virus:Win32/Kenston,Virus,
Virus:Win32/Lysum,Virus,
Virus:Win32/Michidi,Virus,
Virus:Win32/Rigel,Virus,
Virus:Win32/Rungbu,Virus,
Virus:Win95/Mad,Virus,
Virus:WinNT/Donny,Virus,
Virus:X97M/Sticky,Virus,
Virus:BAT/Entice,Virus,
Virus:BAT/Homedrive,Virus,
Virus:BAT/Invader,Virus,
Virus:BAT/Simpson,Virus,
Virus:DOS/Booty,Virus,
Virus:VBS/Challenge,Virus,
Virus:W97M/Ethan,Virus,
Virus:W97M/Rowdie,Virus,
Virus:W97M/Tijor,Virus,
Virus:W97M/Wrench,Virus,
Virus:W97M/Yoy,Virus,
Virus:WM/Mental,Virus,
Virus:WM/NJDLK1,Virus,
Virus:Win32/Begseabug,Virus,
Virus:Win32/Blackcat,Virus,
Virus:Win32/Epoe,Virus,
Virus:Win32/LS,Virus,
Virus:Win64/Sirefef,Virus,
Virus:Win95/Fabi,Virus,
Virus:Win95/Frone,Virus,
Virus:X97M/Clonar,Virus,
Virus:DOS/Harakiri_5488,Virus,
Virus:JS/Untz,Virus,
Virus:VBS/DriveFormat,Virus,
Virus:VBS/Vibisi,Virus,
Virus:W97M/DMWVCK1,Virus,
Virus:WM/Gnomo,Virus,
Virus:WM/Shadow,Virus,
Virus:Win16/StalkerX_650,Virus,
Virus:Win32/Codplat,Virus,
Virus:Win32/Decath,Virus,
Virus:Win32/SoftSix,Virus,
Virus:Win32/Soris,Virus,
Virus:Win32/Tufik,Virus,
Virus:Win32/Volag,Virus,
Virus:X97M/War,Virus,
Virus:BAT/Speed,Virus,
Virus:DOS/Comptroj,Virus,
Virus:INF/Vxer,Virus,
Virus:VBS/Diehard2,Virus,
Virus:VBS/Kifie,Virus,
Virus:VBS/Kirpich,Virus,
Virus:W97M/Creutze,Virus,
Virus:W97M/Touchme,Virus,
Virus:W97M/Vanakam,Virus,
Virus:WM/Dakota,Virus,
Virus:Win32/Arrow,Virus,
Virus:Win32/Bika,Virus,
Virus:Win32/BlueBall,Virus,
Virus:Win95/Santana,Virus,
Virus:ALisp/Passdoc,Virus,
Virus:DOS/Findme,Virus,
Virus:VBS/Ashley_101,Virus,
Virus:VBS/Haptime,Virus,
Virus:VBS/Zevity,Virus,
Virus:W97M/Bodune,Virus,
Virus:W97M/Fic,Virus,
Virus:W97M/Mtrue,Virus,
Virus:W97M/Tarap,Virus,
Virus:WM/Sniffi,Virus,
Virus:WM/Tanjung,Virus,
Virus:Win32/Gnil,Virus,
Virus:Win32/Idtsys,Virus,
Virus:Win32/JOB,Virus,
Virus:Win32/Lamchi,Virus,
Virus:Win32/Priest,Virus,
Virus:Win32/SillyC,Virus,
Virus:Win32/Wit,Virus,
Virus:Win95/Heather,Virus,
Virus:Win95/Navrar,Virus,
Virus:Win95/Repus_167,Virus,
Virus:Win95/Titanic,Virus,
Virus:BAT/Blabler,Virus,
Virus:BAT/Loseexec,Virus,
Virus:BAT/Oneline,Virus,
Virus:BAT/Ptrr,Virus,
Virus:VBS/Sics,Virus,
Virus:W97M/Biosk,Virus,
Virus:W97M/Krusk,Virus,
Virus:W97M/Tulu,Virus,
Virus:W97M/Visor,Virus,
Virus:WM/AntiWazzu,Virus,
Virus:WM/Eraser,Virus,
Virus:WM/Minimorph,Virus,
Virus:Win32/Daxp,Virus,
Virus:Win32/Hader,Virus,
Virus:Win32/Hooy,Virus,
Virus:Win32/Mppacktest,Virus,
Virus:Win32/Mumo,Virus,
Virus:Win32/Thiz,Virus,
Virus:Win64/Svafa,Virus,
Virus:Win95/SillyWR_162,Virus,
Virus:X97M/Domaw,Virus,
Virus:BAT/SillyB_82,Virus,
Virus:DOS/SchoolBoot,Virus,
Virus:O97M/Jerk,Virus,
Virus:Unix/Padania,Virus,
Virus:VBS/Dumb,Virus,
Virus:VBS/Homepage,Virus,
Virus:VBS/Siechle,Virus,
Virus:W97M/Bdks,Virus,
Virus:W97M/Courage,Virus,
Virus:W97M/Michael,Virus,
Virus:WM/Prizm,Virus,
Virus:Win32/Champ_5328,Virus,
Virus:Win32/Enterus,Virus,
Virus:Win32/Gugom,Virus,
Virus:Win32/Yai,Virus,
Virus:Win32/Zellav,Virus,
Virus:BAT/Battler,Virus,
Virus:BAT/Draft,Virus,
Virus:BAT/Without,Virus,
Virus:Perl/FileFind,Virus,
Virus:VBS/Deltree,Virus,
Virus:VBS/Lastscene,Virus,
Virus:VBS/Mantan,Virus,
Virus:VBS/Prophecy,Virus,
Virus:W97M/Closer,Virus,
Virus:W97M/Drbo,Virus,
Virus:W97M/Mini,Virus,
Virus:W97M/Minimorph,Virus,
Virus:W97M/Slacker,Virus,
Virus:W97M/Trix,Virus,
Virus:W97M/Yoda,Virus,
Virus:W97M/Zeroboyz,Virus,
Virus:Win16/Drosh,Virus,
Virus:Win32/Velost,Virus,
Virus:Win95/Vip_4309,Virus,
Virus:Win95/Yabran,Virus,
Virus:X97M/Bobmon,Virus,
Virus:X97M/Yinyi,Virus,
Virus:BAT/Antiv,Virus,
Virus:BAT/Cbatbug,Virus,
Virus:VBS/Bulbas,Virus,
Virus:W97M/Coke,Virus,
Virus:W97M/Story,Virus,
Virus:W97M/Titch,Virus,
Virus:W97M/VVSC,Virus,
Virus:WM/Chiao,Virus,
Virus:WM/Colors,Virus,
Virus:Win32/Dazack,Virus,
Virus:Win32/Dervec,Virus,
Virus:Win32/Junkcomp,Virus,
Virus:Win32/Silov,Virus,
Virus:Win32/Yupfil,Virus,
Virus:X97M/Teab,Virus,
Virus:BAT/Remworm,Virus,
Virus:BAT/Updater,Virus,
Virus:DOS/MPHTI,Virus,
Virus:DOS/Messew,Virus,
Virus:MacOS/Init29,Virus,
Virus:W97M/Inquisitor,Virus,
Virus:W97M/Inv,Virus,
Virus:W97M/OurRadio,Virus,
Virus:W97M/Tractor,Virus,
Virus:WM/Dietzel,Virus,
Virus:WM/Mentes,Virus,
Virus:Win32/Alimik,Virus,
Virus:Win32/Nemsi,Virus,
Virus:Win32/Safook,Virus,
Virus:Win95/Gara,Virus,
Virus:Win95/Soth,Virus,
Virus:X97M/Crazz,Virus,
Virus:BAT/DeltreeY,Virus,
Virus:BAT/Digipic,Virus,
Virus:BAT/Enumiac,Virus,
Virus:DOS/Jas,Virus,
Virus:DOS/Stoned_JandM,Virus,
Virus:DOS/Thunte,Virus,
Virus:DOS/WBoot,Virus,
Virus:MacOS/T4,Virus,
Virus:VBS/Daydream,Virus,
Virus:VBS/Einad,Virus,
Virus:VBS/Spigen,Virus,
Virus:W97M/Belsh,Virus,
Virus:W97M/Cyber,Virus,
Virus:W97M/Hill,Virus,
Virus:W97M/Max,Virus,
Virus:W97M/Metys,Virus,
Virus:WM/Chandigarh,Virus,
Virus:WM/Johnny,Virus,
Virus:WM/Underground,Virus,
Virus:Win32/Bamital,Virus,
Virus:Win32/Dedream,Virus,
Virus:Win32/Fosforo,Virus,
Virus:Win32/Klez,Virus,
Virus:Win32/Lukgal,Virus,
Virus:Win32/Minak,Virus,
Virus:Win32/Triplix_3072,Virus,
Virus:Win95/Mutea,Virus,
Virus:XM/Fin,Virus,
Virus:BAT/DelDisk,Virus,
Virus:BAT/PrisonCamp,Virus,
Virus:DOS/Inna_6640,Virus,
Virus:VBA/Ciga,Virus,
Virus:VBS/Darby,Virus,
Virus:W97M/Bribagi,Virus,
Virus:W97M/Temp29,Virus,
Virus:W97M/Whb,Virus,
Virus:WM/Spiral,Virus,
Virus:Win32/Biwili,Virus,
Virus:Win32/Gogo,Virus,
Virus:Win32/Neverdie,Virus,
Virus:Win32/Passma,Virus,
Virus:Win32/Viknok,Virus,
Virus:Win95/Shaitan_II,Virus,
Virus:X97M/VCX,Virus,
Virus:BAT/Bacteria,Virus,
Virus:BAT/Genesis,Virus,
Virus:BAT/Mill,Virus,
Virus:DOS/Haifa,Virus,
Virus:DOS/RM,Virus,
Virus:DOS/Sysvir,Virus,
Virus:Linux/Xone,Virus,
Virus:O97M/Shellrun,Virus,
Virus:Perl/Vampire,Virus,
Virus:VBS/Ballicus,Virus,
Virus:VBS/Cuti,Virus,
Virus:W97M/Charlie,Virus,
Virus:W97M/Emuf,Virus,
Virus:W97M/Grurev,Virus,
Virus:W97M/Minimal,Virus,
Virus:W97M/Nail,Virus,
Virus:W97M/Zuth,Virus,
Virus:WM/Polyposter,Virus,
Virus:Win16/Esperanto_4733,Virus,
Virus:Win32/Amelg,Virus,
Virus:Win32/Atnas,Virus,
Virus:Win32/Implinker,Virus,
Virus:Win32/Notre,Virus,
Virus:Win32/Vibam,Virus,
Virus:Win32/Weird,Virus,
Virus:XM/Delini,Virus,
Virus:BAT/Darky,Virus,
Virus:BAT/Senna,Virus,
Virus:BAT/Ttt,Virus,
Virus:VBS/Antisocial,Virus,
Virus:VBS/Deleter,Virus,
Virus:W97M/Concept,Virus,
Virus:W97M/Dordrop,Virus,
Virus:W97M/Yapp,Virus,
Virus:WM/Gangsterz,Virus,
Virus:Win32/Ginra_3570,Virus,
Virus:X97M/Linik,Virus,
Virus:X97M/Phone,Virus,
Virus:XM/Moma,Virus,
Virus:BAT/Slow_8192,Virus,
Virus:DOS/Mkdirs,Virus,
Virus:DOS/QMU_1513,Virus,
Virus:VBS/Orochi,Virus,
Virus:VBS/RenameAll,Virus,
Virus:VBS/Stem,Virus,
Virus:W97M/Bogor,Virus,
Virus:W97M/Krypton,Virus,
Virus:W97M/Pinky,Virus,
Virus:W97M/Pr,Virus,
Virus:W97M/Scene,Virus,
Virus:WM/Box,Virus,
Virus:WM/Mercado,Virus,
Virus:WM/Nop,Virus,
Virus:Win32/Zombie,Virus,
Virus:Win32/Zori,Virus,
Virus:Win95/Censor,Virus,
Virus:X97M/Antidivi,Virus,
Virus:XM/Perfid,Virus,
Virus:BAT/Bumb,Virus,
Virus:BAT/Fired,Virus,
Virus:BAT/Multino,Virus,
Virus:BAT/Puglia,Virus,
Virus:DOS/Havoc,Virus,
Virus:Linux/Swat,Virus,
Virus:MacOS/Sevendust,Virus,
Virus:VBS/Io,Virus,
Virus:W97M/Bobo,Virus,
Virus:W97M/Disco,Virus,
Virus:W97M/Flop,Virus,
Virus:W97M/Mmtour,Virus,
Virus:W97M/Proteced,Virus,
Virus:W97M/Sat,Virus,
Virus:W97M/Tvang,Virus,
Virus:WM/NiceDay,Virus,
Virus:WM/Tribute,Virus,
Virus:Win32/Halen,Virus,
Virus:Win32/Quozah,Virus,
Virus:Win32/Rozak,Virus,
Virus:Win95/CIH,Virus,
Virus:XM/Emperor,Virus,
Virus:BAT/Bugsoft,Virus,
Virus:BAT/Goy,Virus,
Virus:DOS/Twofs,Virus,
Virus:O97M/KangKang,Virus,
Virus:VBS/Chango,Virus,
Virus:W97M/Bank,Virus,
Virus:W97M/Berau,Virus,
Virus:W97M/Caligula,Virus,
Virus:W97M/Jelo,Virus,
Virus:W97M/Killinf,Virus,
Virus:W97M/Stun,Virus,
Virus:W97M/Telo,Virus,
Virus:WM/Helper,Virus,
Virus:WM/Slow,Virus,
Virus:Win32/Cabanas,Virus,
Virus:Win32/Harumf,Virus,
Virus:Win32/Rads,Virus,
Virus:Win32/Spradle,Virus,
Virus:Win32/Webmoner,Virus,
Virus:Win95/Tick_7936,Virus,
Virus:BAT/Toro,Virus,
Virus:DOS/Affa,Virus,
Virus:DOS/Eyey,Virus,
Virus:VBS/MB,Virus,
Virus:W97M/Arowan,Virus,
Virus:W97M/Clave,Virus,
Virus:W97M/Notme,Virus,
Virus:W97M/Stan,Virus,
Virus:WM/Barbado,Virus,
Virus:WM/Dust,Virus,
Virus:WM/Irawan,Virus,
Virus:Win32/Calm,Virus,
Virus:Win32/Qudos,Virus,
Virus:Win32/Setha,Virus,
Virus:Win32/Trats,Virus,
Virus:Win32/Younga_2384,Virus,
Virus:Win64/Amfibee,Virus,
Virus:X97M/Momac,Virus,
Virus:XM/Team,Virus,
Virus:BAT/Qwerty,Virus,
Virus:VBS/Fylex,Virus,
Virus:VBS/Sdan,Virus,
Virus:W97M/Bptk,Virus,
Virus:W97M/Child,Virus,
Virus:W97M/Evolution,Virus,
Virus:W97M/Lawnmow,Virus,
Virus:W97M/Valeria,Virus,
Virus:W97M/Vibilisi,Virus,
Virus:WM/Archie,Virus,
Virus:WM/Sunbeam,Virus,
Virus:WM/Wallpaper,Virus,
Virus:Win32/Evul_8192,Virus,
Virus:Win32/Notw,Virus,
Virus:Win32/Savior,Virus,
Virus:Win32/Stepar,Virus,
Virus:Win95/Puma,Virus,
Virus:X97M/Teocatl,Virus,
Virus:BAT/Crack,Virus,
Virus:DOS/Nutcracker_AB2,Virus,
Virus:DOS/PG,Virus,
Virus:W97M/Badmacra,Virus,
Virus:W97M/Uka,Virus,
Virus:WM/CVCK_Chicken,Virus,
Virus:WM/Gizmo,Virus,
Virus:WM/Pwd,Virus,
Virus:WM/Reflex,Virus,
Virus:Win32/Adson_1703,Virus,
Virus:Win32/Dundun,Virus,
Virus:Win32/Julikz,Virus,
Virus:Win32/Merinos,Virus,
Virus:Win32/Mptest,Virus,
Virus:Win32/Xorph,Virus,
Virus:Win95/Javel,Virus,
Virus:Win95/SGWW,Virus,
Virus:X97M/Cats,Virus,
Virus:X97M/Import,Virus,
Virus:ALisp/Gofas,Virus,
Virus:BAT/GPB,Virus,
Virus:DOS/PolyEngineSGen,Virus,
Virus:VBS/Neves,Virus,
Virus:VBS/Nymdos,Virus,
Virus:W97M/Resume,Virus,
Virus:W97M/Scharf,Virus,
Virus:W97M/Trinu,Virus,
Virus:W97M/Zedfc,Virus,
Virus:WM/Mercy,Virus,
Virus:WM/Muck,Virus,
Virus:WM/Nikita,Virus,
Virus:Win16/Winvir,Virus,
Virus:Win32/Chimera,Virus,
Virus:Win32/Civut,Virus,
Virus:Win32/Espoleo,Virus,
Virus:Win32/Yaz,Virus,
Virus:Win95/Zombie_4584,Virus,
Virus:X97M/Chesu,Virus,
Virus:X97M/Coke,Virus,
Virus:BAT/Heloon,Virus,
Virus:BAT/Suka,Virus,
Virus:DOS/Xboot,Virus,
Virus:HTML/Sapaq,Virus,
Virus:VBS/Rofive,Virus,
Virus:VBS/Vindo,Virus,
Virus:VBS/Vong,Virus,
Virus:W97M/Virgo,Virus,
Virus:WM/TestArea,Virus,
Virus:Win32/Funlove_4099,Virus,
Virus:Win32/Granamer,Virus,
Virus:Win32/Hopa,Virus,
Virus:Win32/Juny,Virus,
Virus:Win32/Mesut,Virus,
Virus:Win32/Proyo,Virus,
Virus:BAT/Angela,Virus,
Virus:BAT/Winvader,Virus,
Virus:DOS/Civil_6656,Virus,
Virus:DOS/TaeKwonDoe,Virus,
Virus:VBS/Ace,Virus,
Virus:VBS/Fivecode,Virus,
Virus:VBS/Plomfer,Virus,
Virus:VBS/Stupcook,Virus,
Virus:W97M/East,Virus,
Virus:W97M/Komcon,Virus,
Virus:W97M/Kumar,Virus,
Virus:W97M/Layla,Virus,
Virus:W97M/Mary,Virus,
Virus:W97M/Mush,Virus,
Virus:W97M/Rut,Virus,
Virus:W97M/SevenSix,Virus,
Virus:W97M/Sops,Virus,
