dest_port,metadata_comment,metadata_confidence,metatada_category,metadata_detection_type,metadata_link,metadata_reference
5646,aweray RMM default port,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
5647,aweray RMM default port,medium,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
