rule_name,metadata_tool,metadata_tool_type,metadata_tool_category,metadata_severity,metadata_link,metadata_detection_type,metadata_reference,metadata_comment
AweSunDesktopAgent,aweray,greyware_tool,RMM,high,https://sun.aweray.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/aweray.csv,
AweSun,aweray,greyware_tool,RMM,high,https://sun.aweray.com/,Hunting,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/A-C/aweray.csv,
