dest_ip,metadata_id,metadata_serviceArea,metadata_serviceAreaDisplayName,metadata_urls,metadata_tcpPorts,metadata_udpPorts,metadata_expressRoute,metadata_category,metadata_required,metadata_notes
20.190.128.0/18,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
20.231.128.0/19,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
40.126.0.0/18,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1006:2000::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1007:200::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1016:1400::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1017::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1026:3000::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1027:1::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
2603:1036:3000::/48,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
