pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference,metadata_regex_cortex
\client32_VistaUIPipe2,NetSupport Manager\client32.exe RMM usage,NetSupport,RMM,netsupportsoftware.com,high,low,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/NetSupport.csv,^client32_VistaUIPipe2$
\client32_VistaPipe2,NetSupport Manager\client32.exe RMM usage,NetSupport,RMM,netsupportsoftware.com,high,low,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/L-N/NetSupport.csv,^client32_VistaPipe2$
