dest_ip,metadata_comment
75.127.64.0/24,AS7226 IPv4
2001:559:84eb::/48,AS7016 IPv6
86.108.10.0/24,AS8376 IPv4
2a01:9700:30d0::/44,AS8376 IPv6
96.113.119.0/24,AS7922 IPv4
173.166.0.0/17,AS7015 IPv4
185.49.243.0/24,AS62040 IPv4
96.97.72.0/22,AS7922 IPv4
2001:5b0:6900::/40,AS6621 IPv6
2001:559:81a7::/48,AS7725 IPv6
64.29.140.0/24,AS62815 IPv4
162.33.27.0/24,AS8100 IPv4
216.47.211.0/24,AS7265 IPv4
173.184.232.0/21,AS7029 IPv4
80.240.87.0/24,AS64267 IPv4
194.26.69.0/24,AS206728
76.115.210.0/23,AS7922 IPv4
73.25.240.0/23,AS7922 IPv4
72.48.220.0/22,AS7459 IPv4
2001:559:e016::/48,AS7015 IPv6
2604:cb00:b00::/40,AS7029 IPv6
73.11.32.0/23,AS7922 IPv4
76.115.162.0/23,AS7922 IPv4
67.45.160.0/19,AS6621 IPv4
98.246.106.0/23,AS7922 IPv4
68.179.244.0/24,AS54804
2620:fd:8000::/48,AS7922 IPv6
2001:559:c358::/48,AS7016 IPv6
63.246.146.0/23,AS64200 IPv4
2a0c:9a40:d080::/42,AS63150 IPv6
138.210.83.0/24,AS6222 IPv4
24.20.148.0/23,AS7922 IPv4
2605:9600::/32,AS62 IPv6
185.248.51.0/24,AS61317 IPv4
185.174.195.0/24,AS60764 IPv4
162.148.0.0/14,AS7922 IPv4
86.108.19.0/24,AS8376 IPv4
2001:559:2c9::/48,AS7015 IPv6
178.236.184.0/24,AS9087 IPv4
185.196.186.0/24,AS61040 IPv4
2001:559:81e9::/48,AS7016 IPv6
158.181.40.0/22,AS8814 IPv4
50.198.160.0/20,AS7922 IPv4
38.55.117.0/24,AS6134 IPv4
69.61.97.0/24,AS8100 IPv4
70.165.216.0/21,AS62957 IPv4
158.181.35.0/24,AS8814 IPv4
73.96.54.0/23,AS7922 IPv4
193.29.62.0/24,AS63473 IPv4
2001:504:130::/48,AS945 IPv6
95.164.123.0/24,AS8772 IPv4
24.21.86.0/23,AS7922 IPv4
162.40.29.0/24,AS7029 IPv4
2a0e:eec2::/32,AS60389 IPv6
67.189.80.0/22,AS7922 IPv4
168.199.240.0/21,AS834 IPv4
198.55.106.0/24,AS64270 IPv4
67.224.32.0/20,AS7029 IPv4
2a01:9700:1340::/44,AS8376 IPv6
176.57.60.0/24,AS61317 IPv4
72.169.32.0/19,AS6621 IPv4
213.21.252.0/24,AS8100 IPv4
167.160.157.0/24,AS62887 IPv4
67.172.16.0/20,AS7016 IPv4
71.63.174.0/24,AS7922 IPv4
65.151.130.0/24,AS6640 IPv4
84.47.177.0/24,AS8641 IPv4
198.22.253.0/24,AS62608 IPv4
185.51.244.0/24,AS6789 IPv4
179.61.152.0/24,AS64267 IPv4
107.161.91.0/24,AS8100 IPv4
2602:ffb7:f00::/40,AS62874 IPv6
64.183.14.0/23,AS7757 IPv4
67.168.248.0/22,AS7922 IPv4
185.231.112.0/24,AS60631 IPv4
151.213.116.0/22,AS7029 IPv4
8.41.203.0/24,AS63427 IPv4
149.200.253.0/24,AS8376 IPv4
24.91.128.0/17,AS7015 IPv4
2001:558:6018::/48,AS7922 IPv6
67.141.248.0/22,AS7029 IPv4
2001:559:8411::/48,AS7016 IPv6
216.224.211.0/24,AS62958 IPv4
65.151.155.0/24,AS6640 IPv4
176.67.82.0/24,AS62651 IPv4
98.246.24.0/21,AS7922 IPv4
2001:559:56f::/48,AS7016 IPv6
83.168.122.0/24,AS61317 IPv4
67.165.64.0/19,AS7016 IPv4
161.69.128.0/24,AS7754 IPv4
199.10.151.0/24,AS7015 IPv4
96.44.128.0/18,AS8100 IPv4
96.44.146.0/24,AS8100 IPv4
67.170.168.0/22,AS7922 IPv4
50.212.224.0/19,AS7016 IPv4
50.20.232.0/21,AS834 IPv4
76.115.140.0/22,AS7922 IPv4
96.115.174.0/23,AS7725 IPv4
2001:559:8696::/48,AS7015 IPv6
63.245.22.0/24,AS62627 IPv4
76.27.226.0/23,AS7922 IPv4
162.222.199.0/24,AS8100 IPv4
66.135.130.0/24,AS8092 IPv4
2001:559:8306::/48,AS7015 IPv6
91.197.158.0/23,AS61396 IPv4
213.220.60.0/23,AS834 IPv4
2001:559:c4c4::/48,AS7015 IPv6
103.253.27.0/24,AS6939 IPv4
199.96.144.0/21,AS7029 IPv4
2001:559:80a0::/48,AS7016 IPv6
2001:559:85de::/48,AS7015 IPv6
104.234.126.0/24,AS62579 IPv4
156.232.88.0/21,AS62587 IPv4
216.68.85.0/24,AS62533 IPv4
2602:f988:83::/48,AS63150 IPv6
185.58.216.0/22,AS60072 IPv4
98.246.148.0/23,AS7922 IPv4
130.45.7.0/24,AS7459 IPv4
95.142.122.0/24,AS61317 IPv4
67.55.228.0/24,AS63394 IPv4
2001:559:8190::/48,AS7015 IPv6
72.168.168.0/22,AS6621 IPv4
45.132.230.0/23,AS834 IPv4
71.237.232.0/21,AS7922 IPv4
2001:559:879c::/48,AS7015 IPv6
71.56.132.0/23,AS7922 IPv4
104.171.23.0/24,AS7029 IPv4
24.155.252.0/24,AS7459 IPv4
96.108.202.0/24,AS7922 IPv4
71.28.128.0/22,AS7029 IPv4
2a0f:dc4::/32,AS7956 IPv6
207.174.224.0/23,AS62948 IPv4
96.99.204.0/22,AS7725 IPv4
2a01:9700:1a50::/44,AS8376 IPv6
2001:559:e01c::/48,AS7015 IPv6
67.171.136.0/22,AS7922 IPv4
45.141.60.0/24,AS8100 IPv4
70.91.216.0/22,AS7015 IPv4
185.250.0.0/22,AS51092
88.209.211.0/24,AS61317 IPv4
73.164.172.0/23,AS7922 IPv4
