domain,port,metadata_comment,ip
cleartext.ru,3448,Possible NanoKVM Domain (Unverified),95.84.148.73
closet.patben8.net,911,Possible NanoKVM Domain (Unverified),83.83.58.28
cloud.betalab.fr,5923,Possible NanoKVM Domain (Unverified),176.190.55.109
cloud.creative-services.info,10103,Possible GLKVM Domain (Unverified),31.19.204.59
cloud.squirrelpiles.com,4747,Possible GLKVM Domain (Unverified),73.71.126.150
cont.phongit.duckdns.org,9443,Possible PiKVM Domain (Unverified),171.247.69.27
conta.alexserv.xyz,8282,Possible PiKVM Domain (Unverified),82.77.117.180
cormanda.com,8868,Possible PiKVM Domain (Unverified),118.178.227.120
cravas.duckdns.org,40443,Possible PiKVM Domain (Unverified),94.62.130.172
cyuno8myra8jz7ke.myfritz.net,443,Possible PiKVM Domain (Unverified),78.43.158.217
dashboard.wallmark.no,5236,Possible PiKVM Domain (Unverified),83.108.204.145
dav.rzrecord.top,6444,Possible PiKVM Domain (Unverified),118.89.201.191
deadatdawn.crazedns.ru,8745,Possible GLKVM Domain (Unverified),194.28.29.99
dec1.synology.me,60443,Possible GLKVM Domain (Unverified),70.51.211.121
deepblueii.duckdns.org,7115,Possible NanoKVM Domain (Unverified),65.188.37.248
derp.taigelinganxian.asia,8443,Possible PiKVM Domain (Unverified),8.210.124.104
derp.ziir.top,17172,Possible PiKVM Domain (Unverified),162.14.78.172
derp2.gjengedal.dev,43443,Possible NanoKVM Domain (Unverified),95.111.170.51
device-05a0108e-33c5-411e-bc4c-612968c81d00.remotewd.com,8443,Possible PiKVM Domain (Unverified),95.31.214.45
device-3234ddd7-5a1f-4de6-b73a-1da38ab9259d.remotewd.com,445,Possible GLKVM Domain (Unverified),162.191.89.154
device-517ace2f-eb74-48a0-99e8-d540381c275d.remotewd.com,5554,Possible NanoKVM Domain (Unverified),178.27.187.201
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,443,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,8899,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-c7e11c78-03a6-49d9-b168-a6c6d6130027.remotewd.com,443,Possible NanoKVM Domain (Unverified),82.207.30.195
device-d6c40d26-ab59-447e-b619-d7565ade8555.remotewd.com,80,Possible NanoKVM Domain (Unverified),213.136.57.5
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
diskstation.symontek.com,8288,Possible NanoKVM Domain (Unverified),97.113.43.117
dockhand.gamingecke.space,8087,Possible NanoKVM Domain (Unverified),87.177.114.243
docmost.sebastienpont.fr,8006,Possible PiKVM Domain (Unverified),92.167.89.247
dollarwang.synology.me,31443,Possible PiKVM Domain (Unverified),36.231.170.218
dolmen.shatteredatoms.com,44543,Possible PiKVM Domain (Unverified),75.51.26.43
drivelog.preview.git.mckanses.cloud,8888,Possible NanoKVM Domain (Unverified),84.113.106.124
dune.royalm.dk,443,Possible PiKVM Domain (Unverified),65.108.227.254
dune.royalm.dk,80,Possible PiKVM Domain (Unverified),65.108.227.254
dwagiedermt.ddnsfree.com,9443,Possible GLKVM Domain (Unverified),1.34.23.242
dwizz10038.synology.me,8888,Possible GLKVM Domain (Unverified),92.70.185.106
e3250d78286b.sn.mynetname.net,8050,Possible PiKVM Domain (Unverified),91.227.109.151
eademidkovk.direct.quickconnect.to,3380,Possible NanoKVM Domain (Unverified),95.154.109.69
element.nashitut.ru,81,Possible NanoKVM Domain (Unverified),84.42.22.118
ertug4055.direct.quickconnect.to,5810,Possible PiKVM Domain (Unverified),91.184.173.188
ertug4055.direct.quickconnect.to,5850,Possible PiKVM Domain (Unverified),91.184.173.188
essa.amn.team,8443,Possible GLKVM Domain (Unverified),150.136.117.14
ffpy.asia,9981,Possible PiKVM Domain (Unverified),124.228.248.177
files.groundlift.ru,808,Possible NanoKVM Domain (Unverified),31.211.44.227
fire.soosin.com,3333,Possible NanoKVM Domain (Unverified),221.154.199.48
firewall.trinityturbine.com,62969,Possible PiKVM Domain (Unverified),50.205.90.234
fl-haus-bitrix.ru,8081,Possible NanoKVM Domain (Unverified),178.64.26.14
flc.oh.3cx.us,80,Possible NanoKVM Domain (Unverified),96.11.67.2
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
fnos.369.wiki,8444,Possible GLKVM Domain (Unverified),119.179.12.49
fongame.tplinkdns.com,8020,Possible NanoKVM Domain (Unverified),95.220.215.218
foxcall.com,10443,Possible GLKVM Domain (Unverified),136.62.104.87
foxcall.com,11443,Possible GLKVM Domain (Unverified),136.62.104.87
frankram.ddns.net,9443,Possible PiKVM Domain (Unverified),217.63.205.143
fridstein.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),37.204.54.154
fs.winter.com.de,5830,Possible PiKVM Domain (Unverified),87.148.49.146
funkwhale.brnklmr.com,18443,Possible NanoKVM Domain (Unverified),77.37.180.210
furry.i234.me,33333,Possible GLKVM Domain (Unverified),119.98.153.58
g.diosmile.com,6003,Possible PiKVM Domain (Unverified),115.28.106.74
g.diosmile.com,9601,Possible PiKVM Domain (Unverified),115.28.106.74
garage.homelab.arakchi.net,58081,Possible NanoKVM Domain (Unverified),37.153.46.134
gimnazija.mrservice.me,8080,Possible NanoKVM Domain (Unverified),109.228.76.69
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.arbrit.duckdns.org,10000,Possible PiKVM Domain (Unverified),70.112.90.12
git.arbrit.duckdns.org,20000,Possible PiKVM Domain (Unverified),70.112.90.12
gitlab.devops-labs.ru,9044,Possible NanoKVM Domain (Unverified),45.155.147.137
gitlab.euroident.de,4433,Possible GLKVM Domain (Unverified),87.140.5.121
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.mtu90.com,443,Possible GLKVM Domain (Unverified),79.98.186.233
glkvmkhor.ru,443,Possible GLKVM Domain (Unverified),213.141.128.164
gmzozjoylyzicw6q.myfritz.net,443,Possible GLKVM Domain (Unverified),194.183.29.213
gmzozjoylyzicw6q.myfritz.net,80,Possible GLKVM Domain (Unverified),194.183.29.213
goodtaste2.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),114.33.70.204
grafana.aistation.trading,40443,Possible NanoKVM Domain (Unverified),110.235.108.37
guacamole.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
ha.kellashee.fun,10445,Possible NanoKVM Domain (Unverified),99.152.36.137
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
hauroa.freeboxos.fr,49200,Possible GLKVM Domain (Unverified),88.161.5.86
head.yeliya.site,10443,Possible PiKVM Domain (Unverified),118.195.219.163
hh40a68mv96.sn.mynetname.net,8080,Possible NanoKVM Domain (Unverified),37.204.114.193
hkht-server.direct.quickconnect.to,443,Possible PiKVM Domain (Unverified),183.179.253.6
hkht-server.direct.quickconnect.to,80,Possible PiKVM Domain (Unverified),183.179.253.6
hlabbe.synology.me,443,Possible GLKVM Domain (Unverified),76.102.11.72
hlabbe.synology.me,80,Possible GLKVM Domain (Unverified),76.102.11.72
home-jamb.duckdns.org,60443,Possible PiKVM Domain (Unverified),46.149.84.98
home-mini-pc.duckdns.org,880,Possible NanoKVM Domain (Unverified),154.178.133.156
home.gonzalez.se,8000,Possible NanoKVM Domain (Unverified),217.31.190.115
home.stefano-baldi.com,40443,Possible GLKVM Domain (Unverified),195.231.108.173
home.vadima.net,9443,Possible NanoKVM Domain (Unverified),178.219.86.226
home.yyystephen.top,2443,Possible PiKVM Domain (Unverified),139.227.40.220
hp.agafonov.club,19680,Possible NanoKVM Domain (Unverified),89.19.177.198
hp.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hsinterresearch.synology.me,5040,Possible GLKVM Domain (Unverified),75.40.52.208
hyperperceptron.direct.quickconnect.to,3512,Possible PiKVM Domain (Unverified),123.192.65.137
hyperperceptron.direct.quickconnect.to,4512,Possible PiKVM Domain (Unverified),123.192.65.137
hytecinter-tokyo.direct.quickconnect.to,3888,Possible NanoKVM Domain (Unverified),118.238.205.14
iceplanet.net,25001,Possible GLKVM Domain (Unverified),216.177.187.113
iceplanet.net,25002,Possible GLKVM Domain (Unverified),216.177.187.113
icpsco.net,443,Possible GLKVM Domain (Unverified),24.229.127.67
icpsco.net,80,Possible GLKVM Domain (Unverified),24.229.127.67
idired.direct.quickconnect.to,12345,Possible NanoKVM Domain (Unverified),79.116.74.62
iex.synology.me,17171,Possible PiKVM Domain (Unverified),185.143.146.25
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
immich.gh4l.org,2096,Possible PiKVM Domain (Unverified),24.101.18.231
immich.gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
invite.plx-service.de,6245,Possible PiKVM Domain (Unverified),91.66.30.244
iot.fzfrd.com,53100,Possible PiKVM Domain (Unverified),183.250.202.67
iptv.zhypro.cn,51111,Possible GLKVM Domain (Unverified),117.133.114.28
iristam.direct.quickconnect.to,3145,Possible NanoKVM Domain (Unverified),98.45.157.84
isnzuw0317.ddns.net,443,Possible NanoKVM Domain (Unverified),210.95.220.230
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jcw81.direct.quickconnect.to,10089,Possible NanoKVM Domain (Unverified),128.106.40.182
jellyfin2.tartarus6.com,12345,Possible NanoKVM Domain (Unverified),96.234.148.166
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
jk9921.synology.me,443,Possible NanoKVM Domain (Unverified),23.241.104.145
jk9921.synology.me,80,Possible NanoKVM Domain (Unverified),23.241.104.145
jsmicro.cn,11111,Possible NanoKVM Domain (Unverified),121.229.199.199
jychan.myqnapcloud.com,3185,Possible NanoKVM Domain (Unverified),98.45.157.84
k-vm-1.osblic.ch,2876,Possible GLKVM Domain (Unverified),84.234.16.53
k112.space,1957,Possible NanoKVM Domain (Unverified),86.110.170.70
karimov1981.crazedns.ru,443,Possible NanoKVM Domain (Unverified),151.252.81.52
karlsonserver.direct.quickconnect.to,3815,Possible GLKVM Domain (Unverified),100.1.116.161
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.synology.me,40005,Possible NanoKVM Domain (Unverified),123.213.37.9
keenetic-alexey.keenetic.link,33333,Possible NanoKVM Domain (Unverified),78.107.238.174
kellercam.feste-ip.net,59677,Possible PiKVM Domain (Unverified),185.248.148.15
kennyb36532.direct.quickconnect.to,10142,Possible GLKVM Domain (Unverified),68.186.201.237
kennyb36532.direct.quickconnect.to,10163,Possible GLKVM Domain (Unverified),68.186.201.237
kkim.top,18443,Possible GLKVM Domain (Unverified),123.235.20.198
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
kpp.dhammacakratra.org,6661,Possible TinyPilot KVM Domain (Unverified),104.173.108.165
krot34464.keenetic.link,56734,Possible NanoKVM Domain (Unverified),83.174.213.36
kvm-oob.parisremotehands.fr,1443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm-oob.parisremotehands.fr,443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm.asi.nyc,443,Possible GLKVM Domain (Unverified),198.199.69.31
kvm.durbatul.uk,443,Possible GLKVM Domain (Unverified),143.47.179.249
kvm.hostingswift.net,443,Possible GLKVM Domain (Unverified),153.75.230.246
kvm.nortek.cc,4433,Possible GLKVM Domain (Unverified),206.109.207.11
kvm.sollysolutions.com,443,Possible GLKVM Domain (Unverified),165.232.62.159
kwloo.direct.quickconnect.to,65500,Possible TinyPilot KVM Domain (Unverified),116.89.89.12
kyusiks.direct.quickconnect.to,8081,Possible NanoKVM Domain (Unverified),180.67.255.80
lesj0610.asuscomm.com,7443,Possible PiKVM Domain (Unverified),175.115.64.71
lesj0610.asuscomm.com,9443,Possible PiKVM Domain (Unverified),175.115.64.71
lfire.asuscomm.com,9066,Possible NanoKVM Domain (Unverified),188.226.4.190
lin.chiptuning.web.tr,888,Possible PiKVM Domain (Unverified),149.0.252.22
linjiang-nas.synology.me,18888,Possible PiKVM Domain (Unverified),220.132.99.215
linjintao.myds.me,4433,Possible PiKVM Domain (Unverified),110.81.92.159
live.inftdes.com,7777,Possible GLKVM Domain (Unverified),144.6.122.144
local.deepbits.com,61583,Possible NanoKVM Domain (Unverified),172.15.55.221
localracc.argyll.live,443,Possible GLKVM Domain (Unverified),77.103.109.134
localracc.argyll.live,80,Possible GLKVM Domain (Unverified),77.103.109.134
longdog.net305.ru,7777,Possible NanoKVM Domain (Unverified),80.92.211.234
longdog.net305.ru,7778,Possible NanoKVM Domain (Unverified),80.92.211.234
lsylsy.synology.me,60010,Possible NanoKVM Domain (Unverified),58.37.31.3
luki.zip,61000,Possible NanoKVM Domain (Unverified),213.185.130.154
lynchtek.com,62997,Possible PiKVM Domain (Unverified),73.45.150.207
mail.bestdirectlandhomes.com,7443,Possible GLKVM Domain (Unverified),81.17.96.138
mail.sdvs.su,10443,Possible NanoKVM Domain (Unverified),95.31.3.184
mail.starman.dev,9039,Possible NanoKVM Domain (Unverified),59.18.168.107
mail03-vps.hlpnet.dk,443,Possible GLKVM Domain (Unverified),172.233.41.176
manage.youngapps.net,10443,Possible NanoKVM Domain (Unverified),107.11.148.122
martadronology.myqnapcloud.com,8084,Possible GLKVM Domain (Unverified),193.218.203.8
martadronology.myqnapcloud.com,8085,Possible PiKVM Domain (Unverified),193.218.203.8
martin.argerami.ca,2249,Possible TinyPilot KVM Domain (Unverified),142.3.219.94
mcrena-lgk.netcraze.pro,8081,Possible NanoKVM Domain (Unverified),195.128.97.113
medianaswa.direct.quickconnect.to,20443,Possible PiKVM Domain (Unverified),172.92.254.98
menusout.com,443,Possible TinyPilot KVM Domain (Unverified),209.182.192.122
merendero.direct.quickconnect.to,50505,Possible TinyPilot KVM Domain (Unverified),189.154.184.184
messenger.agata.rip,7755,Possible NanoKVM Domain (Unverified),5.20.29.106
micasanotu.casa,10001,Possible GLKVM Domain (Unverified),148.74.144.237
mikopbx.clinic-msk-ah.ru,83,Possible NanoKVM Domain (Unverified),85.30.215.156
mikopbx.clinic-msk-ah.ru,84,Possible NanoKVM Domain (Unverified),85.30.215.156
mo.proxmox.nanokvm.net,443,Possible NanoKVM Domain (Unverified),45.133.118.27
moskovskiy.netcraze.pro,4433,Possible NanoKVM Domain (Unverified),93.100.233.164
moxdemo.ckinf.com,4443,Possible GLKVM Domain (Unverified),176.149.234.91
moxdemo.ckinf.com,5443,Possible GLKVM Domain (Unverified),176.149.234.91
ms.ywmeis.com,8443,Possible PiKVM Domain (Unverified),122.226.124.94
music.shfactory.co.kr,9445,Possible NanoKVM Domain (Unverified),121.124.204.34
my-downloads.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),67.208.54.121
nas-argentine-huberlant.direct.quickconnect.to,8001,Possible GLKVM Domain (Unverified),179.0.182.15
nas-iwg.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.57.210.123
nas-iwg.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.57.210.123
nas.aaaaaa.tech,1443,Possible PiKVM Domain (Unverified),8.155.25.193
nas.tooni.kr,8055,Possible NanoKVM Domain (Unverified),1.252.129.83
nasikbig.direct.quickconnect.to,1500,Possible NanoKVM Domain (Unverified),79.174.46.24
naturalnrg.myqnapcloud.com,8888,Possible PiKVM Domain (Unverified),92.84.40.96
netcrazelaine.netcraze.pro,8223,Possible GLKVM Domain (Unverified),94.19.185.32
neural.bezrabotnyi.com,21100,Possible NanoKVM Domain (Unverified),95.165.165.65
next.smartshape.io,4443,Possible PiKVM Domain (Unverified),130.180.220.15
nextcloud.tuna.yakovlev-nl-01.abrdns.com,18086,Possible NanoKVM Domain (Unverified),185.239.51.213
ni3k2454.direct.quickconnect.to,64976,Possible NanoKVM Domain (Unverified),106.73.126.225
njnvqg18z57wowut.myfritz.net,9443,Possible GLKVM Domain (Unverified),146.52.120.72
nocturnalnick.com,51337,Possible NanoKVM Domain (Unverified),125.238.204.185
nohany.duckdns.org,42443,Possible PiKVM Domain (Unverified),174.113.199.220
nsrkeenetic.keenetic.link,8085,Possible PiKVM Domain (Unverified),46.39.239.117
nvr.dyatbit.ru,8008,Possible NanoKVM Domain (Unverified),77.37.168.213
obluchatel.netcraze.club,9443,Possible PiKVM Domain (Unverified),176.99.166.251
ocaldk.direct.quickconnect.to,8443,Possible GLKVM Domain (Unverified),91.226.145.67
ocenki.erudit23.ru,8049,Possible NanoKVM Domain (Unverified),193.242.148.251
oifdgok.crazedns.ru,80,Possible NanoKVM Domain (Unverified),185.160.137.198
omvoid.direct.quickconnect.to,53467,Possible GLKVM Domain (Unverified),95.31.158.66
op.xpen.io,59801,Possible PiKVM Domain (Unverified),46.188.22.50
osf6pzc62w92t43q.myfritz.net,443,Possible GLKVM Domain (Unverified),80.137.239.129
osf6pzc62w92t43q.myfritz.net,80,Possible GLKVM Domain (Unverified),80.137.239.129
outlaw.synology.me,999,Possible GLKVM Domain (Unverified),31.208.183.71
overseerr.sam.net.ru,8083,Possible NanoKVM Domain (Unverified),46.32.81.28
overseerr.sam.net.ru,8084,Possible NanoKVM Domain (Unverified),46.32.81.28
panel.regcloudfest.ru,8889,Possible NanoKVM Domain (Unverified),95.165.143.236
papap.myasustor.com,4431,Possible GLKVM Domain (Unverified),70.181.70.35
parus8.ru,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
passbolt.basschouten.com,27893,Possible PiKVM Domain (Unverified),82.163.41.149
pavelrosario.direct.quickconnect.to,8443,Possible NanoKVM Domain (Unverified),108.35.97.148
pcj8110.synology.me,8473,Possible NanoKVM Domain (Unverified),112.168.75.177
pearlab.dedyn.io,50245,Possible PiKVM Domain (Unverified),62.182.225.233
peertube.cainet.info,8822,Possible NanoKVM Domain (Unverified),195.46.165.163
pelican-wings.zmcna.net,10433,Possible PiKVM Domain (Unverified),23.121.95.13
perov6.signum.video,9980,Possible NanoKVM Domain (Unverified),94.41.172.240
photos.vgfml.com,2125,Possible PiKVM Domain (Unverified),66.31.141.13
phpmyadmin.acumenx.duckdns.org,59308,Possible NanoKVM Domain (Unverified),210.6.109.18
