domain,port,metadata_comment,ip
colin-ds.direct.quickconnect.to,11111,Possible NanoKVM Domain (Unverified),114.221.51.10
connector.starry-plain.cn,10443,Possible PiKVM Domain (Unverified),103.27.79.112
corderoau.asuscomm.com,444,Possible GLKVM Domain (Unverified),58.168.224.231
cravas.duckdns.org,40443,Possible PiKVM Domain (Unverified),94.62.130.172
cyuno8myra8jz7ke.myfritz.net,443,Possible PiKVM Domain (Unverified),78.43.158.217
dcerma.cz,7000,Possible PiKVM Domain (Unverified),213.168.181.195
dcerma.cz,7001,Possible PiKVM Domain (Unverified),213.168.181.195
deadatdawn.crazedns.ru,8745,Possible GLKVM Domain (Unverified),194.28.29.99
debilausau.re,1200,Possible NanoKVM Domain (Unverified),90.109.191.130
deepblueii.duckdns.org,7115,Possible NanoKVM Domain (Unverified),65.188.37.248
derp.taigelinganxian.asia,8443,Possible PiKVM Domain (Unverified),8.210.124.104
device-05a0108e-33c5-411e-bc4c-612968c81d00.remotewd.com,8443,Possible PiKVM Domain (Unverified),95.31.214.45
device-517ace2f-eb74-48a0-99e8-d540381c275d.remotewd.com,5554,Possible NanoKVM Domain (Unverified),178.27.187.201
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,443,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,8899,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-9400b69c-b2ab-4430-9d04-f6861e26ace2.remotewd.com,9000,Possible NanoKVM Domain (Unverified),31.18.219.242
device-a0d8b556-48ae-4e43-9512-b6385193787f.remotewd.com,443,Possible GLKVM Domain (Unverified),67.208.54.121
device-cb7b3e89-58a8-4b26-a16e-9674d78e4562.remotewd.com,46443,Possible PiKVM Domain (Unverified),121.17.245.130
device-d6c40d26-ab59-447e-b619-d7565ade8555.remotewd.com,80,Possible NanoKVM Domain (Unverified),213.136.57.5
