ip,port,metadata_comment
1.14.234.107,8989,Possible AdaptixC2 IP (Unverified)
1.94.97.18,25,Possible Interactsh IP (Unverified)
1.94.97.18,53,Possible Interactsh IP (Unverified)
100.30.6.76,53,Possible Interactsh IP (Unverified)
100.49.160.214,53,Possible Interactsh IP (Unverified)
100.51.133.2,53,Possible Interactsh IP (Unverified)
101.133.172.90,8787,Possible Supershell IP (Unverified)
101.200.49.69,10010,Possible Interactsh IP (Unverified)
101.32.219.187,443,Possible Interactsh IP (Unverified)
101.32.219.187,465,Possible Interactsh IP (Unverified)
101.32.219.187,53,Possible Interactsh IP (Unverified)
101.32.219.187,587,Possible Interactsh IP (Unverified)
101.32.219.187,80,Possible Interactsh IP (Unverified)
101.33.202.134,9989,Possible AdaptixC2 IP (Unverified)
101.34.222.38,60000,Possible Viper IP (Unverified)
101.35.201.222,3232,Possible Reverse_SSH IP (Unverified)
101.37.210.236,8888,Possible Supershell IP (Unverified)
101.42.104.134,8888,Possible Supershell IP (Unverified)
101.43.119.104,443,Possible Interactsh IP (Unverified)
101.43.119.104,53,Possible Interactsh IP (Unverified)
101.43.119.104,80,Possible Interactsh IP (Unverified)
102.117.173.226,7443,Possible Mythic IP (Unverified)
102.164.134.248,443,Possible Interactsh IP (Unverified)
102.208.217.31,443,Possible Reverse_SSH IP (Unverified)
102.220.160.217,6606,Possible AsyncRAT IP (Unverified)
102.220.160.217,7707,Possible AsyncRAT IP (Unverified)
102.220.160.217,8808,Possible AsyncRAT IP (Unverified)
102.220.160.222,2025,Possible AsyncRAT IP (Unverified)
102.220.160.222,2026,Possible AsyncRAT IP (Unverified)
102.220.160.222,6606,Possible AsyncRAT IP (Unverified)
102.220.160.222,7707,Possible AsyncRAT IP (Unverified)
102.220.160.250,6606,Possible AsyncRAT IP (Unverified)
102.220.160.250,7707,Possible AsyncRAT IP (Unverified)
102.220.160.250,7829,Possible AsyncRAT IP (Unverified)
102.220.160.250,8808,Possible AsyncRAT IP (Unverified)
102.46.221.148,7707,Possible AsyncRAT IP (Unverified)
103.1.187.203,25,Possible Interactsh IP (Unverified)
103.1.187.203,443,Possible Interactsh IP (Unverified)
103.1.187.203,465,Possible Interactsh IP (Unverified)
103.1.187.203,53,Possible Interactsh IP (Unverified)
103.1.187.203,587,Possible Interactsh IP (Unverified)
103.1.187.203,80,Possible Interactsh IP (Unverified)
103.106.3.227,53,Possible Interactsh IP (Unverified)
103.106.65.199,25,Possible Interactsh IP (Unverified)
103.106.65.199,443,Possible Interactsh IP (Unverified)
103.106.65.199,53,Possible Interactsh IP (Unverified)
103.106.65.199,587,Possible Interactsh IP (Unverified)
103.106.65.199,80,Possible Interactsh IP (Unverified)
103.106.65.249,443,Possible BurpSuite Collaborator IP (Unverified)
103.106.65.249,80,Possible BurpSuite Collaborator IP (Unverified)
103.106.65.251,25,Possible Interactsh IP (Unverified)
103.106.65.251,465,Possible Interactsh IP (Unverified)
103.106.65.251,53,Possible Interactsh IP (Unverified)
103.106.65.251,587,Possible Interactsh IP (Unverified)
103.106.65.252,53,Possible Interactsh IP (Unverified)
103.108.41.90,3790,Possible Metasploit IP (Unverified)
103.108.41.91,3790,Possible Metasploit IP (Unverified)
103.11.41.10,431,Possible Remcos IP (Unverified)
103.11.41.10,51490,Possible Remcos IP (Unverified)
103.11.41.10,53496,Possible Remcos IP (Unverified)
103.11.41.10,55483,Possible Remcos IP (Unverified)
103.11.41.10,7408,Possible Remcos IP (Unverified)
103.11.41.10,9428,Possible Remcos IP (Unverified)
103.11.41.19,126,Possible Remcos IP (Unverified)
103.11.41.19,5213,Possible Remcos IP (Unverified)
103.11.41.19,52814,Possible Remcos IP (Unverified)
103.11.41.19,9233,Possible Remcos IP (Unverified)
103.11.41.20,5195,Possible Remcos IP (Unverified)
103.11.41.20,53523,Possible Remcos IP (Unverified)
103.110.80.154,7443,Possible Mythic IP (Unverified)
103.110.80.154,7444,Possible Covenant IP (Unverified)
103.124.196.181,3790,Possible Metasploit IP (Unverified)
103.142.147.17,60000,Possible Viper IP (Unverified)
103.142.147.18,60000,Possible Viper IP (Unverified)
103.142.147.19,60000,Possible Viper IP (Unverified)
103.149.29.226,25,Possible Interactsh IP (Unverified)
103.149.29.226,443,Possible Interactsh IP (Unverified)
103.149.29.226,465,Possible Interactsh IP (Unverified)
103.149.29.226,53,Possible Interactsh IP (Unverified)
103.149.29.226,587,Possible Interactsh IP (Unverified)
103.149.29.226,80,Possible Interactsh IP (Unverified)
103.153.254.32,6933,Possible Mythic IP (Unverified)
103.16.130.58,443,Possible BurpSuite Collaborator IP (Unverified)
103.16.130.58,80,Possible BurpSuite Collaborator IP (Unverified)
103.195.188.38,38887,Possible Reverse_SSH IP (Unverified)
103.199.19.148,43817,Possible wstunnel IP (Unverified)
103.199.19.148,43823,Possible wstunnel IP (Unverified)
103.215.81.156,60000,Possible Viper IP (Unverified)
103.219.153.200,6606,Possible AsyncRAT IP (Unverified)
103.219.153.200,7707,Possible AsyncRAT IP (Unverified)
103.219.153.200,8808,Possible AsyncRAT IP (Unverified)
103.219.194.144,443,Possible wstunnel IP (Unverified)
103.231.254.57,443,Possible Reverse_SSH IP (Unverified)
103.234.16.100,3790,Possible Metasploit IP (Unverified)
103.236.70.158,8000,Possible DcRat IP (Unverified)
103.253.147.9,3790,Possible Metasploit IP (Unverified)
103.40.14.232,51923,Possible Supershell IP (Unverified)
103.53.171.25,3790,Possible Metasploit IP (Unverified)
103.53.80.201,1235,Possible AdaptixC2 IP (Unverified)
103.6.219.25,6745,Possible AsyncRAT IP (Unverified)
103.67.163.27,443,Possible AsyncRAT IP (Unverified)
103.67.163.27,8080,Possible AsyncRAT IP (Unverified)
103.75.190.47,54630,Possible DcRat IP (Unverified)
103.79.79.105,8444,Possible Pupy RAT IP (Unverified)
103.82.23.92,25,Possible Interactsh IP (Unverified)
103.82.23.92,443,Possible Interactsh IP (Unverified)
103.82.23.92,465,Possible Interactsh IP (Unverified)
103.82.23.92,53,Possible Interactsh IP (Unverified)
103.82.23.92,587,Possible Interactsh IP (Unverified)
103.82.23.92,80,Possible Interactsh IP (Unverified)
104.129.51.149,25,Possible Interactsh IP (Unverified)
104.129.51.149,443,Possible Interactsh IP (Unverified)
104.129.51.149,465,Possible Interactsh IP (Unverified)
104.129.51.149,53,Possible Interactsh IP (Unverified)
104.129.51.149,587,Possible Interactsh IP (Unverified)
104.129.51.149,80,Possible Interactsh IP (Unverified)
104.131.46.55,3790,Possible Metasploit IP (Unverified)
104.131.75.223,443,Possible Interactsh IP (Unverified)
104.131.75.223,53,Possible Interactsh IP (Unverified)
104.131.75.223,80,Possible Interactsh IP (Unverified)
104.155.53.206,443,Possible BurpSuite Collaborator IP (Unverified)
104.155.53.206,80,Possible BurpSuite Collaborator IP (Unverified)
104.168.0.29,52202,Possible AsyncRAT IP (Unverified)
104.168.0.29,52203,Possible AsyncRAT IP (Unverified)
104.168.53.37,53,Possible Interactsh IP (Unverified)
104.168.53.38,53,Possible Interactsh IP (Unverified)
104.194.151.163,65381,Possible AdaptixC2 IP (Unverified)
104.197.184.198,443,Possible BurpSuite Collaborator IP (Unverified)
104.197.184.198,80,Possible BurpSuite Collaborator IP (Unverified)
104.214.176.148,3232,Possible Reverse_SSH IP (Unverified)
104.219.232.178,3790,Possible Metasploit IP (Unverified)
104.225.129.120,3790,Possible Metasploit IP (Unverified)
104.225.216.127,53,Possible Interactsh IP (Unverified)
104.225.219.39,25,Possible Interactsh IP (Unverified)
104.225.219.39,443,Possible Interactsh IP (Unverified)
104.225.219.39,465,Possible Interactsh IP (Unverified)
104.225.219.39,53,Possible Interactsh IP (Unverified)
104.225.219.39,587,Possible Interactsh IP (Unverified)
104.225.219.39,80,Possible Interactsh IP (Unverified)
104.225.219.39,8443,Possible Interactsh IP (Unverified)
104.234.174.93,57712,Possible AdaptixC2 IP (Unverified)
104.236.229.66,443,Possible BurpSuite Collaborator IP (Unverified)
104.236.229.66,80,Possible BurpSuite Collaborator IP (Unverified)
104.237.240.112,3790,Possible Metasploit IP (Unverified)
104.248.110.35,25,Possible Interactsh IP (Unverified)
104.248.110.35,443,Possible Interactsh IP (Unverified)
104.248.110.35,53,Possible Interactsh IP (Unverified)
104.248.110.35,587,Possible Interactsh IP (Unverified)
104.248.110.35,80,Possible Interactsh IP (Unverified)
104.248.13.38,53,Possible Interactsh IP (Unverified)
104.248.13.38,80,Possible Interactsh IP (Unverified)
104.248.175.127,25,Possible Interactsh IP (Unverified)
104.248.175.127,53,Possible Interactsh IP (Unverified)
104.248.175.127,8082,Possible Interactsh IP (Unverified)
104.248.231.250,443,Possible BurpSuite Collaborator IP (Unverified)
104.248.231.250,80,Possible BurpSuite Collaborator IP (Unverified)
104.248.231.250,8080,Possible BurpSuite Collaborator IP (Unverified)
104.248.231.250,8443,Possible BurpSuite Collaborator IP (Unverified)
104.248.75.119,53,Possible Interactsh IP (Unverified)
104.248.75.119,80,Possible Interactsh IP (Unverified)
