url,dest_nt_domain,metadata_comment,metadata_url_popularity
https://getip.pro*,getip.pro,N/A,low
https://ggiwom.org*,ggiwom.org,N/A,low
https://grmibb.net*,grmibb.net,N/A,low
https://gtqyplewuo.net*,gtqyplewuo.net,N/A,low
https://httpbin.org/ip,httpbin.org,N/A,high
http://icanhazip.com*,icanhazip.com,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
https://icanhazip.com*,icanhazip.com,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
https://ident.me*,ident.me,N/A,high
http://api.ident.me,ident.me,N/A,low
https://ifcfg.me*,ifcfg.me,N/A,low
https://4.ifcfg.me/,ifcfg.me,N/A,low
https://ifconfig.io*,ifconfig.io,N/A,high
https://ifconfig.me*,ifconfig.me,N/A,high
https://ip.42.pl/*,ip.42.pl,N/A,medium
https://ip.anysrc.net/index.html,ip.anysrc.net,N/A,low
https://ip.appspot.com*,ip.appspot.com,N/A,medium
http://ip.tyk.nu*,ip.tyk.nu,N/A,low
https://ip4.anysrc.net/index.html,ip4.anysrc.net,N/A,low
https://ip4.seeip.org*,ip4.seeip.org,N/A,low
https://ip4.seeip.org*,ip4.seeip.org,N/A,low
https://ip6.anysrc.net/,ip6.anysrc.net,N/A,low
https://ipaddressworld.com*,ipaddressworld.com,N/A,low
https://ipapi.co/,ipapi.co,N/A,high
http://ip-api.com*,ip-api.com,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
http://ip-api.com/json/,ip-api.com,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
https://ip-api.com,ip-api.com,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
https://ipbase.com/*,ipbase.com,N/A,medium
https://ipchicken.com*,ipchicken.com,N/A,medium
https://ipecho.net*,ipecho.net,used by #variousmalwares,high
http://ipecho.net/plain,ipecho.net,used by #variousmalwares,medium
https://ipinfo.io*,ipinfo.io,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,high
https://ipinfo.tw*,ipinfo.tw,N/A,low
https://iplogger.org/*/ip-tracker/*,iplogger.org,N/A,high
https://iplogger.org/*/my-ip/*,iplogger.org,N/A,low
http://ipof.in/*,ipof.in,N/A,high
https://ipof.in/txt,ipof.in,N/A,low
https://ipstack.com*,ipstack.com,N/A,high
https://ipv4.icanhazip.com*,ipv4.icanhazip.com,used by #PrimusC2,high
https://ipv4.myip.wtf/text*,ipv4.myip.wtf,used by #disctopia-c2,low
*ipv4bot.whatismyipaddress.com*,ipv4bot.whatismyipaddress.com,N/A,low
https://ipv6ajax.showmyip.com*,ipv6ajax.showmyip.com,observed from redteam. not sure of the source,low
https://ipwho.is*,ipwho.is,used by #QuasarRat,medium
https://jiwcdxcd.net*,jiwcdxcd.net,N/A,low
https://kurupmtw.info*,kurupmtw.info,N/A,low
https://l2.io/ip*,l2.io,N/A,high
https://lakcqthrtwc.info*,lakcqthrtwc.info,N/A,low
https://mukeui.org/,mukeui.org,N/A,low
https://myexternalip.com*,myexternalip.com,N/A,medium
https://myexternalip.com/raw,myexternalip.com,N/A,low
https://myip.dnsomatic.com*,myip.dnsomatic.com,N/A,low
http://myip.dnsomatic.com,myip.dnsomatic.com,N/A,low
http://myip.opendns.com,myip.opendns.com,N/A,high
https://mzrffun.net/,mzrffun.net,N/A,low
https://nordvpn.com/*/what-is-my-ip*,nordvpn.com,N/A,low
https://oyoecycc.com/,oyoecycc.com,N/A,low
https://*portmap.io*,portmap.io,N/A,medium
https://qecwkiuwsewm.com/,qecwkiuwsewm.com,N/A,low
https://qqqgcs.com*,qqqgcs.com,N/A,low
https://qvkdlak.net/,qvkdlak.net,N/A,low
https://tqbmdwhaiuy.info/,tqbmdwhaiuy.info,N/A,low
http://trackip.net*,trackip.net,used by #QuasarRat #Amadey #SnakeKeylogger #AgentTesla,low
https://trackip.net/ip,trackip.net,N/A,low
https://uiplqgpek.net/,uiplqgpek.net,N/A,low
https://uuyguc.org/,uuyguc.org,N/A,low
https://wgetip.com*,wgetip.com,N/A,low
http://wgetip.com*,wgetip.com,N/A,low
https://wgetip.com*,wgetip.com,N/A,low
http://whatismyip.akamai.com*,whatismyip.akamai.com,N/A,high
https://whatismyip.everdot.org*,whatismyip.everdot.org,N/A,low
