pipe_name,metadata_description,metadata_tool,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_tool_type,metadata_usage,metadata_comment,metadata_reference,metadata_regex_cortex
\TVN_log_pipe_public_name,TightVNC default named pipe also used by EHORUS RMM,EHORUS RMM,RMM,https://www.tightvnc.com,high,none,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/G-H/EHORUS RMM.csv,^TVN_log_pipe_public_name$
\TightVNC_Service_Control,TightVNC default named pipe also used by EHORUS RMM,EHORUS RMM,RMM,https://www.tightvnc.com,high,none,high,greyware_tool,Hunting,,https://github.com/mthcht/ThreatHunting-Keywords/blob/main/tools/G-H/EHORUS RMM.csv,^TightVNC_Service_Control$
