ns_servers
abuse-sinkhole.changeip.com
arbor-sinkhole.net
conficker-sinkhole.com
conficker-sinkhole.net
conficker-sinkhole.org
http1.sinkhole.tech
http2.sinkhole.tech
http3.sinkhole.tech
http4.sinkhole.tech
ns.conficker-sinkhole.net
ns1.fbi.seized.gov
ns1.honeybot.us
ns1.seizedservers.com
ns1.sinkhole.ch
ns1.sinkhole.ru
ns1.sinkhole.systems
ns1.suspended-domain.org
ns2.suspended-domain.org
ns1.torpig-sinkhole.org
ns2.torpig-sinkhole.org
ns2.fbi.seized.gov
ns2.honeybot.us
ns2.seizedservers.com
ns2.sinkhole.ch
ns2.sinkhole.ru
ns3.sinkhole.caad.fkie.fraunhofer.de
ns3.sinkhole.ch
ns3.sinkhole.ru
ns4.sinkhole.caad.fkie.fraunhofer.de
ns4.sinkhole.ch
s01.snkhole.mal-ware.susp-nded.domain
sc-a.sinkhole.shadowserver.org
sc-b.sinkhole.shadowserver.org
sc-c.sinkhole.shadowserver.org
sc-d.sinkhole.shadowserver.org
sinkhole-00.shadowserver.org
sinkhole-01.shadowserver.org
sinkhole-01.sinkhole.tech
sinkhole-02.shadowserver.org
sinkhole-02.sinkhole.tech
sinkhole-03.shadowserver.org
sinkhole-04.shadowserver.org
sinkhole-iad1-1.cwg.fsi.io
sinkhole-iad1-2.cwg.fsi.io
sinkhole.blacklab.io
sinkhole.blacklistthisdomain.com
sinkhole.cert.gov.ua
sinkhole.cert.pl
sinkhole.dk
sinkhole.gladtech.net
sinkhole.hyas.com
sinkhole.in
sinkhole.kaspersky.com
sinkhole.shadowserver.org
sinkhole.sidnlabs.nl
sinkhole.tech
sinkhole.tigersecurity.pro
sl-reverse.com
suspended-domain.org
this-domain-is-sinkholed-by.abuse.ch
torpig-sinkhole.org
ns911a.microsoftinternetsafety.net
ns911b.microsoftinternetsafety.net
