dest_ip
13.71.128.159/32
13.71.153.19/32
13.73.21.230/32
13.78.108.0/28
20.89.11.48/28
20.89.11.64/27
20.89.163.9/32
20.89.163.17/32
20.89.163.219/32
20.89.165.31/32
40.79.189.64/27
2603:1040:407:402::180/122
