fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,login.microsoftonline.com,20.190.190.131,2603:1036:3000:e8::1,,
addition,login.microsoftonline0.com,,,,
addition,login.microsoftonline2.com,,,,
addition,login.microsoftonline9.com,,,,
addition,login.microsoftonlinee.com,103.224.182.246,,park-mx.above.com,ns1.abovedomains.com
addition,login.microsoftonlinea.com,217.71.206.114,,,
addition,login.microsoftonline1.com,35.173.78.238,,,
addition,login.microsoftonline3.com,,,,
addition,login.microsoftonline4.com,,,,
addition,login.microsoftonline5.com,,,,
addition,login.microsoftonline6.com,,,,
addition,login.microsoftonline7.com,,,,
addition,login.microsoftonline8.com,,,,
addition,login.microsoftonlineb.com,,,,
addition,login.microsoftonlinec.com,,,,
addition,login.microsoftonlined.com,,,,
addition,login.microsoftonlinef.com,,,,
addition,login.microsoftonlineg.com,,,,
addition,login.microsoftonlineh.com,,,,
addition,login.microsoftonlinei.com,,,,
addition,login.microsoftonlinej.com,,,,
addition,login.microsoftonlinek.com,,,,
addition,login.microsoftonlinel.com,,,,
addition,login.microsoftonlinem.com,,,,
addition,login.microsoftonlinen.com,,,,
addition,login.microsoftonlineo.com,,,,
addition,login.microsoftonlinep.com,,,,
addition,login.microsoftonlineq.com,,,,
addition,login.microsoftonliner.com,137.184.249.246,,,
addition,login.microsoftonlines.com,149.102.153.127,,,
addition,login.microsoftonlinet.com,,,,
addition,login.microsoftonlineu.com,,,,
addition,login.microsoftonlinev.com,,,,
addition,login.microsoftonlinew.com,,,,
addition,login.microsoftonlinex.com,,,,
addition,login.microsoftonliney.com,,,,
addition,login.microsoftonlinez.com,,,,
bitsquatting,login.eicrosoftonline.com,,,,
bitsquatting,login.iicrosoftonline.com,,,,
bitsquatting,login.licrosoftonline.com,,,,
bitsquatting,login.macrosoftonline.com,104.247.81.52,,mail.h-email.net,ns1.parkingcrew.net
bitsquatting,login.mhcrosoftonline.com,,,,
bitsquatting,login.miarosoftonline.com,,,,
bitsquatting,login.mibrosoftonline.com,,,,
bitsquatting,login.mic2osoftonline.com,,,,
bitsquatting,login.micbosoftonline.com,,,,
bitsquatting,login.micposoftonline.com,,,,
bitsquatting,login.micrgsoftonline.com,,,,
bitsquatting,login.micrksoftonline.com,,,,
bitsquatting,login.micrmsoftonline.com,,,,
bitsquatting,login.micrnsoftonline.com,,,,
bitsquatting,login.micro3oftonline.com,,,,
bitsquatting,login.microcoftonline.com,,,,
bitsquatting,login.microqoftonline.com,,,,
bitsquatting,login.microroftonline.com,20.105.232.51,,,
bitsquatting,login.microsgftonline.com,,,,
bitsquatting,login.microskftonline.com,,,,
bitsquatting,login.microsmftonline.com,,,,
bitsquatting,login.microsnftonline.com,,,,
bitsquatting,login.microsobtonline.com,,,,
bitsquatting,login.microsodtonline.com,103.224.182.241,,park-mx.above.com,ns1.abovedomains.com
bitsquatting,login.microsof4online.com,,,,
bitsquatting,login.microsofdonline.com,,,,
bitsquatting,login.microsofponline.com,,,,
bitsquatting,login.microsoftgnline.com,,,,
bitsquatting,login.microsoftknline.com,,,,
bitsquatting,login.microsoftmnline.com,,,,
bitsquatting,login.microsoftnnline.com,,,,
