fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
*original,sncf-connect.com,75.2.83.188,,,dns1.p01.nsone.net
addition,sncf-connect0.com,,,,
addition,sncf-connect1.com,,,,
addition,sncf-connect2.com,,,,
addition,sncf-connect3.com,,,,
addition,sncf-connect4.com,,,,
addition,sncf-connect5.com,,,,
addition,sncf-connect6.com,,,,
addition,sncf-connect7.com,,,,
addition,sncf-connect8.com,,,,
addition,sncf-connect9.com,,,,
addition,sncf-connecta.com,,,,
addition,sncf-connectb.com,,,,
addition,sncf-connectc.com,,,,
addition,sncf-connectd.com,,,,
addition,sncf-connecte.com,5.22.145.230,2a00:18e0:5:2:f015:6b46:7bb3:1c36,mail.sncf-connecte.com,ns1.safebrands.fr
addition,sncf-connectf.com,,,,
addition,sncf-connectg.com,,,,
addition,sncf-connecth.com,,,,
addition,sncf-connecti.com,,,,
addition,sncf-connectj.com,,,,
addition,sncf-connectk.com,,,,
addition,sncf-connectl.com,,,,
addition,sncf-connectm.com,,,,
addition,sncf-connectn.com,,,,
addition,sncf-connecto.com,,,,
addition,sncf-connectp.com,,,,
addition,sncf-connectq.com,,,,
addition,sncf-connectr.com,,,,
addition,sncf-connects.com,,,,
addition,sncf-connectt.com,,,,
addition,sncf-connectu.com,,,,
addition,sncf-connectv.com,,,,
addition,sncf-connectw.com,,,,
addition,sncf-connectx.com,,,,
addition,sncf-connecty.com,,,,
addition,sncf-connectz.com,,,,
addition,sncf0-connect.com,,,,
addition,sncf1-connect.com,,,,
addition,sncf2-connect.com,,,,
addition,sncf3-connect.com,,,,
addition,sncf4-connect.com,,,,
addition,sncf5-connect.com,,,,
addition,sncf6-connect.com,,,,
addition,sncf7-connect.com,,,,
addition,sncf8-connect.com,,,,
addition,sncf9-connect.com,,,,
addition,sncfa-connect.com,,,,
addition,sncfb-connect.com,,,,
addition,sncfc-connect.com,,,,
addition,sncfd-connect.com,,,,
addition,sncfe-connect.com,,,,
addition,sncff-connect.com,,,,
addition,sncfg-connect.com,,,,
addition,sncfh-connect.com,,,,
