process,OriginalFileName,process_name,parent_process_command,parent_process_name,file_path,process_path,parent_process,signature,signature_id,index,sourcetype,source,meta.comment,meta.vendor_product,meta.lolbas_executable,meta.lolbas_link
,,msohtmed.exe,,powershell_ise.exe,,,,,1,,,,,Microsoft Sysmon,MsoHtmEd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/MsoHtmEd/
,,msohtmed.exe,,powershell.exe,,,,,1,,,,,Microsoft Sysmon,MsoHtmEd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/MsoHtmEd/
,,msohtmed.exe,,cmd.exe,,,,,1,,,,,Microsoft Sysmon,MsoHtmEd.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/MsoHtmEd/
* http://*,,MSPUB.exe,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
* https://*,,MSPUB.exe,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
* ftp://*,,MSPUB.exe,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
* http://*,MSPUB.exe,,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
* https://*,MSPUB.exe,,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
* ftp://*,MSPUB.exe,,,,,,,,1,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
,,MSPUB.exe,,,,,,,22,,,,,Microsoft Sysmon,MSPUB.exe,https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/
*msconfig.exe* -5*,,msconfig.exe,,*\AppData\Local\Temp\pkgmgr.exe*,,,,,1,,,,,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
*notepad.exe* *System32\mscfgtlc.xml*,,,,,,,,,1,,,,,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,cmd.exe,,,*\System32\mscfgtlc.xml,,,,2,,,,,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,powershell.exe,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,powershell_ise.exe,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,python.exe,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,notepad.exe,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,cmd.exe,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,powershell.exe,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,powershell_ise.exe,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,python.exe,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,,notepad.exe,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,cmd.exe,,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,powershell.exe,,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,powershell_ise.exe,,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,python.exe,,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,notepad.exe,,,,*\System32\mscfgtlc.xml,,,,11,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,cmd.exe,,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,powershell.exe,,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,powershell_ise.exe,,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,python.exe,,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
,notepad.exe,,,,*\System32\mscfgtlc.xml,,,,2,,,,subject to false positives,Microsoft Sysmon,msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
*\Microsoft.NET\Framework\*\InstallUtil.exe* /logfile= /LogToConsole=false*,,,,,,,,,1,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
*\Microsoft.NET\Framework\*\InstallUtil.exe* /LogToConsole=false /logfile= *,,,,,,,,,1,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
*\Microsoft.NET\Framework\*\InstallUtil.exe http*,,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
*\Microsoft.NET\Framework\*\InstallUtil.exe ftp://*,,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
"*\Microsoft.NET\Framework\*\InstallUtil.exe"" http*",,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
"*\Microsoft.NET\Framework\*\InstallUtil.exe"" ftp://*",,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
* ftp://*,InstallUtil.exe,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
* ftp://*,,InstallUtil.exe,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
* http://*,InstallUtil.exe,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
* http://*,,InstallUtil.exe,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
* https://*,InstallUtil.exe,,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
