src_ip,service,scope,metadata_reference
34.13.128.0/17,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.14.0.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.14.128.0/18,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.14.192.0/19,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.15.0.0/17,Google Cloud,europe-west15,https://www.gstatic.com/ipranges/cloud.json
34.15.128.0/17,Google Cloud,asia-southeast3,https://www.gstatic.com/ipranges/cloud.json
34.16.0.0/17,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.16.128.0/17,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.17.0.0/16,Google Cloud,europe-west12,https://www.gstatic.com/ipranges/cloud.json
34.18.0.0/16,Google Cloud,me-central1,https://www.gstatic.com/ipranges/cloud.json
34.19.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.19.128.0/17,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.20.0.0/17,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.20.128.0/17,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.21.0.0/17,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.21.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.22.0.0/19,Google Cloud,us-central2,https://www.gstatic.com/ipranges/cloud.json
34.22.32.0/19,Google Cloud,us-west3,https://www.gstatic.com/ipranges/cloud.json
34.22.64.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.22.96.0/20,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.22.112.0/20,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.22.128.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.23.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.24.0.0/15,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.26.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.27.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.28.0.0/14,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.32.0.0/17,Google Cloud,europe-west10,https://www.gstatic.com/ipranges/cloud.json
34.32.128.0/17,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.33.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.34.0.0/17,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.34.128.0/18,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.34.216.0/21,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.35.0.0/16,Google Cloud,africa-south1,https://www.gstatic.com/ipranges/cloud.json
34.36.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.37.0.0/16,Google Cloud,us-west8,https://www.gstatic.com/ipranges/cloud.json
34.38.0.0/16,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.39.0.0/17,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.39.128.0/17,Google Cloud,southamerica-east1,https://www.gstatic.com/ipranges/cloud.json
34.40.0.0/17,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.40.128.0/17,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.41.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.42.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.44.0.0/15,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.46.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.47.0.0/18,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.47.64.0/18,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.47.128.0/17,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.48.0.0/16,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.49.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.50.0.0/18,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.50.64.0/18,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.50.144.0/20,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.50.160.0/19,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.50.192.0/18,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.51.0.0/17,Google Cloud,northamerica-south1,https://www.gstatic.com/ipranges/cloud.json
34.51.128.0/17,Google Cloud,europe-north2,https://www.gstatic.com/ipranges/cloud.json
34.52.128.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.53.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.53.128.0/17,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.54.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.55.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.56.0.0/14,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.60.0.0/15,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.62.0.0/16,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.63.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.64.32.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.64.0/22,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.68.0/22,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
