appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference
Context.ai / AI Office Suite OAuth app,110671459871-30f1spbu0hptbs60cb4vsmv79i7bbvqj.apps.googleusercontent.com,malicious,critical,Vercel recommended Google Workspace administrators and Google Account owners check for usage immediately.,https://www.wiz.io/blog/contextai-oauth-token-compromise
Drift Email / Salesloft Drift Google Workspace OAuth app,1084253493764-ipb2ntp4jb4rmqc76jp7habdrhfdus3q.apps.googleusercontent.com,malicious,critical,Astrix reported UNC6395 active operations through the Drift Email OAuth application in Google Workspace environments.,https://astrix.security/learn/blog/critical-update-astrix-research-team-discovers-unc6395-oauth-compromise-spanning-salesforce-google-workspace-and-aws/
