dest_port,metadata_comment,metadata_confidence,metatada_category,metadata_detection_type,metadata_link,metadata_reference
21115,RustDesk RMM,high,RMM,detection_rule,,https://github.com/mthcht/awesome-lists/tree/main/Lists
21116,RustDesk RMM,high,RMM,detection_rule,,https://github.com/mthcht/awesome-lists/tree/main/Lists
59074,RustDesk RMM,high,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
59076,RustDesk RMM,high,RMM,hunting,,https://github.com/mthcht/awesome-lists/tree/main/Lists
