url,dest_nt_domain,metadata_comment,metadata_url_legit_usage_popularity,metadata_severity
https://wyjrvmdgwcp.net*,wyjrvmdgwcp.net,N/A,low,medium
https://xehycceip.org*,xehycceip.org,N/A,low,medium
https://ytlazwcii.net*,ytlazwcii.net,N/A,low,medium
https://zwhffkvphkq.org*,zwhffkvphkq.org,N/A,low,medium
http://get-my-ip.ddns.softether-network.net/ddns/getmyip.ashx,get-my-ip.ddns.softether-network.net,used by #SoftEtherVPN,low,high
http://get-my-ip-v6.ddns.softether-network.net/ddns/getmyip.ashx,get-my-ip-v6.ddns.softether-network.net,used by #SoftEtherVPN,low,high
http://senet-flets.v6.softether.co.jp/ddns/getmyip.ashx,senet-flets.v6.softether.co.jp,used by #SoftEtherVPN,low,high
http://senet.aoi.flets-east.jp/ddns/getmyip.ashx,senet.aoi.flets-east.jp,used by #SoftEtherVPN,low,high
http://senet.p-ns.flets-west.jp/ddns/getmyip.ashx,senet.p-ns.flets-west.jp,used by #SoftEtherVPN,low,high
http://get-my-ip.ddns.uxcom.jp/ddns/getmyip.ashx,get-my-ip.ddns.uxcom.jp,used by #SoftEtherVPN,low,high
http://get-my-ip-v6.ddns.uxcom.jp/ddns/getmyip.ashx,get-my-ip-v6.ddns.uxcom.jp,used by #SoftEtherVPN,low,high
http://checkip.dyndns.com*,checkip.dyndns.com,used by #rats and #various,high,info
http://checkip.dyndns.org*,checkip.dyndns.org,used by #rats and #various,high,info
