domain,metadata_comment,IPs,C2Domains
0o0.foo,Possible Cobaltstrike DNS C2 Domain,47.129.171.26,ns.1.3.0o0.foo ns.1.4.0o0.foo
227api.com,Possible Cobaltstrike DNS C2 Domain,154.83.12.132 43.225.158.58,at1.227api.com at2.227api.com at3.227api.com ws.227api.com ws1.227api.com
admlistdel.com,Possible Cobaltstrike DNS C2 Domain,107.173.122.193,ns1.admlistdel.com ns2.admlistdel.com ns3.admlistdel.com
akawowfast.com,Possible Cobaltstrike DNS C2 Domain,139.180.189.95,ns1.akawowfast.com ns2.akawowfast.com ns3.akawowfast.com
asuscomm.com,Possible Cobaltstrike DNS C2 Domain,38.54.112.234,asusupdateserver.asuscomm.com
cacheflow.top,Possible Cobaltstrike DNS C2 Domain,202.95.18.30,ns1.cacheflow.top
cmbchina.top,Possible Cobaltstrike DNS C2 Domain,8.219.78.159,ns1.cmbchina.top ns2.cmbchina.top
cryptwechat.com,Possible Cobaltstrike DNS C2 Domain,107.174.115.43,ns1.cryptwechat.com ns2.cryptwechat.com
google-analytcis.com,Possible Cobaltstrike DNS C2 Domain,43.199.78.142,lab.google-analytcis.com n1.google-analytcis.com n2.google-analytcis.com n3.google-analytcis.com
googleclouds.net,Possible Cobaltstrike DNS C2 Domain,148.135.120.162,ns1.googleclouds.net ns2.googleclouds.net
googleos-js.vip,Possible Cobaltstrike DNS C2 Domain,156.245.147.98,d2.googleos-js.vip dd.googleos-js.vip
gygiuh.online,Possible Cobaltstrike DNS C2 Domain,47.129.2.130,ns1.gygiuh.online
jane2010.filegear-sg.me,Possible Cobaltstrike DNS C2 Domain,43.230.200.254,ns1.jane2010.filegear-sg.me ns2.jane2010.filegear-sg.me
jiayongdianqi.xyz,Possible Cobaltstrike DNS C2 Domain,45.135.118.251,dianqi1.dianqi2.jiayongdianqi.xyz dianqi1.jiayongdianqi.xyz dianqi2.dianqi1.jiayongdianqi.xyz dianqi2.jiayongdianqi.xyz
jo3.org,Possible Cobaltstrike DNS C2 Domain,167.179.76.179,ns1.ns-apache.jo3.org
judicical.ml,Possible Cobaltstrike DNS C2 Domain,67.219.102.244,check.judicical.ml check1.judicical.ml
jumpservers.net,Possible Cobaltstrike DNS C2 Domain,16.162.137.167,ns.jumpservers.net
microoosoft.com,Possible Cobaltstrike DNS C2 Domain,47.236.159.248,ns1.microoosoft.com ns2.microoosoft.com
mloadspring.com,Possible Cobaltstrike DNS C2 Domain,70.34.196.238,update.mloadspring.com upgrade.mloadspring.com
nsebseshop.cloud,Possible Cobaltstrike DNS C2 Domain,47.236.130.154,ns1.nsebseshop.cloud ns2.nsebseshop.cloud ns3.nsebseshop.cloud
servicedata.services,Possible Cobaltstrike DNS C2 Domain,169.239.129.45,ns1.servicedata.services
shakesnap.net,Possible Cobaltstrike DNS C2 Domain,77.74.201.243,t.shakesnap.net t2.shakesnap.net
skyprotech.ru,Possible Cobaltstrike DNS C2 Domain,77.91.97.4,skyprotech.ru
translategoos.com,Possible Cobaltstrike DNS C2 Domain,207.148.68.118,ns1.translategoos.com ns2.translategoos.com ns3.translategoos.com
twnic.top,Possible Cobaltstrike DNS C2 Domain,45.43.59.179,cc.twnic.top ns1.twnic.top
