domain,metadata_comment
1302768123-l3a4w496qm.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain
acac.hopto.org,Possible Cobalt Strike C2 Domain
api-bot.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api-docs.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api.telegram.com,Possible Cobalt Strike C2 Fronting Domain
api.zhimawithyou.top,Possible Cobalt Strike C2 Fronting Domain
apis.telegram.com,Possible Cobalt Strike C2 Fronting Domain
bxx2rghe05kng.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
cdn.pixelcss.org,Possible Cobalt Strike C2 Domain
cdn.sys-update.online,Possible Cobalt Strike C2 Domain
cs.rainbowrain.top,Possible Cobalt Strike C2 Domain
cs.tpedu2metricstw.dpdns.org,Possible Cobalt Strike C2 Domain
h67as5d5x.m6p3wca1.cc,Possible Cobalt Strike C2 Domain
hp.tailc223d4.ts.net,Possible Cobalt Strike C2 Domain
hsjs.net,Possible Cobalt Strike C2 Fronting Domain
jkzprb4y.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
jnceabyk.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
job.itechno.cc,Possible Cobalt Strike C2 Domain
missmovie.lol,Possible Cobalt Strike C2 Domain
p7xcq2yw.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
r0.erloro.com,Possible Cobalt Strike C2 Domain
update.qzkgpqn.kdns.fr,Possible Cobalt Strike C2 Domain
updatesrv.net,Possible Cobalt Strike C2 Domain
ux85qfba.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
web-analyzer-serv32.com,Possible Cobalt Strike C2 Domain
www.ai2.qzz.io,Possible Cobalt Strike C2 Domain
www.dyshop.online,Possible Cobalt Strike C2 Domain
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain
www.rmsmarineservice.com.qwqqwq.ggff.net,Possible Cobalt Strike C2 Domain
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain
