domain,metadata_comment
ns1.translategoos.com,Possible Cobalt Strike C2 Domain
ns1.twnic.top,Possible Cobalt Strike C2 Domain
ns1.yukklzwo.vip,Possible Cobalt Strike C2 Domain
ns2.admlistdel.com,Possible Cobalt Strike C2 Domain
ns2.akawowfast.com,Possible Cobalt Strike C2 Domain
ns2.bbcbook.net,Possible Cobalt Strike C2 Domain
ns2.ceshi897.cn,Possible Cobalt Strike C2 Domain
ns2.cmbchina.top,Possible Cobalt Strike C2 Domain
ns2.cryptwechat.com,Possible Cobalt Strike C2 Domain
ns2.duoo.cc,Possible Cobalt Strike C2 Domain
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns2.googleclouds.net,Possible Cobalt Strike C2 Domain
ns2.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain
ns2.jszwfw.com.cn,Possible Cobalt Strike C2 Domain
ns2.mhtmzl.top,Possible Cobalt Strike C2 Domain
ns2.microoosoft.com,Possible Cobalt Strike C2 Domain
ns2.msgkg.xyz,Possible Cobalt Strike C2 Domain
ns2.nmd5.com,Possible Cobalt Strike C2 Domain
ns2.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
ns2.translategoos.com,Possible Cobalt Strike C2 Domain
ns2.yukklzwo.vip,Possible Cobalt Strike C2 Domain
ns3.admlistdel.com,Possible Cobalt Strike C2 Domain
ns3.akawowfast.com,Possible Cobalt Strike C2 Domain
ns3.ceshi897.cn,Possible Cobalt Strike C2 Domain
ns3.duoo.cc,Possible Cobalt Strike C2 Domain
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns3.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
ns3.translategoos.com,Possible Cobalt Strike C2 Domain
ns_cs1.110-110.com,Possible Cobalt Strike C2 Domain
ns_cs2.110-110.com,Possible Cobalt Strike C2 Domain
oixrv2gn.com,Possible Cobalt Strike C2 Domain
openshift.echase.cn,Possible Cobalt Strike C2 Fronting Domain
oppos.top,Possible Cobalt Strike C2 Fronting Domain
oppos.top.cdn.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain
p7xcq2yw.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
perfectgo.top,Possible Cobalt Strike C2 Domain
