http_user_agent,metadata_description,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_usage,metadata_flow_direction
AVG,BunnyLoader v3 employs a variety of fake antivirus (AV) user agents within a brief timeframe - these UA are not the real UA strings from vendors,malware,https://tria.ge/240215-chmlpaeg88/behavioral2,high,low,high,Hunting,network flow direction internal --> internal/external
ESET SECURITY,BunnyLoader v3 employs a variety of fake antivirus (AV) user agents within a brief timeframe - these UA are not the real UA strings from vendors,malware,https://tria.ge/240215-chmlpaeg88/behavioral2,high,low,high,Hunting,network flow direction internal --> internal/external
Windows Defender,BunnyLoader v3 employs a variety of fake antivirus (AV) user agents within a brief timeframe - these UA are not the real UA strings from vendors,malware,https://tria.ge/240215-chmlpaeg88/behavioral2,high,low,high,Hunting,network flow direction internal --> internal/external
McAffee,BunnyLoader v3 employs a variety of fake antivirus (AV) user agents within a brief timeframe - these UA are not the real UA strings from vendors,malware,https://tria.ge/240215-chmlpaeg88/behavioral2,high,low,high,Hunting,network flow direction internal --> internal/external
Google Chrome,BunnyLoader v3 employs a variety of fake antivirus (AV) user agents within a brief timeframe - these UA are not the real UA strings from vendors,malware,https://tria.ge/240215-chmlpaeg88/behavioral2,high,medium,medium,Hunting,network flow direction internal --> internal/external
*da58bdb765904300581fe8a818c28cca7c0b62eabd7ce29f181924177c8f13c7*,Backdoor DSLog Ivanti,Malware,https://www.orangecyberdefense.com/fileadmin/general/pdf/Ivanti_Connect_Secure_-_Journey_to_the_core_of_the_DSLog_backdoor.pdf,critical,none,critical,Detection rule,network flow direction internal --> external
Advanced Monitoring Agent HTTP Retriever 1.1,N‑able N‑sight RMM agent network communications,RMM,https://github.com/mthcht/ThreatHunting-Keywords,high,medium,medium,Hunting,network flow direction internal --> internal/external
Lemon-Duck-*,trojan cryptominer,Cryptominer,https://www.microsoft.com/en-us/security/blog/2021/07/22/when-coin-miners-evolve-part-1-exposing-lemonduck-and-lemoncat-modern-mining-malware-infrastructure/,high,none,high,Detection rule,network flow direction internal --> internal/external + external --> internal for successful connections
Mozilla/5.0 (*-bit) dnstwist,user agent used by dnstwist,phishing,https://detect.fyi/detecting-phishing-attempts-with-dnstwist-37c426b3bbb8,critical,none,critical,Detection rule,network flow direction internal --> internal/external
unknown,empty user agent hunting (in splunk the default value when no user agent is informed),suspicious string,https://x.com/crep1x/status/1600129411629473792?s=20,low,high,low,Hunting,network flow direction internal --> internal/external
