.7z
.a
.aac
.ace
.alz
.apk
.appx
.at3
.arc
.arj
.b
.ba
.bin
.bkf
.blend
.bz2
.bmp
.cab
.c4
.cals
.xaml
.cpt
.sea
.daa
.deb
.dmg
.ddz
.dn
.dng
.dpe
.egg
.egt
.ecab
.ezip
.esd
.ess
.exe
.flipchart
.gbs
.ggp
.gsc
.gho
.ghs
.gif
.gz
.html
.ipg
.jar
.jpg
.jpeg
.lawrence
.lbr
.lqr
.lzh
.lz
.lzo
.lzma
.lzx
.lua
.mbw
.mhtml
.midi
.mpq
.nl2pkg
.nth
.oar
.osg
.osk
.osr
.osz
.pak
.par
.par2
.paf
.pea
.png
.webp
.php
.pyk
.pk3
.pk4
.pxz
.py
.pyw
.rar
.rag
.rags
.rax
.rbxl
.rbxlx
.rbxm
.rbxmx
.rpm
.sb
.sb2
.sb3
.sen
.sitx
.sis
.sisx
.skb
.sq
.srt
.swm
.szs
.tar
.gzip
.tar.gz
.tb
.tib
.uha
.uue
.viv
.vol
.vsa
.wax
.wim
.xap
.xz
.z
.zoo
.zip
.zim
.iso
.nrg
.img
.adf
.adz
.dms
.dsk
.d64
.sdi
.mds
.mdx
.cdi
.cue
.cif
.c2d
.b6t
.b5t
.bwt
.ffppkg
.lemonapp
.msi
.vdhx
.3dxml
.3mf
.acp
.amf
.aec
.ar
.art
.asc
.asm
.bim
.brep
.c3d
.c3p
.ccc
.ccm
.ccs
.cad
.catdrawing
.catpart
.catproduct
.catprocess
.cgr
.ckd
.ckt
.co
.drw
.dft
.dgn
.dgk
.dmt
.dxf
.dwb
.dwf
.dwg
.easm
.edrw
.emb
.eprt
.escpcb
.escsch
.esw
.excellon
.exp
.f3d
.fcstd
.fm
.fmz
.g
.gbr
.glm
.grb
.gri
.gro
.iam
.icd
.idw
.ifc
.iges
.cel
.io
.ipn
.ipt
.jt
.mcd
.mdg
.model
.ocd
.pipe
.pln
.prt
.psm
.psmodel
.pwi
.pyt
.skp
.rlf
.rvm
.rvt
.rfa
.rxf
.s12
.scad
.scdoc
.sldasm
.slddrw
.sldprt
.dotxsi
.step
.stl
.std
.tct
.tcw
.unv
.vc6
.vlm
.vs
.wrl
.x_b
.x_t
.xe
.zofzproj
.brd
.bsdl
.cdl
.cpf
.def
.dspf
.edif
.fsdb
.gdsii
.hex
.lef
.lib
.ms12
.oasis
.openaccess
.psf
.psfxl
.sdc
.sdf
.spef
.spi
.cir
.srec
.s19
.sst2
.stil
.sv
.s*p
.tlf
.upf
.v
.vcd
.vhd
.vhdl
.wgl
.4db
.4dd
.4dindy
.4dindx
.4dr
.accdb
.accde
.adt
.apr
.box
.chml
.daf
.dat
.db
.dbf
.dta
.eap
.fdb
.fp
.fp3
.fp5
.fp7
.frm
.gdb
.gtable
.kexi
.kexic
.kexis
.ldb
.lirs
.mda
.mdb
.adp
.mde
.mdf
.myd
.myi
.ncf
.nsf
.ntf
.nv2
.odb
.ora
.pcontact
.pdb
.pdi
.pdx
.prc
.sql
.rec
.rel
.rin
.sdb
.sqlite
.udl
.wadata
.waindx
.wamodel
.wajournal
.wdb
.wmdb
.avro
.parquet
.orc
.ai
.ave
.zave
.cdr
.chp
.pub
.sty
.cap
.vgr
.dtp
.gdraw
.ildoc
.indd
.mcf
.pdf
.pmd
.ppp
.psd
.qxd
.sla
.scd
.xcf
.0
.1st
.600
.602
.abw
.acl
.afp
.ami
.ans
.aww
.ccf
.csv
.cwk
.dbk
.dita
.doc
.docm
.docx
.dot
.dotx
.dwd
.epub
.ezw
.fdx
.ftm
.ftx
.gdoc
.hwp
.hwpml
.log
.lwp
.mbp
.md
.me
.mcw
.mobi
.nb
.nbp
.neis
.nt
.nq
.odm
.odoc
.odt
.osheet
.ott
.omm
.pages
.pap
.per
.pdr
.pdax
.quox
.radix-64
.rtf
.rpt
.sdw
.se
.stw
.sxw
.tex
.info
.troff
.txt
.uof
.uoml
.via
.wpd
.wps
.wpt
.wrd
.wrf
.wri
.xhtml
.xht
.xml
.xps
.myo
.myob
.tax
.ynab
.ifx
.ofx
.qfx
.qif
.abf
.afm
.bdf
.bmf
.brfnt
.fnt
.fon
.mgf
.otf
.pcf
.pfa
.pfb
.pfm
.fond
.sfd
.snf
.tdf
.tfm
.ttf
.ttc
.ufo
.woff
.ifds
.dem
.e00
.geotiff
.gml
.gpx
.itn
.mxd
.ov2
.shp
.tab
.dted
.kml
.3dt
.aty
.cag
.fes
.mgmf
.mm
.mmp
.tpc
.act
.ase
.gpl
.pal
.icc
.icm
.blp
.bti
.cd5
.cit
.cr2
.clip
.cpl
.dds
.dib
.djvu
.exif
.grf
.icns
.ico
.iff
.ilbm
.lbm
.jng
.jfif
.jp2
.jps
.kra
.max
.miff
.mng
.msp
.nitf
.otb
.pbm
.pc1
.pc2
.pc3
.pcx
.pdn
.pgm
.pi1
.pi2
.pi3
.pict
.pct
.pnm
.pns
.ppm
.procreate
.psb
.pdd
.psp
.px
.pxm
.pxr
.raw
.rle
.sct
.sgi
.rgb
.int
.bw
.tga
.targa
.icb
.vda
.vst
.pix
.tiff
.tif
.ep
.vtf
.xbm
.xpm
.zif
.3dv
.awg
.cgm
.cmx
.dp
.drawio
.e2d
.eps
.fs
.odg
.movie.byu
.renderman
.svg
.3dmlw
.x3d
.sxd
.tgax
.v2d
.vdoc
.vsd
.vsdx
.vnd
.wmf
.emf
.xar
.3dmf
.3dm
.3ds
.abc
.ac
.an8
.aoi
.b3d
.block
.bmd3
.bdl4
.brres
.bfres
.c4d
.cal3d
.ccp4
.cfl
.cob
.core3d
.ctm
.dae
.dff
.dpm
.dts
.fact
.fbx
.glb
.gltf
.hec
.iob
.jas
.jmesh
.ldr
.lwo
.lws
.lxf
.lxo
.m3d
.ma
.mb
.mpd
.md2
.md3
.md5
.mesh
.miobject
.miparticle
.mimodel
.mm3d
.mpo
.mrc
.nif
.obj
.off
.ogex
.ply
.pov
.r3d
.rwx
.sia
.sib
.smd
.u3d
.usd
.usda
.usdc
.usdz
.vim
.vrml97
.vue
.vwx
.wings
.w3d
.x
.z3d
.zbmx
.alias
.jnlp
.lnk
.appref-ms
.nal
.url
.webloc
.sym
.desktop
.harwell-boeing
.mml
.odf
.sxm
.8bf
.a.out
.app
.bac
.bpl
.bundle
.class
.coff
.com
.dcu
.dll
.dol
.ear
.elf
.ipa
.jeff
.ko
.list
.mach-o
.nlm
.o
.rll
.s1es
.so
.vap
.war
.xbe
.xcoff
.xex
.xpi
.ocx
.tlb
.vbx
.dvi
.pld
.pcl
.ps
.snp
.xsl-fo
.css
.xslt
.xsl
.tpl
.mnb
.msg
.org
.pst
.ost
.sc2
.gslides
.key
.keynote
.odp
.otp
.pez
.pot
.pps
.ppt
.pptx
.prz
.sdd
.shf
.show
.shw
.slp
.sspss
.sti
.sxi
.thmx
.watch
.mpp
.bib
.enl
.ris
.fits
.silo
.spc
.eas3
.eossa
.hitran
.root
.csdm
.netcdf
.hdr
.hdf
.h4
.h5
.sdxf
.cdf
.cgns
.fmf
.grib
.bufr
.pp
.nasa-ames
.cml
.mol
.sd
.dx
.jdx
.smi
.g6
.s6
.ab1
.asn.1
.bam
.bcf
.bed
.caf
.cram
.ddbj
.embl
.fasta
.fastq
.gcproj
.genbank
.gff
.gtf
.maf
.ncbi
.nexus
.nexml
.nwk
.phd
.sam
.sbml
