file_name,metadata_description,metadata_link
!_^_README_NOTES_RAGNAR_^_!.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
!_karakurt_READ_ME_!.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
!_WHATS_HAPPENED_!.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
!_WHY_FILES_ARE_ENCRYPTED_!.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
#BlackHunt_ReadMe.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
.README_TO_RESTORE,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
_Locky_recover_instructions.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
_READ_THIS_FILE_HBE8_.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
+README-WARNING+.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
523XaDi1i.README.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
8base_note.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
AAA_READ_AAA.TXT,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
akira_readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
alphv1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
alphv2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
alphv3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
atomsilo.hta,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
avaddon.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
avoslocker.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
AWAYOKON-readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
BB_Readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
BB_Readme2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
bidon_readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
biglock.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
bitpaymer_v1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
bitpaymer_v2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
bitransomware.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
blackbasta1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
blackbasta2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
blackbasta3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
blackbasta4.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
blackbyte_v2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cAcTuS.readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cAcTuS.readme_2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cAcTuS.readme_3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cAcTuS.readme_4.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cAcTuS.readme_5.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
clop1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
clop2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
conti1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
conti2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
conti3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
conti4.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
CriticalBreachDetected.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
cryptomix.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
crytox.hta,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
ctblocker.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
d0nut.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
dagonlocker.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
darkangels.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Data breach warning.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
DECRYPT-FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
diavol1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
diavol2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
doppelpaymer1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
doppelpaymer2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
doppelpaymer3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
doppelpaymer4.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
DtMXQFOCos-RECOVER-README.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
FILE RECOVERY.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
gandcrab.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
gwisinlocker.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
h0lygh0st.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HELP_SECURITY_EVENT.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW TO RECOVER YOUR FILES.TXT,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW TO RECOVERY FILES.TXT,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
How to Restore Your Files.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
