url,dest_host,metadata_dest_ip,metadata_dest_port,metadata_uri_path,metadata_type,metadata_comment,metadata_link
https://doh.nl.ahadns.net/dns-query*,doh.nl.ahadns.net,5.2.75.75,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dnsnl.alekberg.net/dns-query*,dnsnl.alekberg.net,89.38.131.38,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dnsse.alekberg.net/dns-query*,dnsse.alekberg.net,45.153.187.96,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dnsnl-noads.alekberg.net/dns-query*,dnsnl-noads.alekberg.net,89.38.131.38,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dnsse-noads.alekberg.net/dns-query*,dnsse-noads.alekberg.net,45.153.187.96,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.alidns.com/dns-query*,dns.alidns.com,223.5.5.5,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://mailer.amlegion.org/dns-query*,mailer.amlegion.org,192.99.125.157,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.andrewnw.xyz/dns-query*,dns.andrewnw.xyz,135.181.83.162,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.aa.net.uk/dns-query*,dns.aa.net.uk,217.169.20.23,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://secure.anudeep.me/dns-query*,secure.anudeep.me,152.70.65.93,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.artikel10.org/dns-query*,dns.artikel10.org,45.151.167.2,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.b612.me/dns-query*,dns.b612.me,193.112.16.45,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://secure.avastdns.com/dns-query*,secure.avastdns.com,181.214.52.66,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://awan.ftp.sh/dns-query*,awan.ftp.sh,140.238.48.65,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://awan.ftp.sh/no-vice*,awan.ftp.sh,140.238.48.65,443,/no-vice,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://awan.ftp.sh/noporn-cl*,awan.ftp.sh,140.238.48.65,443,/noporn-cl,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
