dest_ip,metadata_region,metadata_service,metadata_network_border_group
43.192.144.0/22,cn-northwest-1,WORKSPACES_GATEWAYS,cn-northwest-1
52.83.58.0/24,cn-northwest-1,WORKSPACES_GATEWAYS,cn-northwest-1
69.235.162.0/24,cn-northwest-1,WORKSPACES_GATEWAYS,cn-northwest-1
18.254.140.0/22,us-gov-east-1,WORKSPACES_GATEWAYS,us-gov-east-1
18.254.148.0/22,us-gov-east-1,WORKSPACES_GATEWAYS,us-gov-east-1
3.30.129.0/24,us-gov-west-1,WORKSPACES_GATEWAYS,us-gov-west-1
3.30.130.0/23,us-gov-west-1,WORKSPACES_GATEWAYS,us-gov-west-1
3.32.139.0/24,us-gov-west-1,WORKSPACES_GATEWAYS,us-gov-west-1
52.61.193.0/24,us-gov-west-1,WORKSPACES_GATEWAYS,us-gov-west-1
13.246.108.0/22,af-south-1,WORKSPACES_GATEWAYS,af-south-1
13.246.120.0/22,af-south-1,WORKSPACES_GATEWAYS,af-south-1
18.180.178.0/24,ap-northeast-1,WORKSPACES_GATEWAYS,ap-northeast-1
18.180.180.0/23,ap-northeast-1,WORKSPACES_GATEWAYS,ap-northeast-1
3.114.164.0/22,ap-northeast-1,WORKSPACES_GATEWAYS,ap-northeast-1
54.250.251.0/24,ap-northeast-1,WORKSPACES_GATEWAYS,ap-northeast-1
13.124.247.0/24,ap-northeast-2,WORKSPACES_GATEWAYS,ap-northeast-2
3.34.37.0/24,ap-northeast-2,WORKSPACES_GATEWAYS,ap-northeast-2
3.34.38.0/23,ap-northeast-2,WORKSPACES_GATEWAYS,ap-northeast-2
3.35.160.0/22,ap-northeast-2,WORKSPACES_GATEWAYS,ap-northeast-2
13.126.243.0/24,ap-south-1,WORKSPACES_GATEWAYS,ap-south-1
65.1.156.0/22,ap-south-1,WORKSPACES_GATEWAYS,ap-south-1
13.212.132.0/22,ap-southeast-1,WORKSPACES_GATEWAYS,ap-southeast-1
18.141.152.0/24,ap-southeast-1,WORKSPACES_GATEWAYS,ap-southeast-1
18.141.154.0/23,ap-southeast-1,WORKSPACES_GATEWAYS,ap-southeast-1
52.76.127.0/24,ap-southeast-1,WORKSPACES_GATEWAYS,ap-southeast-1
