dest_ip,metadata_region,metadata_service,metadata_network_border_group
51.0.252.0/24,eusc-de-east-1,ROUTE53_HEALTHCHECKS,eusc-de-east-1
15.177.0.0/18,GLOBAL,ROUTE53_HEALTHCHECKS,GLOBAL
52.80.197.0/25,cn-north-1,ROUTE53_HEALTHCHECKS,cn-north-1
52.80.197.128/25,cn-north-1,ROUTE53_HEALTHCHECKS,cn-north-1
52.80.198.0/25,cn-north-1,ROUTE53_HEALTHCHECKS,cn-north-1
52.83.34.128/25,cn-northwest-1,ROUTE53_HEALTHCHECKS,cn-northwest-1
52.83.35.0/25,cn-northwest-1,ROUTE53_HEALTHCHECKS,cn-northwest-1
52.83.35.128/25,cn-northwest-1,ROUTE53_HEALTHCHECKS,cn-northwest-1
18.253.167.0/25,us-gov-east-1,ROUTE53_HEALTHCHECKS,us-gov-east-1
18.253.167.128/25,us-gov-east-1,ROUTE53_HEALTHCHECKS,us-gov-east-1
18.253.168.0/25,us-gov-east-1,ROUTE53_HEALTHCHECKS,us-gov-east-1
160.1.55.0/25,us-gov-west-1,ROUTE53_HEALTHCHECKS,us-gov-west-1
160.1.55.128/25,us-gov-west-1,ROUTE53_HEALTHCHECKS,us-gov-west-1
160.1.56.0/25,us-gov-west-1,ROUTE53_HEALTHCHECKS,us-gov-west-1
54.248.220.0/26,ap-northeast-1,ROUTE53_HEALTHCHECKS,ap-northeast-1
54.250.253.192/26,ap-northeast-1,ROUTE53_HEALTHCHECKS,ap-northeast-1
54.251.31.128/26,ap-southeast-1,ROUTE53_HEALTHCHECKS,ap-southeast-1
54.255.254.192/26,ap-southeast-1,ROUTE53_HEALTHCHECKS,ap-southeast-1
54.252.254.192/26,ap-southeast-2,ROUTE53_HEALTHCHECKS,ap-southeast-2
54.252.79.128/26,ap-southeast-2,ROUTE53_HEALTHCHECKS,ap-southeast-2
176.34.159.192/26,eu-west-1,ROUTE53_HEALTHCHECKS,eu-west-1
54.228.16.0/26,eu-west-1,ROUTE53_HEALTHCHECKS,eu-west-1
177.71.207.128/26,sa-east-1,ROUTE53_HEALTHCHECKS,sa-east-1
54.232.40.64/26,sa-east-1,ROUTE53_HEALTHCHECKS,sa-east-1
107.23.255.0/26,us-east-1,ROUTE53_HEALTHCHECKS,us-east-1
54.243.31.192/26,us-east-1,ROUTE53_HEALTHCHECKS,us-east-1
54.183.255.128/26,us-west-1,ROUTE53_HEALTHCHECKS,us-west-1
54.241.32.64/26,us-west-1,ROUTE53_HEALTHCHECKS,us-west-1
54.244.52.192/26,us-west-2,ROUTE53_HEALTHCHECKS,us-west-2
54.245.168.0/26,us-west-2,ROUTE53_HEALTHCHECKS,us-west-2
