dest_ip,metadata_region,metadata_service,metadata_network_border_group
140.179.36.16/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.36.32/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.36.64/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.57.0/24,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.58.0/26,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.59.0/24,cn-north-1,ROUTE53_RESOLVER,cn-north-1
140.179.79.64/26,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.200/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.208/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.216/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.224/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.240/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.80.51.248/29,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.81.113.32/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.81.113.64/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.81.113.96/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
52.81.151.0/27,cn-north-1,ROUTE53_RESOLVER,cn-north-1
161.189.23.0/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
161.189.23.32/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.26.192/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.26.224/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.104/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.112/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.72/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.80/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.88/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.33.96/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.34.72/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.34.80/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.34.88/29,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
52.83.34.96/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
68.79.2.64/27,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
69.230.226.0/24,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
69.230.227.0/24,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
69.230.228.0/24,cn-northwest-1,ROUTE53_RESOLVER,cn-northwest-1
18.252.144.0/25,us-gov-east-1,ROUTE53_RESOLVER,us-gov-east-1
18.252.144.128/25,us-gov-east-1,ROUTE53_RESOLVER,us-gov-east-1
