dest_ip,metadata_region,metadata_service,metadata_network_border_group
43.207.179.168/29,ap-northeast-1,MEDIA_PACKAGE_V2,ap-northeast-1
43.207.179.176/29,ap-northeast-1,MEDIA_PACKAGE_V2,ap-northeast-1
43.201.155.152/29,ap-northeast-2,MEDIA_PACKAGE_V2,ap-northeast-2
43.201.155.160/29,ap-northeast-2,MEDIA_PACKAGE_V2,ap-northeast-2
15.168.105.144/29,ap-northeast-3,MEDIA_PACKAGE_V2,ap-northeast-3
15.168.105.152/29,ap-northeast-3,MEDIA_PACKAGE_V2,ap-northeast-3
13.200.7.128/29,ap-south-1,MEDIA_PACKAGE_V2,ap-south-1
13.200.7.136/29,ap-south-1,MEDIA_PACKAGE_V2,ap-south-1
18.61.132.240/29,ap-south-2,MEDIA_PACKAGE_V2,ap-south-2
18.61.132.248/29,ap-south-2,MEDIA_PACKAGE_V2,ap-south-2
18.143.206.152/29,ap-southeast-1,MEDIA_PACKAGE_V2,ap-southeast-1
18.143.206.160/29,ap-southeast-1,MEDIA_PACKAGE_V2,ap-southeast-1
3.27.127.176/29,ap-southeast-2,MEDIA_PACKAGE_V2,ap-southeast-2
3.27.127.184/29,ap-southeast-2,MEDIA_PACKAGE_V2,ap-southeast-2
16.51.86.16/29,ap-southeast-4,MEDIA_PACKAGE_V2,ap-southeast-4
16.51.86.8/29,ap-southeast-4,MEDIA_PACKAGE_V2,ap-southeast-4
56.68.33.56/29,ap-southeast-5,MEDIA_PACKAGE_V2,ap-southeast-5
56.68.33.64/29,ap-southeast-5,MEDIA_PACKAGE_V2,ap-southeast-5
15.156.152.184/29,ca-central-1,MEDIA_PACKAGE_V2,ca-central-1
15.156.152.192/29,ca-central-1,MEDIA_PACKAGE_V2,ca-central-1
3.77.79.224/29,eu-central-1,MEDIA_PACKAGE_V2,eu-central-1
3.77.79.232/29,eu-central-1,MEDIA_PACKAGE_V2,eu-central-1
13.50.179.168/29,eu-north-1,MEDIA_PACKAGE_V2,eu-north-1
13.50.179.176/29,eu-north-1,MEDIA_PACKAGE_V2,eu-north-1
3.253.189.64/29,eu-west-1,MEDIA_PACKAGE_V2,eu-west-1
3.253.189.72/29,eu-west-1,MEDIA_PACKAGE_V2,eu-west-1
13.42.133.192/29,eu-west-2,MEDIA_PACKAGE_V2,eu-west-2
13.42.133.200/29,eu-west-2,MEDIA_PACKAGE_V2,eu-west-2
13.39.141.160/29,eu-west-3,MEDIA_PACKAGE_V2,eu-west-3
13.39.141.168/29,eu-west-3,MEDIA_PACKAGE_V2,eu-west-3
40.172.11.104/29,me-central-1,MEDIA_PACKAGE_V2,me-central-1
40.172.11.96/29,me-central-1,MEDIA_PACKAGE_V2,me-central-1
15.229.120.48/29,sa-east-1,MEDIA_PACKAGE_V2,sa-east-1
15.229.120.56/29,sa-east-1,MEDIA_PACKAGE_V2,sa-east-1
44.216.41.152/29,us-east-1,MEDIA_PACKAGE_V2,us-east-1
44.216.41.160/29,us-east-1,MEDIA_PACKAGE_V2,us-east-1
3.145.246.48/29,us-east-2,MEDIA_PACKAGE_V2,us-east-2
3.145.246.56/29,us-east-2,MEDIA_PACKAGE_V2,us-east-2
3.101.226.80/29,us-west-1,MEDIA_PACKAGE_V2,us-west-1
3.101.226.88/29,us-west-1,MEDIA_PACKAGE_V2,us-west-1
18.246.107.128/29,us-west-2,MEDIA_PACKAGE_V2,us-west-2
18.246.107.8/29,us-west-2,MEDIA_PACKAGE_V2,us-west-2
