dest_ip,metadata_region,metadata_service,metadata_network_border_group
95.40.214.128/25,ap-east-1,EFS,ap-east-1
54.54.30.0/25,ap-east-2,EFS,ap-east-2
54.116.148.128/25,ap-northeast-2,EFS,ap-northeast-2
16.112.252.128/25,ap-south-2,EFS,ap-south-2
32.236.146.128/25,ap-southeast-2,EFS,ap-southeast-2
16.27.92.0/25,ap-southeast-4,EFS,ap-southeast-4
56.69.91.128/25,ap-southeast-5,EFS,ap-southeast-5
3.103.180.128/25,ap-southeast-6,EFS,ap-southeast-6
43.210.244.128/25,ap-southeast-7,EFS,ap-southeast-7
16.174.90.128/25,ca-west-1,EFS,ca-west-1
16.18.95.128/25,eu-central-2,EFS,eu-central-2
16.22.121.0/26,eu-south-1,EFS,eu-south-1
16.22.121.64/28,eu-south-1,EFS,eu-south-1
16.22.41.144/28,eu-south-1,EFS,eu-south-1
16.22.41.160/27,eu-south-1,EFS,eu-south-1
35.42.175.0/25,eu-south-2,EFS,eu-south-2
108.133.102.0/25,eu-west-1,EFS,eu-west-1
16.164.136.0/25,il-central-1,EFS,il-central-1
78.14.149.0/25,mx-central-1,EFS,mx-central-1
100.59.224.0/25,us-east-1,EFS,us-east-1
