dest_ip,metadata_region,metadata_service,metadata_network_border_group
3.4.12.4/32,eu-west-1,AMAZON,eu-west-1
3.5.140.0/22,ap-northeast-2,AMAZON,ap-northeast-2
15.190.244.0/22,ap-east-2,AMAZON,ap-east-2
15.230.15.29/32,eu-central-1,AMAZON,eu-central-1
15.230.15.76/31,eu-central-1,AMAZON,eu-central-1
15.230.221.0/24,us-east-1,AMAZON,us-east-1
15.248.168.0/21,sa-west-1,AMAZON,sa-west-1
23.254.120.0/21,sa-west-1,AMAZON,sa-west-1
35.180.0.0/16,eu-west-3,AMAZON,eu-west-3
51.85.0.0/16,il-central-1,AMAZON,il-central-1
52.93.153.170/32,eu-west-2,AMAZON,eu-west-2
52.93.178.234/32,us-west-1,AMAZON,us-west-1
52.93.244.0/24,eu-central-1,AMAZON,eu-central-1
52.94.76.0/22,us-west-2,AMAZON,us-west-2
52.95.36.0/22,ap-southeast-2,AMAZON,ap-southeast-2
52.219.170.0/23,eu-central-1,AMAZON,eu-central-1
69.107.10.200/29,us-east-1,AMAZON,us-east-1
99.83.109.0/24,eu-south-1,AMAZON,eu-south-1
99.87.32.0/22,eu-west-1,AMAZON,eu-west-1
120.52.22.96/27,GLOBAL,AMAZON,GLOBAL
150.222.47.64/26,ap-southeast-2,AMAZON,ap-southeast-2
150.222.81.0/24,eu-west-1,AMAZON,eu-west-1
150.222.234.54/31,us-west-1,AMAZON,us-west-1
3.2.75.0/24,ap-northeast-2,AMAZON,ap-northeast-2
15.230.39.60/31,us-east-2,AMAZON,us-east-2
15.230.102.0/24,us-west-2,AMAZON,us-west-2
15.230.113.0/24,eu-west-1,AMAZON,eu-west-1
23.228.222.0/24,GLOBAL,AMAZON,GLOBAL
35.111.254.0/24,us-west-2,AMAZON,us-west-2
51.168.0.0/15,me-west-1,AMAZON,me-west-1
52.93.22.48/28,us-west-1,AMAZON,us-west-1
52.94.152.9/32,us-east-1,AMAZON,us-east-1
52.219.168.0/24,eu-central-1,AMAZON,eu-central-1
150.222.53.160/27,mx-central-1,AMAZON,mx-central-1
150.222.78.0/24,ap-southeast-1,AMAZON,ap-southeast-1
216.244.32.0/22,ap-east-1,AMAZON,ap-east-1
3.2.58.0/24,us-east-1,AMAZON,us-east-1
3.108.0.0/14,ap-south-1,AMAZON,ap-south-1
15.181.232.0/21,us-east-1,AMAZON,us-east-1-iah-1
15.230.39.208/31,us-east-2,AMAZON,us-east-2
16.12.80.0/24,ap-east-2,AMAZON,ap-east-2
18.99.176.0/20,ap-east-1,AMAZON,ap-east-1
35.50.192.0/24,eu-central-1,AMAZON,eu-central-1
52.93.17.0/24,eu-west-1,AMAZON,eu-west-1
52.93.45.0/25,eu-west-1,AMAZON,eu-west-1
52.93.127.163/32,us-east-1,AMAZON,us-east-1
52.93.199.31/32,us-east-2,AMAZON,us-east-2
52.95.150.0/24,eu-west-2,AMAZON,eu-west-2
52.219.60.0/23,ap-northeast-2,AMAZON,ap-northeast-2
150.222.43.0/26,ap-southeast-1,AMAZON,ap-southeast-1
216.244.7.0/24,us-east-1,AMAZON,us-east-1
3.2.0.0/24,us-east-1,AMAZON,us-east-1-iah-1
3.5.60.0/22,ap-southeast-7,AMAZON,ap-southeast-7
13.248.56.0/22,ap-east-1,AMAZON,ap-east-1
13.248.117.0/24,ap-south-1,AMAZON,ap-south-1
15.221.34.0/24,ap-northeast-1,AMAZON,ap-northeast-1
15.230.137.0/24,us-east-1,AMAZON,us-east-1
15.230.177.0/24,me-central-1,AMAZON,me-central-1
18.97.192.0/18,eu-west-1,AMAZON,eu-west-1
31.220.235.0/24,ap-south-1,AMAZON,ap-south-1
52.93.84.195/32,us-east-1,AMAZON,us-east-1
52.93.126.135/32,eu-central-1,AMAZON,eu-central-1
52.93.178.219/32,us-west-1,AMAZON,us-west-1
52.93.199.90/32,us-east-2,AMAZON,us-east-2
